# Generated by hrc_import.py --canonical-8max from hrc_8max_chipev_050bb.zip
# HRC tree: 8-handed, effective 50.0bb (1000000 chips at 20000/bb)
# Equity model: chipev, ante: BB_ANTE_ANTE_FIRST
# TreeParams: HRC v3 Advanced ChipEV @ 50bb: open 2.2bb + 1.0bb; BU 2.2bb + 1.0bb; SB 2.8bb + 1.0bb; 3-bet IP 2.5x + 1.0x; 3-bet BB-vs-others 3.3x + 1.0x; 4-bet IP 90.0%, all-in
# App slot: sb vs3betjam @ 50bb
# HRC node: id=15, seat=6, sequence=FFFFFFRR
# Actions at node: ['fold', 'call']
# VPIP estimate: 22.50%
notation,action,freq
AA,call,1.0
AKs,fold,0.001
AKs,call,0.999
AQs,fold,0.0003
AQs,call,0.9997
AJs,fold,0.0007
AJs,call,0.9993
ATs,fold,0.4517
ATs,call,0.5483
A9s,fold,0.0977
A9s,call,0.9023
A8s,fold,0.8621
A8s,call,0.1379
A7s,fold,0.9861
A7s,call,0.0139
A6s,fold,0.7237
A6s,call,0.2763
A5s,fold,0.9974
A5s,call,0.0026
A4s,fold,0.9668
A4s,call,0.0332
A3s,fold,0.9435
A3s,call,0.0565
A2s,fold,0.9984
A2s,call,0.0016
AKo,call,1.0
KK,call,1.0
KQs,fold,0.0047
KQs,call,0.9953
KJs,fold,0.9186
KJs,call,0.0814
KTs,fold,0.9367
KTs,call,0.0633
K9s,fold,0.9831
K9s,call,0.0169
K8s,fold,0.9231
K8s,call,0.0769
K7s,fold,0.9978
K7s,call,0.0022
K6s,fold,0.9968
K6s,call,0.0032
K5s,fold,0.9697
K5s,call,0.0303
K4s,fold,0.9989
K4s,call,0.0011
K3s,fold,0.9917
K3s,call,0.0083
K2s,fold,1.0
AQo,call,1.0
KQo,fold,0.9527
KQo,call,0.0473
QQ,call,1.0
QJs,fold,0.8604
QJs,call,0.1396
QTs,fold,0.955
QTs,call,0.045
Q9s,fold,0.9855
Q9s,call,0.0145
Q8s,fold,0.8938
Q8s,call,0.1062
Q7s,fold,0.9957
Q7s,call,0.0043
Q6s,fold,0.9996
Q6s,call,0.0004
Q5s,fold,0.9999
Q5s,call,0.0001
Q4s,fold,0.9842
Q4s,call,0.0158
Q3s,fold,0.999
Q3s,call,0.001
Q2s,fold,0.9976
Q2s,call,0.0024
AJo,fold,0.013
AJo,call,0.987
KJo,fold,0.9828
KJo,call,0.0172
QJo,fold,0.9978
QJo,call,0.0022
JJ,call,1.0
JTs,fold,0.9994
JTs,call,0.0006
J9s,fold,0.9997
J9s,call,0.0003
J8s,fold,0.9991
J8s,call,0.0009
J7s,fold,0.9965
J7s,call,0.0035
J6s,fold,0.9991
J6s,call,0.0009
J5s,fold,0.9959
J5s,call,0.0041
J4s,fold,0.9969
J4s,call,0.0031
J3s,fold,0.9996
J3s,call,0.0004
J2s,fold,0.9988
J2s,call,0.0012
ATo,fold,0.9714
ATo,call,0.0286
KTo,fold,0.9987
KTo,call,0.0013
QTo,fold,0.998
QTo,call,0.002
JTo,fold,0.9999
JTo,call,0.0001
TT,call,1.0
T9s,fold,0.9954
T9s,call,0.0046
T7s,fold,0.9842
T7s,call,0.0158
T6s,fold,0.9999
T6s,call,0.0001
T5s,fold,0.9994
T5s,call,0.0006
T4s,fold,1.0
T3s,fold,0.9983
T3s,call,0.0017
T2s,fold,0.9995
T2s,call,0.0005
A9o,fold,0.9963
A9o,call,0.0037
K9o,fold,0.9847
K9o,call,0.0153
Q9o,fold,0.9886
Q9o,call,0.0114
J9o,fold,0.9985
J9o,call,0.0015
T9o,fold,0.9982
T9o,call,0.0018
99,fold,0.0436
99,call,0.9564
98s,fold,0.9853
98s,call,0.0147
97s,fold,0.9944
97s,call,0.0056
96s,fold,1.0
95s,fold,1.0
94s,fold,0.9852
94s,call,0.0148
93s,fold,0.9999
93s,call,0.0001
A8o,fold,0.9882
A8o,call,0.0118
K8o,fold,0.9966
K8o,call,0.0034
Q8o,fold,0.9995
Q8o,call,0.0005
J8o,fold,0.9975
J8o,call,0.0025
T8o,fold,0.9999
T8o,call,0.0001
98o,fold,0.9959
98o,call,0.0041
88,fold,0.0401
88,call,0.9599
87s,fold,0.9982
87s,call,0.0018
86s,fold,0.9982
86s,call,0.0018
85s,fold,0.9953
85s,call,0.0047
84s,fold,0.9939
84s,call,0.0061
83s,fold,0.9939
83s,call,0.0061
82s,fold,0.9999
82s,call,0.0001
A7o,fold,0.9968
A7o,call,0.0032
K7o,fold,0.9989
K7o,call,0.0011
Q7o,fold,0.9986
Q7o,call,0.0014
J7o,fold,0.9997
J7o,call,0.0003
T7o,fold,0.9998
T7o,call,0.0002
97o,fold,1.0
77,fold,0.8425
77,call,0.1575
76s,fold,0.9934
76s,call,0.0066
75s,fold,0.9693
75s,call,0.0307
74s,fold,0.9949
74s,call,0.0051
73s,fold,0.9995
73s,call,0.0005
72s,fold,1.0
A6o,fold,0.9963
A6o,call,0.0037
K6o,fold,0.9987
K6o,call,0.0013
Q6o,fold,0.9989
Q6o,call,0.0011
86o,fold,1.0
76o,fold,0.9979
76o,call,0.0021
66,fold,0.839
66,call,0.161
64s,fold,0.9984
64s,call,0.0016
62s,fold,0.9995
62s,call,0.0005
A5o,fold,0.9988
A5o,call,0.0012
K5o,fold,0.9997
K5o,call,0.0003
Q5o,fold,0.998
Q5o,call,0.002
T5o,fold,0.9997
T5o,call,0.0003
85o,fold,0.9996
85o,call,0.0004
75o,fold,1.0
55,fold,0.6536
55,call,0.3464
54s,fold,0.9939
54s,call,0.0061
53s,fold,0.9952
53s,call,0.0048
A4o,fold,0.9917
A4o,call,0.0083
K4o,fold,0.9986
K4o,call,0.0014
Q4o,fold,0.9997
Q4o,call,0.0003
J4o,fold,0.9997
J4o,call,0.0003
T4o,fold,0.9997
T4o,call,0.0003
84o,fold,0.9999
84o,call,0.0001
44,fold,0.5598
44,call,0.4402
42s,fold,1.0
A3o,fold,0.9939
A3o,call,0.0061
K3o,fold,0.9998
K3o,call,0.0002
T3o,fold,0.9999
T3o,call,0.0001
93o,fold,0.9978
93o,call,0.0022
83o,fold,0.9998
83o,call,0.0002
73o,fold,0.9999
73o,call,0.0001
53o,fold,1.0
33,fold,0.9717
33,call,0.0283
32s,fold,0.9968
32s,call,0.0032
A2o,fold,0.9826
A2o,call,0.0174
T2o,fold,0.9985
T2o,call,0.0015
22,fold,0.9678
22,call,0.0322
