# Generated by hrc_import.py --canonical-8max from hrc_8max_chipev_050bb.zip
# HRC tree: 8-handed, effective 50.0bb (1000000 chips at 20000/bb)
# Equity model: chipev, ante: BB_ANTE_ANTE_FIRST
# Preflop sizes: {'SIZES_OPEN_OTHERS': '2.2bb + 1.0bb', 'SIZES_OPEN_BU': '2.2bb + 1.0bb', 'SIZES_OPEN_SB': '2.8bb + 1.0bb', 'SIZES_OPEN_BB': '2.8bb + 1.0bb', 'SIZES_OPEN_BB_VS_SB': '3.0bb', 'SIZES_3BET_IP': '2.5x + 1.0x', 'SIZES_3BET_BB_VS_OTHER': '3.3x + 1.0x', 'SIZES_3BET_BB_VS_SB': '2.5x', 'SIZES_3BET_SB_VS_BB': '2.6x + 1.0x', 'SIZES_3BET_SB_VS_OTHER': '3.3x + 1.0x', 'SIZES_4BET_IP': '90.0%, all-in', 'SIZES_4BET_OOP': '120.0%, all-in', 'SIZES_5BET_IP': '90.0%, all-in', 'SIZES_5BET_OOP': '120.0%, all-in'}
# App slot: sb vsopen @ 50bb
# HRC node: id=15825, seat=6, sequence=RFFFFF
# Actions at node: ['fold', 'call', 'raise']
# VPIP estimate: 39.74%
notation,action,freq
AA,raise,1.0
AKs,call,0.0289
AKs,raise,0.9711
AQs,call,0.646
AQs,raise,0.3539
AJs,fold,0.0016
AJs,call,0.9975
AJs,raise,0.0009
ATs,fold,0.1105
ATs,call,0.8731
ATs,raise,0.0164
A9s,fold,0.0342
A9s,call,0.9656
A9s,raise,0.0002
A8s,fold,0.02
A8s,call,0.9778
A8s,raise,0.0021
A7s,fold,0.1897
A7s,call,0.8097
A7s,raise,0.0006
A6s,fold,0.5983
A6s,call,0.3262
A6s,raise,0.0756
A5s,fold,0.2717
A5s,call,0.7268
A5s,raise,0.0014
A4s,fold,0.2553
A4s,call,0.7339
A4s,raise,0.0109
A3s,fold,0.1114
A3s,call,0.8764
A3s,raise,0.0122
A2s,fold,0.039
A2s,call,0.9605
A2s,raise,0.0005
AKo,raise,1.0
KK,call,0.0001
KK,raise,0.9999
KQs,fold,0.0002
KQs,call,0.9972
KQs,raise,0.0026
KJs,fold,0.0028
KJs,call,0.9971
KJs,raise,0.0001
KTs,fold,0.0092
KTs,call,0.9907
K9s,fold,0.9379
K9s,call,0.0621
K8s,fold,0.0013
K8s,call,0.9728
K8s,raise,0.0259
K7s,fold,0.145
K7s,call,0.855
K6s,fold,0.8953
K6s,call,0.1047
K5s,fold,0.0916
K5s,call,0.9084
K4s,fold,0.683
K4s,call,0.307
K4s,raise,0.01
K3s,fold,0.1049
K3s,call,0.8931
K3s,raise,0.002
K2s,fold,0.784
K2s,call,0.216
AQo,call,0.7129
AQo,raise,0.287
KQo,fold,0.022
KQo,call,0.9714
KQo,raise,0.0066
QQ,call,0.0003
QQ,raise,0.9996
QJs,fold,0.1394
QJs,call,0.8586
QJs,raise,0.002
QTs,fold,0.0001
QTs,call,0.9999
Q9s,fold,0.9987
Q9s,call,0.0013
Q8s,fold,0.1038
Q8s,call,0.8885
Q8s,raise,0.0077
Q7s,fold,0.424
Q7s,call,0.5759
Q6s,fold,0.215
Q6s,call,0.7849
Q6s,raise,0.0001
Q5s,fold,0.8741
Q5s,call,0.1248
Q5s,raise,0.0011
Q4s,fold,0.993
Q4s,call,0.007
Q3s,fold,0.9986
Q3s,call,0.0013
Q3s,raise,0.0001
Q2s,fold,0.9093
Q2s,call,0.0905
Q2s,raise,0.0002
AJo,call,0.801
AJo,raise,0.199
KJo,fold,0.2982
KJo,call,0.7018
QJo,fold,0.0366
QJo,call,0.9634
JJ,call,0.354
JJ,raise,0.646
JTs,fold,0.0176
JTs,call,0.9824
J9s,fold,0.7043
J9s,call,0.2948
J9s,raise,0.0009
J8s,fold,0.0017
J8s,call,0.9965
J8s,raise,0.0019
J7s,fold,0.4726
J7s,call,0.5242
J7s,raise,0.0032
J6s,fold,0.9884
J6s,call,0.0114
J6s,raise,0.0003
J5s,fold,0.9922
J5s,call,0.0078
J4s,fold,0.7974
J4s,call,0.2026
J3s,fold,0.7207
J3s,call,0.2791
J3s,raise,0.0003
J2s,fold,0.9787
J2s,call,0.0193
J2s,raise,0.002
ATo,fold,0.0009
ATo,call,0.9306
ATo,raise,0.0685
KTo,fold,0.0521
KTo,call,0.9478
KTo,raise,0.0001
QTo,fold,0.0542
QTo,call,0.9452
QTo,raise,0.0006
JTo,fold,0.1322
JTo,call,0.8678
TT,call,0.4311
TT,raise,0.5689
T9s,fold,0.0029
T9s,call,0.9971
T8s,fold,0.3547
T8s,call,0.6453
T7s,fold,0.173
T7s,call,0.8265
T7s,raise,0.0005
T6s,fold,0.9614
T6s,call,0.0385
T6s,raise,0.0001
T5s,fold,0.9662
T5s,call,0.0338
T4s,fold,0.9798
T4s,call,0.0202
T3s,fold,0.8634
T3s,call,0.1302
T3s,raise,0.0064
T2s,fold,0.9987
T2s,call,0.0009
T2s,raise,0.0005
A9o,fold,0.0202
A9o,call,0.9778
A9o,raise,0.002
K9o,fold,0.044
K9o,call,0.9557
K9o,raise,0.0003
Q9o,fold,0.1057
Q9o,call,0.894
Q9o,raise,0.0003
J9o,fold,0.2871
J9o,call,0.7129
T9o,fold,0.5386
T9o,call,0.4611
T9o,raise,0.0003
99,fold,0.0001
99,call,0.2437
99,raise,0.7562
98s,fold,0.0313
98s,call,0.9685
98s,raise,0.0001
97s,fold,0.1255
97s,call,0.8728
97s,raise,0.0018
96s,fold,0.2477
96s,call,0.7523
96s,raise,0.0001
95s,fold,0.9997
95s,call,0.0003
94s,fold,0.9924
94s,call,0.0076
94s,raise,0.0001
93s,fold,0.999
93s,call,0.0009
93s,raise,0.0001
