# Generated by hrc_import.py --multi-opener-8max from hrc_8max_chipev_050bb.zip
# HRC tree: 8-handed, effective 50.0bb
# Equity model: chipev, ante: BB_ANTE_ANTE_FIRST
# App slot (deferred integration): sb vsopen vs co open @ 50bb
# HRC node: id=49, seat=6, sequence=FFFFRF
# Actions: ['fold', 'call', 'raise']
# VPIP estimate: 45.88%
notation,action,freq
AA,raise,1.0
AKs,call,0.0004
AKs,raise,0.9996
AQs,call,0.1782
AQs,raise,0.8217
AJs,call,0.0626
AJs,raise,0.9374
ATs,call,0.0485
ATs,raise,0.9514
A9s,fold,0.001
A9s,call,0.0774
A9s,raise,0.9216
A8s,fold,0.013
A8s,call,0.9817
A8s,raise,0.0053
A7s,fold,0.0498
A7s,call,0.6711
A7s,raise,0.2791
A6s,fold,0.0048
A6s,call,0.9952
A5s,fold,0.0796
A5s,call,0.3378
A5s,raise,0.5826
A4s,fold,0.0022
A4s,call,0.7796
A4s,raise,0.2182
A3s,fold,0.0309
A3s,call,0.9483
A3s,raise,0.0208
A2s,fold,0.0985
A2s,call,0.8237
A2s,raise,0.0778
AKo,raise,1.0
KK,call,0.0001
KK,raise,0.9999
KQs,fold,0.0001
KQs,call,0.0508
KQs,raise,0.9491
KJs,fold,0.0037
KJs,call,0.9235
KJs,raise,0.0728
KTs,fold,0.0455
KTs,call,0.9535
KTs,raise,0.001
K9s,fold,0.4012
K9s,call,0.5171
K9s,raise,0.0817
K8s,fold,0.125
K8s,call,0.8749
K7s,fold,0.0714
K7s,call,0.8954
K7s,raise,0.0332
K6s,fold,0.4041
K6s,call,0.5959
K5s,fold,0.958
K5s,call,0.0416
K5s,raise,0.0004
K4s,fold,0.0624
K4s,call,0.9375
K3s,fold,0.5534
K3s,call,0.4462
K3s,raise,0.0004
K2s,fold,0.0975
K2s,call,0.8827
K2s,raise,0.0198
AQo,raise,1.0
KQo,fold,0.0007
KQo,call,0.8553
KQo,raise,0.1441
QQ,call,0.0024
QQ,raise,0.9976
QJs,fold,0.0055
QJs,call,0.9903
QJs,raise,0.0042
QTs,fold,0.0034
QTs,call,0.9496
QTs,raise,0.047
Q9s,fold,0.2295
Q9s,call,0.7703
Q9s,raise,0.0001
Q8s,fold,0.0871
Q8s,call,0.9127
Q8s,raise,0.0003
Q7s,fold,0.807
Q7s,call,0.193
Q6s,fold,0.9994
Q6s,call,0.0006
Q5s,fold,0.8265
Q5s,call,0.1734
Q4s,fold,0.5951
Q4s,call,0.4047
Q4s,raise,0.0002
Q3s,fold,0.9707
Q3s,call,0.0293
Q2s,fold,0.9662
Q2s,call,0.0337
Q2s,raise,0.0001
AJo,call,0.047
AJo,raise,0.953
KJo,fold,0.0106
KJo,call,0.9749
KJo,raise,0.0144
QJo,fold,0.0212
QJo,call,0.9784
QJo,raise,0.0003
JJ,call,0.3422
JJ,raise,0.6578
JTs,fold,0.0044
JTs,call,0.977
JTs,raise,0.0186
J9s,fold,0.162
J9s,call,0.838
J8s,fold,0.647
J8s,call,0.3504
J8s,raise,0.0026
J7s,fold,0.6527
J7s,call,0.3473
J6s,fold,0.1902
J6s,call,0.8098
J5s,fold,0.8768
J5s,call,0.1232
J4s,fold,0.8342
J4s,call,0.1657
J3s,fold,0.9981
J3s,call,0.0019
J2s,fold,0.9809
J2s,call,0.0191
ATo,fold,0.0003
ATo,call,0.7889
ATo,raise,0.2109
KTo,fold,0.0162
KTo,call,0.9836
KTo,raise,0.0002
QTo,fold,0.0069
QTo,call,0.9931
JTo,fold,0.0997
JTo,call,0.9002
TT,call,0.8829
TT,raise,0.1171
T9s,fold,0.0498
T9s,call,0.9502
T8s,fold,0.0416
T8s,call,0.9583
T8s,raise,0.0001
T7s,fold,0.6751
T7s,call,0.3249
T6s,fold,0.1543
T6s,call,0.8456
T6s,raise,0.0001
T5s,fold,0.7064
T5s,call,0.2936
T5s,raise,0.0001
T4s,fold,1.0
T3s,fold,0.9982
T3s,call,0.0018
T2s,fold,0.7858
T2s,call,0.2141
A9o,fold,0.0007
A9o,call,0.325
A9o,raise,0.6743
K9o,fold,0.149
K9o,call,0.8441
K9o,raise,0.0069
Q9o,fold,0.0486
Q9o,call,0.9514
J9o,fold,0.08
J9o,call,0.92
T9o,fold,0.0743
T9o,call,0.9257
99,call,0.4381
99,raise,0.5618
98s,fold,0.0719
98s,call,0.9281
97s,fold,0.1786
97s,call,0.8214
96s,fold,0.9981
96s,call,0.0018
96s,raise,0.0001
95s,fold,0.9969
95s,call,0.0031
94s,fold,0.9897
94s,call,0.0102
94s,raise,0.0001
93s,fold,0.8272
93s,call,0.1728
92s,fold,0.9992
92s,call,0.0006
92s,raise,0.0002
A8o,fold,0.0002
A8o,call,0.9998
K8o,fold,0.0998
K8o,call,0.9002
Q8o,fold,0.4265
Q8o,call,0.5735
J8o,fold,0.1606
J8o,call,0.8394
T8o,fold,0.3683
T8o,call,0.6317
98o,fold,0.1542
98o,call,0.8458
88,call,0.9872
88,raise,0.0128
87s,fold,0.7993
87s,call,0.2007
86s,fold,0.5152
86s,call,0.4848
85s,fold,0.9996
85s,raise,0.0004
84s,fold,0.9918
84s,call,0.0078
84s,raise,0.0004
83s,fold,0.9827
83s,call,0.0172
83s,raise,0.0001
82s,fold,0.9981
82s,call,0.0019
A7o,fold,0.0063
A7o,call,0.9885
A7o,raise,0.0052
K7o,fold,0.0174
K7o,call,0.9826
Q7o,fold,0.9997
Q7o,call,0.0003
J7o,fold,0.9999
T7o,fold,1.0
97o,fold,0.2742
97o,call,0.7258
87o,fold,0.9998
87o,call,0.0001
87o,raise,0.0001
77,fold,0.0006
77,call,0.5686
77,raise,0.4308
76s,fold,0.0197
76s,call,0.9798
76s,raise,0.0005
75s,fold,0.6274
75s,call,0.3726
74s,fold,1.0
73s,fold,0.9891
73s,call,0.0109
72s,fold,0.9574
72s,call,0.0426
A6o,fold,0.0138
A6o,call,0.9862
K6o,fold,0.1761
K6o,call,0.8239
Q6o,fold,0.8937
Q6o,call,0.1063
J6o,fold,1.0
T6o,fold,0.9991
T6o,call,0.0009
96o,fold,0.9995
96o,call,0.0005
86o,fold,0.9998
86o,call,0.0002
76o,fold,1.0
66,fold,0.0083
66,call,0.9847
66,raise,0.007
65s,fold,0.9776
65s,call,0.0224
64s,fold,0.5793
64s,call,0.4205
64s,raise,0.0002
63s,fold,0.8181
63s,call,0.1819
62s,fold,0.9987
62s,call,0.0004
62s,raise,0.0008
A5o,fold,0.0223
A5o,call,0.9775
A5o,raise,0.0001
K5o,fold,0.3116
K5o,call,0.6884
Q5o,fold,0.9998
Q5o,call,0.0002
J5o,fold,0.9999
J5o,call,0.0001
T5o,fold,1.0
95o,fold,0.9994
95o,call,0.0006
85o,fold,1.0
75o,fold,0.9992
75o,call,0.0008
65o,fold,0.9987
65o,call,0.0013
55,fold,0.0043
55,call,0.6213
55,raise,0.3744
54s,fold,0.9997
54s,call,0.0003
53s,fold,0.7856
53s,call,0.2119
53s,raise,0.0025
52s,fold,0.9667
52s,call,0.0333
A4o,fold,0.044
A4o,call,0.9559
K4o,fold,0.9837
K4o,call,0.0161
K4o,raise,0.0002
Q4o,fold,0.9999
Q4o,raise,0.0001
J4o,fold,0.9999
J4o,call,0.0001
T4o,fold,0.9995
T4o,call,0.0005
94o,fold,0.9998
94o,call,0.0002
84o,fold,1.0
74o,fold,1.0
64o,fold,1.0
54o,fold,1.0
44,fold,0.2181
44,call,0.7292
44,raise,0.0526
43s,fold,1.0
42s,fold,0.9999
42s,call,0.0001
A3o,fold,0.0121
A3o,call,0.9879
A3o,raise,0.0001
K3o,fold,0.9299
K3o,call,0.07
Q3o,fold,1.0
J3o,fold,1.0
T3o,fold,0.9999
T3o,raise,0.0001
93o,fold,0.9996
93o,call,0.0004
83o,fold,1.0
73o,fold,1.0
63o,fold,0.9997
63o,call,0.0003
53o,fold,0.9991
53o,call,0.0009
43o,fold,1.0
33,fold,0.0573
33,call,0.6624
