# Generated by hrc_import.py --multi-opener-8max from hrc_8max_chipev_050bb.zip
# HRC tree: 8-handed, effective 50.0bb
# Equity model: chipev, ante: BB_ANTE_ANTE_FIRST
# App slot (deferred integration): sb vsopen vs hj open @ 50bb
# HRC node: id=266, seat=6, sequence=FFFRFF
# Actions: ['fold', 'call', 'raise']
# VPIP estimate: 47.70%
notation,action,freq
AA,raise,1.0
AKs,call,0.5204
AKs,raise,0.4796
AQs,fold,0.0006
AQs,call,0.0521
AQs,raise,0.9473
AJs,fold,0.0005
AJs,call,0.3173
AJs,raise,0.6822
ATs,fold,0.0247
ATs,call,0.9723
ATs,raise,0.003
A9s,fold,0.0053
A9s,call,0.7473
A9s,raise,0.2473
A8s,fold,0.0081
A8s,call,0.9764
A8s,raise,0.0155
A7s,fold,0.0024
A7s,call,0.6288
A7s,raise,0.3688
A6s,fold,0.0086
A6s,call,0.899
A6s,raise,0.0924
A5s,fold,0.0068
A5s,call,0.993
A5s,raise,0.0002
A4s,fold,0.0015
A4s,call,0.9983
A4s,raise,0.0002
A3s,fold,0.0232
A3s,call,0.9511
A3s,raise,0.0257
A2s,fold,0.0724
A2s,call,0.7667
A2s,raise,0.1609
AKo,call,0.0604
AKo,raise,0.9396
KK,raise,1.0
KQs,fold,0.0001
KQs,call,0.7453
KQs,raise,0.2545
KJs,fold,0.0122
KJs,call,0.9241
KJs,raise,0.0637
KTs,fold,0.0277
KTs,call,0.8586
KTs,raise,0.1137
K9s,fold,0.0079
K9s,call,0.9917
K9s,raise,0.0004
K8s,fold,0.0341
K8s,call,0.9659
K7s,fold,0.6575
K7s,call,0.3425
K6s,fold,0.1269
K6s,call,0.873
K6s,raise,0.0001
K5s,fold,0.5758
K5s,call,0.4238
K5s,raise,0.0004
K4s,fold,0.1819
K4s,call,0.818
K4s,raise,0.0001
K3s,fold,0.5564
K3s,call,0.4436
K2s,fold,0.0585
K2s,call,0.9415
K2s,raise,0.0001
AQo,raise,1.0
KQo,fold,0.0014
KQo,call,0.9452
KQo,raise,0.0533
QQ,call,0.0684
QQ,raise,0.9316
QJs,fold,0.0267
QJs,call,0.9731
QJs,raise,0.0002
QTs,fold,0.0051
QTs,call,0.9949
Q9s,fold,0.1048
Q9s,call,0.895
Q9s,raise,0.0002
Q8s,fold,0.3425
Q8s,call,0.657
Q8s,raise,0.0005
Q7s,fold,0.4001
Q7s,call,0.5992
Q7s,raise,0.0007
Q6s,fold,0.4499
Q6s,call,0.5501
Q5s,fold,0.4952
Q5s,call,0.5048
Q4s,fold,0.0377
Q4s,call,0.9623
Q3s,fold,0.9998
Q3s,call,0.0002
Q2s,fold,0.9885
Q2s,call,0.0114
AJo,call,0.201
AJo,raise,0.799
KJo,call,1.0
QJo,fold,0.0011
QJo,call,0.9986
QJo,raise,0.0003
JJ,call,0.1192
JJ,raise,0.8808
JTs,fold,0.0059
JTs,call,0.9941
J9s,fold,0.001
J9s,call,0.9988
J9s,raise,0.0002
J8s,fold,0.3063
J8s,call,0.6799
J8s,raise,0.0138
J7s,fold,0.0667
J7s,call,0.929
J7s,raise,0.0043
J6s,fold,0.4289
J6s,call,0.5711
J5s,fold,0.98
J5s,call,0.02
J4s,fold,0.9721
J4s,call,0.0278
J3s,fold,0.3937
J3s,call,0.6062
J3s,raise,0.0001
J2s,fold,0.9502
J2s,call,0.0498
ATo,fold,0.0001
ATo,call,0.5678
ATo,raise,0.4321
KTo,fold,0.0493
KTo,call,0.9506
KTo,raise,0.0002
QTo,fold,0.0039
QTo,call,0.9959
QTo,raise,0.0002
JTo,fold,0.0505
JTo,call,0.9495
TT,call,0.8728
TT,raise,0.1271
T9s,fold,0.008
T9s,call,0.992
T8s,fold,0.4108
T8s,call,0.4571
T8s,raise,0.1321
T7s,fold,0.4507
T7s,call,0.5493
T6s,fold,0.1308
T6s,call,0.8692
T5s,fold,0.948
T5s,call,0.052
T4s,fold,0.992
T4s,call,0.008
T3s,fold,0.9922
T3s,call,0.0078
T2s,fold,0.9942
T2s,call,0.0057
A9o,fold,0.0011
A9o,call,0.998
A9o,raise,0.001
K9o,fold,0.0165
K9o,call,0.9834
Q9o,fold,0.0033
Q9o,call,0.9967
J9o,fold,0.0719
J9o,call,0.9281
T9o,fold,0.1721
T9o,call,0.8279
T9o,raise,0.0001
99,call,0.244
99,raise,0.7559
98s,fold,0.0223
98s,call,0.9777
97s,fold,0.2633
97s,call,0.7367
96s,fold,0.1301
96s,call,0.8699
95s,fold,0.9544
95s,call,0.0439
95s,raise,0.0016
94s,fold,0.9998
94s,call,0.0001
93s,fold,0.9989
93s,call,0.0011
92s,fold,0.9947
92s,call,0.0051
92s,raise,0.0001
A8o,fold,0.0036
A8o,call,0.9963
A8o,raise,0.0001
K8o,fold,0.2616
K8o,call,0.7384
Q8o,fold,0.0657
Q8o,call,0.9343
J8o,fold,0.1094
J8o,call,0.8906
T8o,fold,0.7113
T8o,call,0.2887
98o,fold,0.2447
98o,call,0.7553
88,fold,0.0006
88,call,0.2994
88,raise,0.7
87s,fold,0.012
87s,call,0.9878
87s,raise,0.0001
86s,fold,0.8323
86s,call,0.1672
86s,raise,0.0004
85s,fold,0.9451
85s,call,0.0548
85s,raise,0.0001
84s,fold,0.9989
84s,call,0.001
83s,fold,0.9964
83s,call,0.0036
82s,fold,0.9923
82s,call,0.0077
A7o,fold,0.0464
A7o,call,0.9536
K7o,fold,0.4983
K7o,call,0.5016
Q7o,fold,0.9979
Q7o,call,0.0021
J7o,fold,0.7911
J7o,call,0.2089
T7o,fold,0.8784
T7o,call,0.1216
97o,fold,0.7457
97o,call,0.2543
87o,fold,0.9462
87o,call,0.0538
87o,raise,0.0001
77,fold,0.0344
77,call,0.7283
77,raise,0.2372
76s,fold,0.3373
76s,call,0.6627
75s,fold,0.9446
75s,call,0.0554
74s,fold,0.9757
74s,call,0.0243
73s,fold,0.9995
73s,call,0.0003
73s,raise,0.0002
72s,fold,0.7584
72s,call,0.2416
A6o,fold,0.0987
A6o,call,0.9012
K6o,fold,0.2149
K6o,call,0.7851
Q6o,fold,1.0
J6o,fold,1.0
T6o,fold,1.0
96o,fold,1.0
86o,fold,0.9845
86o,call,0.0155
76o,fold,0.9998
76o,call,0.0001
66,fold,0.0025
66,call,0.9974
66,raise,0.0001
65s,fold,0.7493
65s,call,0.2506
64s,fold,0.8352
64s,call,0.1648
63s,fold,0.9937
63s,call,0.0063
62s,fold,0.9988
62s,call,0.0012
A5o,fold,0.0022
A5o,call,0.9978
K5o,fold,0.6376
K5o,call,0.3623
K5o,raise,0.0001
Q5o,fold,0.9976
Q5o,call,0.0024
J5o,fold,0.9977
J5o,call,0.0023
T5o,fold,1.0
95o,fold,1.0
85o,fold,0.9997
85o,call,0.0003
75o,fold,0.9985
75o,call,0.0015
65o,fold,0.9996
65o,call,0.0004
55,fold,0.0253
55,call,0.889
55,raise,0.0857
54s,fold,0.3137
54s,call,0.6832
54s,raise,0.003
53s,fold,0.9851
53s,call,0.0149
52s,fold,0.7885
52s,call,0.2115
A4o,fold,0.004
A4o,call,0.9959
A4o,raise,0.0002
K4o,fold,0.9998
K4o,call,0.0001
Q4o,fold,1.0
J4o,fold,0.9999
J4o,call,0.0001
T4o,fold,0.9997
T4o,call,0.0003
94o,fold,1.0
84o,fold,0.9999
84o,call,0.0001
74o,fold,0.9999
74o,call,0.0001
64o,fold,0.9999
64o,call,0.0001
54o,fold,0.9999
54o,call,0.0001
44,fold,0.0847
44,call,0.9153
43s,fold,0.9991
43s,call,0.0009
42s,fold,0.9507
42s,call,0.0493
A3o,fold,0.0433
A3o,call,0.9566
K3o,fold,1.0
Q3o,fold,1.0
J3o,fold,1.0
T3o,fold,0.9993
T3o,call,0.0007
93o,fold,1.0
83o,fold,1.0
73o,fold,1.0
63o,fold,1.0
53o,fold,1.0
43o,fold,1.0
33,fold,0.034
33,call,0.9653
