# Generated by hrc_import.py --multi-opener-8max from hrc_8max_chipev_050bb.zip
# HRC tree: 8-handed, effective 50.0bb
# Equity model: chipev, ante: BB_ANTE_ANTE_FIRST
# App slot (deferred integration): sb vsopen vs utg1 open @ 50bb
# HRC node: id=4864, seat=6, sequence=FRFFFF
# Actions: ['fold', 'call', 'raise']
# VPIP estimate: 40.32%
notation,action,freq
AA,call,0.0001
AA,raise,0.9999
AKs,call,0.0315
AKs,raise,0.9685
AQs,call,0.5434
AQs,raise,0.4566
AJs,fold,0.0019
AJs,call,0.2044
AJs,raise,0.7937
ATs,fold,0.0016
ATs,call,0.917
ATs,raise,0.0814
A9s,fold,0.1514
A9s,call,0.8486
A8s,fold,0.0067
A8s,call,0.9924
A8s,raise,0.001
A7s,fold,0.0113
A7s,call,0.9035
A7s,raise,0.0852
A6s,fold,0.0248
A6s,call,0.9741
A6s,raise,0.0011
A5s,fold,0.1346
A5s,call,0.8654
A4s,fold,0.1426
A4s,call,0.8489
A4s,raise,0.0085
A3s,fold,0.0046
A3s,call,0.9818
A3s,raise,0.0135
A2s,fold,0.1655
A2s,call,0.8337
A2s,raise,0.0008
AKo,call,0.0072
AKo,raise,0.9928
KK,call,0.0002
KK,raise,0.9998
KQs,fold,0.0001
KQs,call,0.8832
KQs,raise,0.1167
KJs,fold,0.0003
KJs,call,0.6414
KJs,raise,0.3583
KTs,fold,0.1804
KTs,call,0.5645
KTs,raise,0.2551
K9s,fold,0.282
K9s,call,0.7128
K9s,raise,0.0052
K8s,fold,0.3092
K8s,call,0.6908
K7s,fold,0.0849
K7s,call,0.9151
K6s,fold,0.221
K6s,call,0.7789
K5s,fold,0.1194
K5s,call,0.8806
K5s,raise,0.0001
K4s,fold,0.8846
K4s,call,0.1146
K4s,raise,0.0009
K3s,fold,0.456
K3s,call,0.5439
K3s,raise,0.0001
K2s,fold,0.8358
K2s,call,0.1642
AQo,call,0.7244
AQo,raise,0.2756
KQo,fold,0.0042
KQo,call,0.9957
KQo,raise,0.0001
QQ,call,0.0007
QQ,raise,0.9993
QJs,fold,0.0306
QJs,call,0.9694
QJs,raise,0.0001
QTs,fold,0.0281
QTs,call,0.965
QTs,raise,0.0069
Q9s,fold,0.3684
Q9s,call,0.6315
Q9s,raise,0.0001
Q8s,fold,0.8062
Q8s,call,0.1878
Q8s,raise,0.006
