# poker.academy CE-Symmetric — 50bb vsopen | hero SB vs CO
# Scraped 2026-06-01 via scrape_all_ranges.py
# TreeParams: poker.academy CE-Symmetric Regular @ 50bb (GTO ChipEV, 1bb ante)
notation,action,freq
22,call,1.0
33,call,1.0
44,call,1.0
55,call,1.0
66,call,1.0
77,call,0.7
77,threeBet,0.3
88,call,0.6281
88,threeBet,0.3719
99,call,0.1839
99,threeBet,0.8161
AA,threeBet,1.0
AKs,threeBet,1.0
AQs,threeBet,1.0
AJs,call,1.0
ATs,call,1.0
A9s,call,0.796
A9s,threeBet,0.204
A8s,call,0.2499
A8s,threeBet,0.7501
A7s,call,0.6761
A7s,threeBet,0.3239
A6s,call,0.4679
A6s,threeBet,0.5321
A5s,call,0.55
A5s,threeBet,0.45
A4s,call,0.5919
A4s,threeBet,0.4081
A3s,call,0.8861
A3s,threeBet,0.1139
A2s,call,1.0
AKo,threeBet,1.0
KK,threeBet,1.0
KQs,call,0.8741
KQs,threeBet,0.1259
KJs,call,1.0
KTs,call,0.432
KTs,threeBet,0.568
K9s,call,0.1259
K9s,threeBet,0.8741
K8s,call,0.5801
K8s,threeBet,0.4199
K7s,call,0.9082
K7s,threeBet,0.0918
K6s,call,0.6701
K6s,threeBet,0.3299
K5s,call,0.6441
K5s,threeBet,0.3559
K4s,call,0.9701
K4s,threeBet,0.0299
K3s,call,1.0
AQo,call,0.2339
AQo,threeBet,0.7661
KQo,call,0.17
KQo,threeBet,0.83
QQ,threeBet,1.0
QJs,call,0.8681
QJs,threeBet,0.1319
QTs,call,0.166
QTs,threeBet,0.834
Q9s,call,0.632
Q9s,threeBet,0.368
Q8s,call,0.9661
Q8s,threeBet,0.0339
Q7s,call,0.7341
Q7s,fold,0.2659
Q6s,call,0.348
Q6s,fold,0.652
AJo,call,0.0999
AJo,threeBet,0.9001
KJo,call,0.5961
KJo,threeBet,0.4039
QJo,call,0.9541
QJo,threeBet,0.0459
JJ,threeBet,1.0
JTs,threeBet,1.0
J9s,call,0.46
J9s,threeBet,0.54
J8s,call,0.6121
J8s,threeBet,0.3879
ATo,call,0.3399
ATo,threeBet,0.6601
KTo,call,0.8321
KTo,threeBet,0.1679
QTo,call,1.0
JTo,call,0.9381
JTo,threeBet,0.0619
TT,threeBet,1.0
T9s,call,0.1159
T9s,threeBet,0.8841
T8s,call,0.2959
T8s,threeBet,0.7041
T7s,call,0.4068
T7s,fold,0.5191
T7s,threeBet,0.0741
A9o,call,1.0
98s,call,0.508
98s,threeBet,0.492
97s,call,0.786
97s,threeBet,0.214
A8o,call,0.824
A8o,threeBet,0.176
87s,call,0.84
87s,threeBet,0.16
86s,call,0.6441
86s,fold,0.3559
76s,call,0.536
76s,threeBet,0.464
65s,call,0.5439
65s,fold,0.4561
54s,call,0.6441
54s,fold,0.272
54s,threeBet,0.0839
