# Generated by hrc_import.py --canonical-8max from hrc_8max_chipev_050bb.zip
# HRC tree: 8-handed, effective 50.0bb (1000000 chips at 20000/bb)
# Equity model: chipev, ante: BB_ANTE_ANTE_FIRST
# Preflop sizes: {'SIZES_OPEN_OTHERS': '2.2bb + 1.0bb', 'SIZES_OPEN_BU': '2.2bb + 1.0bb', 'SIZES_OPEN_SB': '2.8bb + 1.0bb', 'SIZES_OPEN_BB': '2.8bb + 1.0bb', 'SIZES_OPEN_BB_VS_SB': '3.0bb', 'SIZES_3BET_IP': '2.5x + 1.0x', 'SIZES_3BET_BB_VS_OTHER': '3.3x + 1.0x', 'SIZES_3BET_BB_VS_SB': '2.5x', 'SIZES_3BET_SB_VS_BB': '2.6x + 1.0x', 'SIZES_3BET_SB_VS_OTHER': '3.3x + 1.0x', 'SIZES_4BET_IP': '90.0%, all-in', 'SIZES_4BET_OOP': '120.0%, all-in', 'SIZES_5BET_IP': '90.0%, all-in', 'SIZES_5BET_OOP': '120.0%, all-in'}
# App slot: utg1 vs3bet @ 50bb
# HRC node: id=13752, seat=1, sequence=FRRFFFFF
# Actions at node: ['fold', 'call', 'jam']
# VPIP estimate: 98.41%
notation,action,freq
AA,fold,0.0001
AA,call,0.0001
AA,jam,0.9998
AKs,fold,0.0075
AKs,call,0.0848
AKs,jam,0.9077
AQs,call,0.9987
AQs,jam,0.0013
AJs,fold,0.0024
AJs,call,0.9907
AJs,jam,0.0069
ATs,fold,0.0099
ATs,call,0.9421
ATs,jam,0.0481
A9s,fold,0.0077
A9s,call,0.9915
A9s,jam,0.0008
A8s,fold,0.0188
A8s,call,0.9804
A8s,jam,0.0009
A7s,fold,0.0052
A7s,call,0.9738
A7s,jam,0.0209
A6s,fold,0.1035
A6s,call,0.8833
A6s,jam,0.0132
A5s,fold,0.0006
A5s,call,0.9852
A5s,jam,0.0143
A4s,fold,0.3975
A4s,call,0.5826
A4s,jam,0.0199
A3s,fold,0.0505
A3s,call,0.9459
A3s,jam,0.0036
A2s,fold,0.1018
A2s,call,0.7588
A2s,jam,0.1393
AKo,call,0.9455
AKo,jam,0.0545
KK,call,0.0537
KK,jam,0.9463
KQs,fold,0.0387
KQs,call,0.9334
KQs,jam,0.0279
KJs,fold,0.0255
KJs,call,0.9741
KJs,jam,0.0004
KTs,fold,0.021
KTs,call,0.9747
KTs,jam,0.0043
K9s,fold,0.0919
K9s,call,0.9003
K9s,jam,0.0078
K8s,fold,0.3582
K8s,call,0.5399
K8s,jam,0.1019
K7s,fold,0.1676
K7s,call,0.79
K7s,jam,0.0423
K6s,fold,0.1437
K6s,call,0.8507
K6s,jam,0.0056
K4s,fold,0.4226
K4s,call,0.5376
K4s,jam,0.0397
K3s,fold,0.4561
K3s,call,0.5325
K3s,jam,0.0114
K2s,fold,0.7901
K2s,call,0.1939
K2s,jam,0.016
AQo,call,0.9901
AQo,jam,0.0099
KQo,fold,0.0031
KQo,call,0.9914
KQo,jam,0.0055
QQ,fold,0.0004
QQ,call,0.8619
QQ,jam,0.1378
QJs,fold,0.0037
QJs,call,0.996
QJs,jam,0.0003
QTs,fold,0.0145
QTs,call,0.9853
QTs,jam,0.0001
Q9s,fold,0.1001
Q9s,call,0.8679
Q9s,jam,0.032
Q8s,fold,0.1799
Q8s,call,0.8199
Q8s,jam,0.0001
Q7s,fold,0.3449
Q7s,call,0.6339
Q7s,jam,0.0212
Q6s,fold,0.1577
Q6s,call,0.8393
Q6s,jam,0.003
Q5s,fold,0.0817
Q5s,call,0.9023
Q5s,jam,0.016
Q4s,fold,0.0541
Q4s,call,0.8554
Q4s,jam,0.0905
Q3s,fold,0.5366
Q3s,call,0.456
Q3s,jam,0.0073
AJo,fold,0.0005
AJo,call,0.999
AJo,jam,0.0005
KJo,fold,0.0188
KJo,call,0.9764
KJo,jam,0.0047
QJo,fold,0.0125
QJo,call,0.9873
QJo,jam,0.0002
JJ,fold,0.0016
JJ,call,0.9616
JJ,jam,0.0368
JTs,fold,0.0487
JTs,call,0.7223
JTs,jam,0.229
J9s,fold,0.0569
J9s,call,0.9009
J9s,jam,0.0423
J8s,fold,0.0182
J8s,call,0.9795
J8s,jam,0.0022
J6s,fold,0.5507
J6s,call,0.4484
J6s,jam,0.0009
J5s,fold,0.0481
J5s,call,0.9474
J5s,jam,0.0045
J4s,fold,0.1742
J4s,call,0.8169
J4s,jam,0.009
J3s,fold,0.1359
J3s,call,0.8632
J3s,jam,0.0009
ATo,fold,0.0003
ATo,call,0.9997
KTo,fold,0.012
KTo,call,0.9858
KTo,jam,0.0023
QTo,fold,0.035
QTo,call,0.9637
QTo,jam,0.0013
JTo,fold,0.1966
JTo,call,0.8033
JTo,jam,0.0001
TT,call,0.9481
TT,jam,0.0519
T9s,fold,0.0245
T9s,call,0.9749
T9s,jam,0.0006
T8s,fold,0.0132
T8s,call,0.9787
T8s,jam,0.0081
T7s,fold,0.4834
T7s,call,0.5154
T7s,jam,0.0012
T5s,fold,0.4023
T5s,call,0.5971
T5s,jam,0.0005
T2s,fold,0.0285
T2s,call,0.97
T2s,jam,0.0015
A9o,fold,0.0011
A9o,call,0.9975
A9o,jam,0.0014
K9o,fold,0.0198
K9o,call,0.9798
K9o,jam,0.0004
J9o,fold,0.0201
J9o,call,0.9794
J9o,jam,0.0005
99,fold,0.0085
99,call,0.9876
99,jam,0.0039
98s,fold,0.2997
98s,call,0.6998
98s,jam,0.0005
97s,fold,0.107
97s,call,0.8912
97s,jam,0.0018
96s,fold,0.4847
96s,call,0.4787
96s,jam,0.0366
A8o,fold,0.0018
A8o,call,0.987
A8o,jam,0.0112
K8o,fold,0.2431
K8o,call,0.7553
K8o,jam,0.0016
