# poker.academy CE-Symmetric — 50bb vs3bet | hero MP vs SB
# Scraped 2026-06-01 via scrape_all_ranges.py
# TreeParams: poker.academy CE-Symmetric Regular @ 50bb (GTO ChipEV, 1bb ante)
notation,action,freq
44,call,0.8607
44,fold,0.1393
55,call,0.47
55,fold,0.53
66,call,0.6021
66,fold,0.3979
77,call,0.738
77,fold,0.262
88,call,1.0
99,call,1.0
AA,call,1.0
AKs,call,0.6221
AKs,jam,0.3779
AQs,call,1.0
AJs,call,1.0
ATs,call,1.0
A9s,call,0.4959
A9s,fold,0.5041
A8s,call,0.552
A8s,fold,0.448
A7s,call,0.2799
A7s,fold,0.7201
A5s,call,0.5279
A5s,jam,0.4721
A4s,call,0.984
A4s,jam,0.016
A3s,call,0.3
A3s,fold,0.7
AKo,jam,1.0
KK,call,0.568
KK,jam,0.432
KQs,call,1.0
KJs,call,1.0
KTs,call,1.0
K9s,call,0.2258
K9s,fold,0.7742
K6s,call,1.0
AQo,call,1.0
KQo,call,0.272
KQo,fold,0.728
QQ,call,0.0459
QQ,jam,0.9541
QJs,call,1.0
QTs,call,0.6861
QTs,fold,0.3139
AJo,call,0.0058
AJo,fold,0.9942
JJ,call,0.6721
JJ,jam,0.3279
JTs,call,1.0
TT,call,1.0
T9s,call,0.546
T9s,fold,0.454
87s,call,1.0
76s,call,1.0
