# Generated by hrc_import.py --canonical-8max from hrc_8max_chipev_050bb.zip
# HRC tree: 8-handed, effective 50.0bb (1000000 chips at 20000/bb)
# Equity model: chipev, ante: BB_ANTE_ANTE_FIRST
# TreeParams: HRC v3 Advanced ChipEV @ 50bb: open 2.2bb + 1.0bb; BU 2.2bb + 1.0bb; SB 2.8bb + 1.0bb; 3-bet IP 2.5x + 1.0x; 3-bet BB-vs-others 3.3x + 1.0x; 4-bet IP 90.0%, all-in
# App slot: utg1 vs3betjam @ 50bb
# HRC node: id=15762, seat=1, sequence=FRRFFFFF
# Actions at node: ['fold', 'call']
# VPIP estimate: 35.31%
notation,action,freq
AA,call,1.0
AKs,fold,0.0003
AKs,call,0.9997
AQs,fold,0.3
AQs,call,0.7
AJs,fold,0.7145
AJs,call,0.2855
ATs,fold,0.9613
ATs,call,0.0387
A9s,fold,0.9664
A9s,call,0.0336
A8s,fold,0.704
A8s,call,0.296
A7s,fold,0.966
A7s,call,0.034
A6s,fold,0.998
A6s,call,0.002
A5s,fold,0.7161
A5s,call,0.2839
A4s,fold,0.9394
A4s,call,0.0606
A3s,fold,0.7004
A3s,call,0.2996
A2s,fold,0.9315
A2s,call,0.0685
AKo,fold,0.0001
AKo,call,0.9999
KK,call,1.0
KQs,fold,0.3786
KQs,call,0.6214
KJs,fold,0.8703
KJs,call,0.1297
KTs,fold,0.9859
KTs,call,0.0141
K9s,fold,0.9298
K9s,call,0.0702
K8s,fold,0.9856
K8s,call,0.0144
K7s,fold,0.6458
K7s,call,0.3542
K6s,fold,0.9998
K6s,call,0.0002
K4s,fold,0.8343
K4s,call,0.1657
K3s,fold,0.9794
K3s,call,0.0206
K2s,fold,0.9969
K2s,call,0.0031
AQo,fold,0.5571
AQo,call,0.4429
KQo,fold,0.9504
KQo,call,0.0496
QQ,fold,0.0001
QQ,call,0.9999
QJs,fold,0.8957
QJs,call,0.1043
QTs,fold,0.9877
QTs,call,0.0123
Q9s,fold,0.9873
Q9s,call,0.0127
Q8s,fold,0.8993
Q8s,call,0.1007
Q7s,fold,0.7804
Q7s,call,0.2196
Q6s,fold,0.9993
Q6s,call,0.0007
Q5s,fold,0.8217
Q5s,call,0.1783
Q4s,fold,0.9934
Q4s,call,0.0066
Q3s,fold,0.9983
Q3s,call,0.0017
AJo,fold,0.8994
AJo,call,0.1006
KJo,fold,0.9975
KJo,call,0.0025
QJo,fold,1.0
JJ,fold,0.0014
JJ,call,0.9986
JTs,fold,0.9553
JTs,call,0.0447
J9s,fold,0.9088
J9s,call,0.0912
J8s,fold,0.9941
J8s,call,0.0059
J6s,fold,0.9855
J6s,call,0.0145
J5s,fold,0.9829
J5s,call,0.0171
J4s,fold,0.9601
J4s,call,0.0399
J3s,fold,0.9959
J3s,call,0.0041
ATo,fold,0.9712
ATo,call,0.0288
KTo,fold,0.9805
KTo,call,0.0195
QTo,fold,0.9762
QTo,call,0.0238
JTo,fold,0.9991
JTo,call,0.0009
TT,fold,0.3748
TT,call,0.6252
T9s,fold,0.9995
T9s,call,0.0005
T8s,fold,0.9984
T8s,call,0.0016
T7s,fold,0.9738
T7s,call,0.0262
T5s,fold,0.9914
T5s,call,0.0086
T2s,fold,0.9971
T2s,call,0.0029
A9o,fold,0.9493
A9o,call,0.0507
K9o,fold,0.9942
K9o,call,0.0058
J9o,fold,0.9988
J9o,call,0.0012
99,fold,0.3629
99,call,0.6371
98s,fold,0.9959
98s,call,0.0041
97s,fold,0.9786
97s,call,0.0214
96s,fold,0.9995
96s,call,0.0005
A8o,fold,0.9993
A8o,call,0.0007
K8o,fold,0.9973
K8o,call,0.0027
J8o,fold,0.9991
J8o,call,0.0009
88,fold,0.9268
88,call,0.0732
87s,fold,0.9829
87s,call,0.0171
86s,fold,0.9963
86s,call,0.0037
85s,fold,0.9999
85s,call,0.0001
83s,fold,0.996
83s,call,0.004
A7o,fold,0.9882
A7o,call,0.0118
77,fold,0.8698
77,call,0.1302
76s,fold,0.9855
76s,call,0.0145
73s,fold,0.9982
73s,call,0.0018
72s,fold,0.9966
72s,call,0.0034
A6o,fold,0.9666
A6o,call,0.0334
66,fold,0.8104
66,call,0.1896
65s,fold,0.9999
65s,call,0.0001
A5o,fold,0.9441
A5o,call,0.0559
55,fold,0.9353
55,call,0.0647
53s,fold,0.9998
53s,call,0.0002
A4o,fold,0.9563
A4o,call,0.0437
44,fold,0.7084
44,call,0.2916
A3o,fold,0.9709
A3o,call,0.0291
33,fold,0.7961
33,call,0.2039
22,fold,0.8422
22,call,0.1578
