# Generated by hrc_import.py --multi-opener-8max from hrc_8max_chipev_050bb.zip
# HRC tree: 8-handed, effective 50.0bb
# Equity model: chipev, ante: BB_ANTE_ANTE_FIRST
# App slot (deferred integration): utg1 vsopen vs utg open @ 50bb
# HRC node: id=15820, seat=1, sequence=R
# Actions: ['fold', 'call', 'raise', 'jam']
# VPIP estimate: 15.69%
notation,action,freq
AA,raise,0.9365
AA,jam,0.0634
AKs,call,0.3154
AKs,raise,0.1973
AKs,jam,0.4873
AQs,call,0.1503
AQs,raise,0.3103
AQs,jam,0.5394
AJs,call,0.0834
AJs,raise,0.8847
AJs,jam,0.032
ATs,call,0.9368
ATs,raise,0.0109
ATs,jam,0.0523
A9s,fold,0.1309
A9s,call,0.7712
A9s,raise,0.0473
A9s,jam,0.0507
A8s,fold,0.4384
A8s,call,0.5582
A8s,raise,0.0005
A8s,jam,0.0029
A7s,fold,0.7023
A7s,call,0.1785
A7s,raise,0.1182
A7s,jam,0.001
A6s,fold,0.9734
A6s,call,0.0083
A6s,raise,0.0181
A6s,jam,0.0002
A5s,fold,0.8644
A5s,call,0.0809
A5s,raise,0.0374
A5s,jam,0.0173
A4s,fold,0.4783
A4s,call,0.513
A4s,raise,0.0011
A4s,jam,0.0077
A3s,fold,0.947
A3s,call,0.0522
A3s,raise,0.0004
A3s,jam,0.0004
A2s,fold,0.9423
A2s,call,0.0465
A2s,raise,0.0042
A2s,jam,0.007
AKo,call,0.2694
AKo,raise,0.5517
AKo,jam,0.1789
KK,call,0.0007
KK,raise,0.9461
KK,jam,0.0532
KQs,fold,0.0001
KQs,call,0.9675
KQs,raise,0.0194
KQs,jam,0.0129
KJs,call,0.0196
KJs,raise,0.97
KJs,jam,0.0105
KTs,fold,0.6533
KTs,call,0.194
KTs,raise,0.1475
KTs,jam,0.0053
K9s,fold,0.9236
K9s,call,0.0207
K9s,raise,0.0509
K9s,jam,0.0049
K8s,fold,0.9121
K8s,call,0.031
K8s,raise,0.0544
K8s,jam,0.0025
K7s,fold,0.7463
K7s,call,0.2308
K7s,raise,0.0197
K7s,jam,0.0032
K6s,fold,0.992
K6s,call,0.0055
K6s,raise,0.002
K6s,jam,0.0004
K5s,fold,0.9092
K5s,call,0.0868
K5s,raise,0.0001
K5s,jam,0.004
K4s,fold,0.9076
K4s,call,0.0823
K4s,raise,0.0099
K4s,jam,0.0001
K3s,fold,0.9824
K3s,call,0.0175
K2s,fold,0.9802
K2s,call,0.0164
K2s,raise,0.0017
K2s,jam,0.0018
AQo,call,0.5255
AQo,raise,0.4401
AQo,jam,0.0344
KQo,fold,0.0003
KQo,call,0.9579
KQo,raise,0.0394
KQo,jam,0.0024
QQ,call,0.9787
QQ,jam,0.0213
QJs,fold,0.1902
QJs,call,0.74
QJs,raise,0.0644
QJs,jam,0.0054
QTs,fold,0.068
QTs,call,0.8771
QTs,raise,0.025
QTs,jam,0.03
Q9s,fold,0.5686
Q9s,call,0.4077
Q9s,raise,0.0201
Q9s,jam,0.0036
Q8s,fold,0.9539
Q8s,call,0.0108
Q8s,raise,0.0328
Q8s,jam,0.0025
Q7s,fold,0.981
Q7s,call,0.0007
Q7s,raise,0.0131
Q7s,jam,0.0052
Q6s,fold,0.9992
Q6s,call,0.0005
Q6s,raise,0.0004
Q5s,fold,0.985
Q5s,call,0.0149
Q5s,raise,0.0001
Q5s,jam,0.0001
Q4s,fold,0.9897
Q4s,call,0.0052
Q4s,raise,0.0003
Q4s,jam,0.0049
Q3s,fold,0.9902
Q3s,raise,0.0092
Q3s,jam,0.0006
Q2s,fold,0.9977
Q2s,call,0.0007
Q2s,raise,0.0014
Q2s,jam,0.0002
AJo,fold,0.123
AJo,call,0.7224
AJo,raise,0.1446
AJo,jam,0.01
KJo,fold,0.7884
KJo,call,0.0184
KJo,raise,0.1902
KJo,jam,0.003
QJo,fold,0.9768
QJo,call,0.0207
QJo,raise,0.0003
QJo,jam,0.0022
JJ,call,0.2927
JJ,raise,0.4952
JJ,jam,0.2122
JTs,fold,0.6179
JTs,call,0.3402
JTs,raise,0.0278
JTs,jam,0.0141
J9s,fold,0.9847
J9s,call,0.0123
J9s,raise,0.0029
J9s,jam,0.0001
J8s,fold,0.9693
J8s,call,0.0102
J8s,raise,0.0183
J8s,jam,0.0022
J7s,fold,0.8767
J7s,call,0.1073
J7s,raise,0.002
J7s,jam,0.014
J6s,fold,0.9852
J6s,call,0.0134
J6s,raise,0.0008
J6s,jam,0.0006
J5s,fold,0.9996
J5s,call,0.0001
J5s,raise,0.0002
J5s,jam,0.0001
J4s,fold,0.9973
J4s,raise,0.0014
J4s,jam,0.0014
J3s,fold,0.9952
J3s,call,0.0038
J3s,raise,0.001
J2s,fold,0.9929
J2s,call,0.0001
J2s,raise,0.007
ATo,fold,0.4358
ATo,call,0.518
ATo,raise,0.045
ATo,jam,0.0012
KTo,fold,0.9189
KTo,call,0.0167
KTo,raise,0.0567
KTo,jam,0.0077
QTo,fold,0.9094
QTo,call,0.0783
QTo,raise,0.0123
JTo,fold,0.932
JTo,call,0.0424
JTo,raise,0.0246
JTo,jam,0.0009
TT,call,0.6985
TT,raise,0.2593
TT,jam,0.0422
T9s,fold,0.8306
T9s,call,0.1642
T9s,raise,0.0026
T9s,jam,0.0026
T8s,fold,0.9796
T8s,call,0.0096
T8s,raise,0.0098
T8s,jam,0.0009
T7s,fold,0.9823
T7s,call,0.0079
T7s,raise,0.008
T7s,jam,0.0017
T6s,fold,0.9985
T6s,call,0.0008
T6s,raise,0.0002
T6s,jam,0.0005
T5s,fold,0.9855
T5s,call,0.0046
T5s,raise,0.0098
T5s,jam,0.0001
T4s,fold,0.9982
T4s,call,0.0001
T4s,raise,0.0014
T4s,jam,0.0003
T3s,fold,0.9963
T3s,call,0.0007
T3s,raise,0.0025
T3s,jam,0.0006
T2s,fold,0.9937
T2s,call,0.0062
A9o,fold,0.8693
A9o,call,0.1159
A9o,raise,0.0141
A9o,jam,0.0006
K9o,fold,0.9957
K9o,call,0.0013
K9o,raise,0.0024
K9o,jam,0.0006
Q9o,fold,0.991
Q9o,call,0.0036
Q9o,raise,0.0051
Q9o,jam,0.0004
J9o,fold,0.9918
J9o,call,0.0079
J9o,raise,0.0002
J9o,jam,0.0002
T9o,fold,0.9972
T9o,call,0.002
T9o,raise,0.0008
99,call,0.9425
99,raise,0.0353
99,jam,0.0221
98s,fold,0.9959
98s,call,0.0032
98s,raise,0.0001
98s,jam,0.0009
97s,fold,0.9978
97s,call,0.0018
97s,raise,0.0002
97s,jam,0.0003
96s,fold,0.9991
96s,call,0.0009
95s,fold,0.9976
95s,call,0.0009
95s,raise,0.0013
95s,jam,0.0003
94s,fold,0.9991
94s,raise,0.0009
93s,fold,0.9998
93s,call,0.0002
92s,fold,0.9973
92s,call,0.0019
92s,raise,0.0007
92s,jam,0.0002
A8o,fold,0.9671
A8o,call,0.0313
A8o,raise,0.001
A8o,jam,0.0006
K8o,fold,0.9901
K8o,call,0.0029
K8o,raise,0.0056
K8o,jam,0.0014
Q8o,fold,0.9993
Q8o,call,0.0003
Q8o,raise,0.0002
Q8o,jam,0.0001
J8o,fold,0.9977
J8o,call,0.0021
J8o,jam,0.0002
T8o,fold,0.9997
T8o,call,0.0003
T8o,raise,0.0001
98o,fold,0.9979
98o,call,0.002
88,call,0.9469
88,jam,0.0531
87s,fold,0.9741
87s,call,0.0252
87s,raise,0.0003
87s,jam,0.0004
86s,fold,0.9961
86s,call,0.0001
86s,raise,0.0027
86s,jam,0.0011
85s,fold,0.998
85s,call,0.0001
85s,raise,0.0017
85s,jam,0.0001
84s,fold,0.9898
84s,call,0.0098
84s,raise,0.0004
83s,fold,0.9999
83s,raise,0.0001
82s,fold,0.9997
