# Generated by hrc_import.py --canonical-8max from hrc_8max_chipev_050bb.zip
# HRC tree: 8-handed, effective 50.0bb (1000000 chips at 20000/bb)
# Equity model: chipev, ante: BB_ANTE_ANTE_FIRST
# TreeParams: HRC v3 Advanced ChipEV @ 50bb: open 2.2bb + 1.0bb; BU 2.2bb + 1.0bb; SB 2.8bb + 1.0bb; 3-bet IP 2.5x + 1.0x; 3-bet BB-vs-others 3.3x + 1.0x; 4-bet IP 90.0%, all-in
# App slot: utg unopened @ 50bb
# HRC node: id=0, seat=0, sequence=root
# Actions at node: ['fold', 'raise']
# VPIP estimate: 15.29%
notation,action,freq
AA,raise,1.0
AKs,raise,1.0
AQs,raise,1.0
AJs,raise,1.0
ATs,raise,1.0
A9s,raise,1.0
A8s,fold,0.8021
A8s,raise,0.1979
A7s,fold,0.765
A7s,raise,0.235
A6s,fold,0.9672
A6s,raise,0.0328
A5s,fold,0.8681
A5s,raise,0.1319
A4s,fold,0.6695
A4s,raise,0.3305
A3s,fold,0.9963
A3s,raise,0.0037
A2s,fold,0.9999
A2s,raise,0.0001
AKo,raise,1.0
KK,raise,1.0
KQs,raise,1.0
KJs,raise,1.0
KTs,fold,0.0001
KTs,raise,0.9999
K9s,fold,0.8418
K9s,raise,0.1582
K8s,fold,0.9963
K8s,raise,0.0037
K7s,fold,0.9974
K7s,raise,0.0026
K6s,fold,0.997
K6s,raise,0.003
K5s,fold,0.9962
K5s,raise,0.0038
K4s,fold,0.9953
K4s,raise,0.0047
K3s,fold,0.9987
K3s,raise,0.0013
K2s,fold,1.0
AQo,raise,1.0
KQo,raise,1.0
QQ,raise,1.0
QJs,raise,1.0
QTs,fold,0.5118
QTs,raise,0.4882
Q9s,fold,0.9946
Q9s,raise,0.0054
Q8s,fold,0.9986
Q8s,raise,0.0014
Q7s,fold,0.9986
Q7s,raise,0.0014
Q6s,fold,0.9999
Q6s,raise,0.0001
Q5s,fold,0.9999
Q5s,raise,0.0001
Q4s,fold,0.9998
Q4s,raise,0.0002
Q3s,fold,0.9998
Q3s,raise,0.0002
Q2s,fold,1.0
AJo,raise,1.0
KJo,fold,0.467
KJo,raise,0.533
QJo,fold,0.9464
QJo,raise,0.0536
JJ,raise,1.0
JTs,fold,0.8105
JTs,raise,0.1895
J9s,fold,0.9901
J9s,raise,0.0099
J8s,fold,0.9994
J8s,raise,0.0006
J7s,fold,0.998
J7s,raise,0.002
J6s,fold,0.9999
J6s,raise,0.0001
J5s,fold,0.9998
J5s,raise,0.0002
J4s,fold,0.9999
J4s,raise,0.0001
J3s,fold,0.9995
J3s,raise,0.0005
J2s,fold,1.0
ATo,raise,1.0
KTo,fold,0.9666
KTo,raise,0.0334
QTo,fold,0.9949
QTo,raise,0.0051
JTo,fold,0.9989
JTo,raise,0.0011
TT,raise,1.0
T9s,fold,0.988
T9s,raise,0.012
T8s,fold,0.9997
T8s,raise,0.0003
T7s,fold,0.9998
T7s,raise,0.0002
T6s,fold,1.0
T5s,fold,1.0
T4s,fold,1.0
T3s,fold,1.0
T2s,fold,1.0
A9o,fold,0.7109
A9o,raise,0.2891
K9o,fold,0.9969
K9o,raise,0.0031
Q9o,fold,0.9992
Q9o,raise,0.0008
J9o,fold,0.9998
J9o,raise,0.0002
T9o,fold,1.0
99,raise,1.0
98s,fold,0.9952
98s,raise,0.0048
97s,fold,0.9997
97s,raise,0.0003
96s,fold,1.0
95s,fold,1.0
94s,fold,1.0
93s,fold,1.0
92s,fold,1.0
A8o,fold,0.9911
A8o,raise,0.0089
K8o,fold,0.9999
K8o,raise,0.0001
Q8o,fold,1.0
J8o,fold,0.9998
J8o,raise,0.0002
T8o,fold,1.0
98o,fold,1.0
88,raise,1.0
87s,fold,1.0
86s,fold,0.9996
86s,raise,0.0004
85s,fold,1.0
84s,fold,1.0
83s,fold,1.0
82s,fold,1.0
A7o,fold,0.997
A7o,raise,0.003
K7o,fold,0.9999
K7o,raise,0.0001
Q7o,fold,1.0
J7o,fold,1.0
T7o,fold,1.0
97o,fold,1.0
87o,fold,1.0
77,fold,0.0001
77,raise,0.9999
76s,fold,0.9999
76s,raise,0.0001
75s,fold,0.9994
75s,raise,0.0006
74s,fold,1.0
73s,fold,1.0
72s,fold,1.0
A6o,fold,0.9995
A6o,raise,0.0005
K6o,fold,1.0
Q6o,fold,1.0
J6o,fold,1.0
T6o,fold,1.0
96o,fold,1.0
86o,fold,1.0
76o,fold,1.0
66,fold,0.0001
66,raise,0.9999
65s,fold,1.0
64s,fold,0.9999
64s,raise,0.0001
63s,fold,1.0
62s,fold,1.0
A5o,fold,0.9979
A5o,raise,0.0021
K5o,fold,1.0
Q5o,fold,1.0
J5o,fold,1.0
T5o,fold,1.0
95o,fold,1.0
85o,fold,1.0
75o,fold,1.0
65o,fold,1.0
55,fold,0.9327
