# Generated by hrc_import.py --canonical-8max from hrc_8max_chipev_050bb.zip
# HRC tree: 8-handed, effective 50.0bb (1000000 chips at 20000/bb)
# Equity model: chipev, ante: BB_ANTE_ANTE_FIRST
# TreeParams: HRC v3 Advanced ChipEV @ 50bb: open 2.2bb + 1.0bb; BU 2.2bb + 1.0bb; SB 2.8bb + 1.0bb; 3-bet IP 2.5x + 1.0x; 3-bet BB-vs-others 3.3x + 1.0x; 4-bet IP 90.0%, all-in
# App slot: utg vs3betjam @ 50bb
# HRC node: id=45791, seat=0, sequence=RRFFFFFF
# Actions at node: ['fold', 'call']
# VPIP estimate: 39.92%
notation,action,freq
AA,call,1.0
AKs,fold,0.0024
AKs,call,0.9976
AQs,fold,0.1855
AQs,call,0.8145
AJs,fold,0.9251
AJs,call,0.0749
ATs,fold,0.6644
ATs,call,0.3356
A9s,fold,0.8126
A9s,call,0.1874
A8s,fold,0.9676
A8s,call,0.0324
A7s,fold,0.9587
A7s,call,0.0413
A6s,fold,0.9839
A6s,call,0.0161
A5s,fold,0.9821
A5s,call,0.0179
A4s,fold,0.9509
A4s,call,0.0491
A3s,fold,0.8385
A3s,call,0.1615
A2s,fold,0.9884
A2s,call,0.0116
AKo,fold,0.0006
AKo,call,0.9994
KK,call,1.0
KQs,fold,0.842
KQs,call,0.158
KJs,fold,0.9024
KJs,call,0.0976
KTs,fold,0.454
KTs,call,0.546
K9s,fold,0.9727
K9s,call,0.0273
K8s,fold,0.9826
K8s,call,0.0174
K7s,fold,0.8463
K7s,call,0.1537
K6s,fold,0.9914
K6s,call,0.0086
K5s,fold,0.9224
K5s,call,0.0776
K4s,fold,0.9928
K4s,call,0.0072
K3s,fold,0.9978
K3s,call,0.0022
AQo,fold,0.597
AQo,call,0.403
KQo,fold,0.9835
KQo,call,0.0165
QQ,fold,0.0051
QQ,call,0.9949
QJs,fold,0.9625
QJs,call,0.0375
QTs,fold,0.9938
QTs,call,0.0062
Q9s,fold,0.4995
Q9s,call,0.5005
Q8s,fold,0.8373
Q8s,call,0.1627
Q7s,fold,0.9434
Q7s,call,0.0566
Q6s,fold,0.9669
Q6s,call,0.0331
Q5s,fold,0.9875
Q5s,call,0.0125
Q4s,fold,0.9986
Q4s,call,0.0014
Q3s,fold,0.9999
Q3s,call,0.0001
AJo,fold,0.9932
AJo,call,0.0068
KJo,fold,0.9786
KJo,call,0.0214
QJo,fold,0.9987
QJo,call,0.0013
JJ,fold,0.0564
JJ,call,0.9436
JTs,fold,0.9574
JTs,call,0.0426
J9s,fold,0.9973
J9s,call,0.0027
J8s,fold,0.7434
J8s,call,0.2566
J7s,fold,0.983
J7s,call,0.017
J6s,fold,0.9726
J6s,call,0.0274
J5s,fold,0.9997
J5s,call,0.0003
J4s,fold,0.994
J4s,call,0.006
J3s,fold,0.9996
J3s,call,0.0004
ATo,fold,0.9721
ATo,call,0.0279
KTo,fold,0.996
KTo,call,0.004
QTo,fold,0.9989
QTo,call,0.0011
JTo,fold,0.9952
JTo,call,0.0048
TT,fold,0.0557
TT,call,0.9443
T9s,fold,0.2167
T9s,call,0.7833
T8s,fold,0.8228
T8s,call,0.1772
T7s,fold,0.999
T7s,call,0.001
A9o,fold,0.9886
A9o,call,0.0114
K9o,fold,0.9963
K9o,call,0.0037
Q9o,fold,0.9975
Q9o,call,0.0025
J9o,fold,0.9962
J9o,call,0.0038
99,fold,0.6722
99,call,0.3278
98s,fold,0.9424
98s,call,0.0576
97s,fold,0.9002
97s,call,0.0998
A8o,fold,0.9714
A8o,call,0.0286
K8o,fold,0.9888
K8o,call,0.0112
J8o,fold,0.9991
J8o,call,0.0009
88,fold,0.7919
88,call,0.2081
86s,fold,0.9977
86s,call,0.0023
A7o,fold,0.9908
A7o,call,0.0092
K7o,fold,0.9988
K7o,call,0.0012
77,fold,0.9681
77,call,0.0319
76s,fold,0.975
76s,call,0.025
75s,fold,0.9982
75s,call,0.0018
A6o,fold,0.9406
A6o,call,0.0594
66,fold,0.9295
66,call,0.0705
64s,fold,0.9867
64s,call,0.0133
A5o,fold,0.9949
A5o,call,0.0051
55,fold,0.8688
55,call,0.1312
54s,fold,0.9981
54s,call,0.0019
A4o,fold,0.9969
A4o,call,0.0031
44,fold,0.6418
44,call,0.3582
43s,fold,0.994
43s,call,0.006
A3o,fold,0.9989
A3o,call,0.0011
33,fold,0.961
33,call,0.039
A2o,fold,0.9683
A2o,call,0.0317
