# Generated by hrc_import.py --multi-opener-8max from hrc_8max_chipev_060bb.zip
# HRC tree: 8-handed, effective 60.0bb
# Equity model: chipev, ante: BB_ANTE_ANTE_FIRST
# App slot (deferred integration): bb vsopen vs btn open @ 60bb
# HRC node: id=17, seat=7, sequence=FFFFFRF
# Actions: ['fold', 'call', 'raise']
# VPIP estimate: 99.98%
notation,action,freq
AA,raise,1.0
AKs,fold,0.0001
AKs,call,0.0002
AKs,raise,0.9998
AQs,call,0.0085
AQs,raise,0.9915
AJs,call,0.1207
AJs,raise,0.8793
ATs,fold,0.0001
ATs,call,0.0132
ATs,raise,0.9867
A9s,fold,0.0002
A9s,call,0.6799
A9s,raise,0.3199
A8s,call,0.4956
A8s,raise,0.5043
A7s,fold,0.0003
A7s,call,0.1813
A7s,raise,0.8184
A6s,fold,0.0001
A6s,call,0.9863
A6s,raise,0.0137
A5s,fold,0.0001
A5s,call,0.9939
A5s,raise,0.0061
A4s,call,0.6385
A4s,raise,0.3615
A3s,call,0.3732
A3s,raise,0.6267
A2s,fold,0.0005
A2s,call,0.7807
A2s,raise,0.2188
AKo,raise,1.0
KK,raise,1.0
KQs,fold,0.0005
KQs,call,0.2346
KQs,raise,0.7649
KJs,call,1.0
KTs,fold,0.0002
KTs,call,0.9809
KTs,raise,0.0189
K9s,call,1.0
K8s,fold,0.0001
K8s,call,0.9989
K8s,raise,0.001
K7s,fold,0.0005
K7s,call,0.9962
K7s,raise,0.0032
K6s,fold,0.0001
K6s,call,0.9998
K5s,fold,0.0004
K5s,call,0.9995
K5s,raise,0.0001
K4s,fold,0.0002
K4s,call,0.9934
K4s,raise,0.0064
K3s,fold,0.0001
K3s,call,0.9123
K3s,raise,0.0876
K2s,fold,0.0002
K2s,call,0.9997
AQo,call,0.0149
AQo,raise,0.9851
KQo,call,0.5085
KQo,raise,0.4915
QQ,fold,0.0001
QQ,call,0.001
QQ,raise,0.999
QJs,fold,0.0001
QJs,call,0.9999
QTs,call,0.9866
QTs,raise,0.0134
Q9s,fold,0.0005
Q9s,call,0.9995
Q8s,fold,0.0001
Q8s,call,0.9999
Q7s,fold,0.0001
Q7s,call,0.9998
Q7s,raise,0.0001
Q6s,fold,0.0005
Q6s,call,0.9987
Q6s,raise,0.0008
Q5s,call,1.0
Q4s,fold,0.0002
Q4s,call,0.9998
Q3s,fold,0.0002
Q3s,call,0.9956
Q3s,raise,0.0042
Q2s,fold,0.0004
Q2s,call,0.9994
Q2s,raise,0.0002
AJo,call,0.008
AJo,raise,0.992
KJo,call,0.997
KJo,raise,0.0029
QJo,call,0.9999
JJ,call,0.3856
JJ,raise,0.6144
JTs,fold,0.0001
JTs,call,0.9999
J9s,call,1.0
J8s,fold,0.0001
J8s,call,0.9778
J8s,raise,0.0221
J7s,fold,0.0004
J7s,call,0.9996
J7s,raise,0.0001
J6s,fold,0.0003
J6s,call,0.9997
J5s,fold,0.0007
J5s,call,0.9993
J4s,fold,0.0001
J4s,call,0.9992
J4s,raise,0.0007
J3s,fold,0.0002
J3s,call,0.9998
J2s,fold,0.0002
J2s,call,0.9998
ATo,call,0.1796
ATo,raise,0.8204
KTo,call,0.9808
KTo,raise,0.0192
QTo,call,0.9999
JTo,call,0.9991
JTo,raise,0.0009
TT,call,0.0362
TT,raise,0.9638
T9s,fold,0.0005
T9s,call,0.9984
T9s,raise,0.0011
T8s,fold,0.0005
T8s,call,0.9994
T7s,fold,0.0003
T7s,call,0.9996
T7s,raise,0.0001
T6s,call,0.9999
T5s,call,1.0
T4s,fold,0.0004
T4s,call,0.9995
T3s,call,1.0
T2s,fold,0.0003
T2s,call,0.9997
A9o,call,0.1321
A9o,raise,0.8679
K9o,call,1.0
Q9o,call,1.0
J9o,call,1.0
T9o,fold,0.0001
T9o,call,0.9999
99,fold,0.0002
99,call,0.3382
99,raise,0.6616
