# Generated by hrc_import.py --multi-opener-8max from hrc_8max_chipev_060bb.zip
# HRC tree: 8-handed, effective 60.0bb
# Equity model: chipev, ante: BB_ANTE_ANTE_FIRST
# App slot (deferred integration): bb vsopen vs hj open @ 60bb
# HRC node: id=200, seat=7, sequence=FFFRFFF
# Actions: ['fold', 'call', 'raise']
# VPIP estimate: 99.97%
notation,action,freq
AA,raise,1.0
AKs,fold,0.0001
AKs,call,0.0004
AKs,raise,0.9995
AQs,fold,0.0001
AQs,call,0.1851
AQs,raise,0.8148
AJs,call,0.3066
AJs,raise,0.6934
ATs,fold,0.0001
ATs,call,0.8496
ATs,raise,0.1503
A9s,fold,0.0002
A9s,call,0.4666
A9s,raise,0.5332
A8s,fold,0.0003
A8s,call,0.9905
A8s,raise,0.0092
A7s,fold,0.0002
A7s,call,0.9997
A7s,raise,0.0001
A6s,fold,0.0007
A6s,call,0.9613
A6s,raise,0.038
A5s,fold,0.0014
A5s,call,0.9971
A5s,raise,0.0016
A4s,fold,0.0002
A4s,call,0.9985
A4s,raise,0.0013
A3s,fold,0.0001
A3s,call,0.9825
A3s,raise,0.0174
A2s,call,1.0
AKo,raise,1.0
KK,raise,1.0
KQs,fold,0.0004
KQs,call,0.118
KQs,raise,0.8816
KJs,call,0.7332
KJs,raise,0.2668
KTs,fold,0.0009
KTs,call,0.9386
KTs,raise,0.0605
K9s,fold,0.0016
K9s,call,0.9981
K9s,raise,0.0003
K8s,call,1.0
K7s,fold,0.0001
K7s,call,0.9859
K7s,raise,0.014
K6s,fold,0.0018
K6s,call,0.9725
K6s,raise,0.0257
K5s,fold,0.0004
K5s,call,0.9911
K5s,raise,0.0086
K4s,call,0.9663
K4s,raise,0.0337
K3s,fold,0.0005
K3s,call,0.9974
K3s,raise,0.0021
K2s,fold,0.0001
K2s,call,0.7182
K2s,raise,0.2817
AQo,fold,0.0001
AQo,call,0.0178
AQo,raise,0.9822
KQo,call,0.8169
KQo,raise,0.1831
QQ,call,0.0135
QQ,raise,0.9865
QJs,call,1.0
QTs,fold,0.0001
QTs,call,0.9999
Q9s,call,0.9999
Q9s,raise,0.0001
Q8s,fold,0.0002
Q8s,call,0.9946
Q8s,raise,0.0052
Q7s,fold,0.0004
Q7s,call,0.9996
Q7s,raise,0.0001
Q6s,call,0.9999
Q5s,fold,0.0007
Q5s,call,0.9991
Q5s,raise,0.0002
Q4s,fold,0.0006
Q4s,call,0.9994
Q3s,fold,0.0001
Q3s,call,0.9999
Q2s,fold,0.0008
Q2s,call,0.9992
AJo,call,0.2056
AJo,raise,0.7943
KJo,call,1.0
QJo,fold,0.0001
QJo,call,0.9996
QJo,raise,0.0002
JJ,call,0.1454
JJ,raise,0.8546
JTs,fold,0.0002
JTs,call,0.9997
JTs,raise,0.0001
J9s,call,1.0
J8s,fold,0.0004
J8s,call,0.9995
J8s,raise,0.0002
J7s,fold,0.0001
J7s,call,0.9999
J6s,call,1.0
J5s,fold,0.0004
J5s,call,0.9996
J4s,fold,0.0003
J4s,call,0.9997
J3s,call,1.0
J2s,fold,0.0002
J2s,call,0.9998
ATo,call,0.6366
ATo,raise,0.3633
KTo,call,1.0
QTo,fold,0.0001
QTo,call,0.9867
QTo,raise,0.0132
JTo,call,1.0
TT,fold,0.0001
TT,call,0.2099
TT,raise,0.79
T9s,fold,0.0001
T9s,call,0.9999
T8s,fold,0.0028
T8s,call,0.9729
T8s,raise,0.0243
T7s,fold,0.0004
T7s,call,0.9992
T7s,raise,0.0004
T6s,fold,0.0002
T6s,call,0.9997
T5s,fold,0.0001
T5s,call,0.9999
T4s,fold,0.0016
T4s,call,0.9653
T4s,raise,0.0331
T3s,fold,0.0012
T3s,call,0.9983
T3s,raise,0.0005
T2s,fold,0.0009
T2s,call,0.999
A9o,fold,0.0001
A9o,call,0.9999
K9o,call,1.0
