# Generated by hrc_import.py --multi-opener-8max from hrc_8max_chipev_060bb.zip
# HRC tree: 8-handed, effective 60.0bb
# Equity model: chipev, ante: BB_ANTE_ANTE_FIRST
# App slot (deferred integration): bb vsopen vs lj open @ 60bb
# HRC node: id=740, seat=7, sequence=FFRFFFF
# Actions: ['fold', 'call', 'raise']
# VPIP estimate: 99.96%
notation,action,freq
AA,raise,1.0
AKs,call,0.0345
AKs,raise,0.9655
AQs,call,0.0068
AQs,raise,0.9932
AJs,call,0.0769
AJs,raise,0.9231
ATs,fold,0.0004
ATs,call,0.9818
ATs,raise,0.0178
A9s,call,0.9515
A9s,raise,0.0485
A8s,call,0.9999
A8s,raise,0.0001
A7s,call,0.9117
A7s,raise,0.0883
A6s,fold,0.0021
A6s,call,0.9967
A6s,raise,0.0012
A5s,fold,0.0002
A5s,call,0.9997
A5s,raise,0.0001
A4s,fold,0.0001
A4s,call,0.9909
A4s,raise,0.009
A3s,fold,0.0003
A3s,call,0.9995
A3s,raise,0.0002
A2s,fold,0.0011
A2s,call,0.9984
A2s,raise,0.0004
AKo,call,0.0156
AKo,raise,0.9843
KK,call,0.0001
KK,raise,0.9999
KQs,fold,0.0003
KQs,call,0.611
KQs,raise,0.3887
KJs,fold,0.0002
KJs,call,0.6943
KJs,raise,0.3056
KTs,fold,0.0005
KTs,call,0.8861
KTs,raise,0.1134
K9s,fold,0.0006
K9s,call,0.9755
K9s,raise,0.024
K8s,fold,0.0008
K8s,call,0.9173
K8s,raise,0.082
K7s,call,0.9999
K7s,raise,0.0001
K6s,fold,0.0022
K6s,call,0.7197
K6s,raise,0.2781
K5s,fold,0.0005
K5s,call,0.9861
K5s,raise,0.0134
K4s,fold,0.0001
K4s,call,0.9901
K4s,raise,0.0097
K3s,fold,0.0005
K3s,call,0.9994
K3s,raise,0.0001
K2s,fold,0.0003
K2s,call,0.873
K2s,raise,0.1267
AQo,call,0.1413
AQo,raise,0.8587
KQo,call,0.9235
KQo,raise,0.0765
QQ,raise,1.0
QJs,fold,0.0009
QJs,call,0.9183
QJs,raise,0.0807
QTs,fold,0.0011
QTs,call,0.9988
QTs,raise,0.0001
Q9s,fold,0.0005
Q9s,call,0.9994
Q9s,raise,0.0001
Q8s,fold,0.0006
Q8s,call,0.9993
Q8s,raise,0.0001
Q7s,fold,0.0011
Q7s,call,0.9989
Q6s,fold,0.0002
Q6s,call,0.9287
Q6s,raise,0.0711
Q5s,fold,0.0004
Q5s,call,0.9217
Q5s,raise,0.0779
Q4s,fold,0.0007
Q4s,call,0.9993
Q3s,fold,0.0008
Q3s,call,0.999
Q3s,raise,0.0002
Q2s,fold,0.0002
Q2s,call,0.9997
AJo,fold,0.0001
AJo,call,0.4877
AJo,raise,0.5122
KJo,fold,0.0001
KJo,call,0.9999
QJo,fold,0.0001
QJo,call,0.9999
JJ,fold,0.0001
JJ,call,0.0866
JJ,raise,0.9133
JTs,fold,0.0005
JTs,call,0.9995
J9s,fold,0.0001
J9s,call,0.9999
J8s,fold,0.0006
J8s,call,0.8574
J8s,raise,0.142
J7s,fold,0.001
J7s,call,0.9989
J7s,raise,0.0001
J6s,fold,0.0001
J6s,call,0.9999
J5s,fold,0.0004
J5s,call,0.9996
J4s,fold,0.0005
J4s,call,0.9995
J3s,call,1.0
J2s,fold,0.0009
J2s,call,0.999
J2s,raise,0.0001
ATo,fold,0.0001
ATo,call,0.5674
ATo,raise,0.4325
KTo,call,0.6608
KTo,raise,0.3392
QTo,call,0.9461
QTo,raise,0.0539
JTo,fold,0.0001
JTo,call,0.9999
TT,call,0.0979
TT,raise,0.902
T9s,fold,0.0001
T9s,call,0.9998
T9s,raise,0.0001
T8s,fold,0.0025
T8s,call,0.9955
T8s,raise,0.002
T7s,fold,0.0006
T7s,call,0.9994
