# Generated by hrc_import.py --canonical-8max from hrc_8max_chipev_060bb.zip
# HRC tree: 8-handed, effective 60.0bb (1200000 chips at 20000/bb)
# Equity model: chipev, ante: BB_ANTE_ANTE_FIRST
# Preflop sizes: {'SIZES_OPEN_OTHERS': '2.3bb + 1.0bb', 'SIZES_OPEN_BU': '2.3bb + 1.0bb', 'SIZES_OPEN_SB': '3.0bb + 1.0bb', 'SIZES_OPEN_BB': '3.0bb + 1.0bb', 'SIZES_OPEN_BB_VS_SB': '3.0bb', 'SIZES_3BET_IP': '2.5x + 1.0x', 'SIZES_3BET_BB_VS_OTHER': '3.3x + 1.0x', 'SIZES_3BET_BB_VS_SB': '2.5x', 'SIZES_3BET_SB_VS_BB': '2.6x + 1.0x', 'SIZES_3BET_SB_VS_OTHER': '3.3x + 1.0x', 'SIZES_4BET_IP': '90.0%, all-in', 'SIZES_4BET_OOP': '120.0%, all-in', 'SIZES_5BET_IP': '90.0%, all-in', 'SIZES_5BET_OOP': '120.0%, all-in'}
# App slot: btn unopened @ 60bb
# HRC node: id=5, seat=5, sequence=FFFFF
# Actions at node: ['fold', 'raise']
# VPIP estimate: 42.12%
notation,action,freq
AA,raise,1.0
AKs,raise,1.0
AQs,fold,0.0001
AQs,raise,0.9999
AJs,raise,1.0
ATs,raise,1.0
A9s,fold,0.0011
A9s,raise,0.9989
A8s,fold,0.0002
A8s,raise,0.9998
A7s,raise,1.0
A6s,fold,0.006
A6s,raise,0.994
A5s,fold,0.0094
A5s,raise,0.9906
A4s,fold,0.0003
A4s,raise,0.9997
A3s,fold,0.009
A3s,raise,0.991
A2s,fold,0.0076
A2s,raise,0.9924
AKo,raise,1.0
KK,raise,1.0
KQs,fold,0.0004
KQs,raise,0.9996
KJs,fold,0.0005
KJs,raise,0.9995
KTs,fold,0.0015
KTs,raise,0.9985
K9s,fold,0.0005
K9s,raise,0.9995
K8s,fold,0.0319
K8s,raise,0.9681
K7s,fold,0.3366
K7s,raise,0.6634
K6s,fold,0.0798
K6s,raise,0.9202
K5s,fold,0.2225
K5s,raise,0.7775
K4s,fold,0.0108
K4s,raise,0.9892
K3s,fold,0.0936
K3s,raise,0.9064
K2s,fold,0.5978
K2s,raise,0.4022
AQo,raise,1.0
KQo,fold,0.0002
KQo,raise,0.9998
QQ,raise,1.0
QJs,fold,0.0049
QJs,raise,0.9951
QTs,fold,0.0081
QTs,raise,0.9919
Q9s,fold,0.0253
Q9s,raise,0.9747
Q8s,fold,0.0787
Q8s,raise,0.9213
Q7s,fold,0.2019
Q7s,raise,0.7981
Q6s,fold,0.6974
Q6s,raise,0.3026
Q5s,fold,0.8737
Q5s,raise,0.1263
Q4s,fold,1.0
Q3s,fold,0.8987
Q3s,raise,0.1013
Q2s,fold,0.9907
Q2s,raise,0.0093
AJo,raise,1.0
KJo,fold,0.0037
KJo,raise,0.9963
QJo,fold,0.0004
QJo,raise,0.9996
JJ,raise,1.0
JTs,fold,0.0021
JTs,raise,0.9979
J9s,fold,0.0016
J9s,raise,0.9984
J8s,fold,0.1809
J8s,raise,0.8191
J7s,fold,0.425
J7s,raise,0.575
J6s,fold,0.9684
J6s,raise,0.0316
J5s,fold,0.9967
J5s,raise,0.0033
J4s,fold,1.0
J3s,fold,0.9968
J3s,raise,0.0032
J2s,fold,0.9981
J2s,raise,0.0019
ATo,raise,1.0
KTo,raise,1.0
QTo,fold,0.0091
QTo,raise,0.9909
JTo,fold,0.0035
JTo,raise,0.9965
TT,fold,0.0002
TT,raise,0.9998
T9s,fold,0.0384
T9s,raise,0.9616
T8s,fold,0.5812
T8s,raise,0.4188
T7s,fold,0.9738
T7s,raise,0.0262
T6s,fold,0.9785
T6s,raise,0.0215
T5s,fold,0.9991
T5s,raise,0.0009
T4s,fold,1.0
T3s,fold,1.0
T2s,fold,0.9999
T2s,raise,0.0001
A9o,fold,0.0002
A9o,raise,0.9998
K9o,fold,0.0042
K9o,raise,0.9958
Q9o,fold,0.0017
Q9o,raise,0.9983
J9o,fold,0.0063
J9o,raise,0.9937
T9o,fold,0.0309
T9o,raise,0.9691
99,raise,1.0
98s,fold,0.9957
98s,raise,0.0043
97s,fold,0.9996
97s,raise,0.0004
96s,fold,0.9993
96s,raise,0.0007
95s,fold,0.9881
95s,raise,0.0119
94s,fold,1.0
93s,fold,1.0
92s,fold,0.9953
92s,raise,0.0047
A8o,fold,0.0024
A8o,raise,0.9976
K8o,fold,0.0028
K8o,raise,0.9972
Q8o,fold,0.0617
Q8o,raise,0.9383
J8o,fold,0.999
J8o,raise,0.001
T8o,fold,0.9999
T8o,raise,0.0001
98o,fold,0.9989
98o,raise,0.0011
88,raise,1.0
87s,fold,0.9352
87s,raise,0.0648
86s,fold,0.9988
86s,raise,0.0012
85s,fold,0.9979
85s,raise,0.0021
84s,fold,1.0
