# Generated by hrc_import.py --multi-opener-8max from hrc_8max_chipev_060bb.zip
# HRC tree: 8-handed, effective 60.0bb
# Equity model: chipev, ante: BB_ANTE_ANTE_FIRST
# App slot (deferred integration): btn vsopen vs co open @ 60bb
# HRC node: id=43, seat=5, sequence=FFFFR
# Actions: ['fold', 'call', 'raise']
# VPIP estimate: 17.28%
notation,action,freq
AA,call,0.0014
AA,raise,0.9986
AKs,call,0.5827
AKs,raise,0.4173
AQs,call,0.3828
AQs,raise,0.6171
AJs,fold,0.0001
AJs,call,0.3519
AJs,raise,0.6481
ATs,call,0.3822
ATs,raise,0.6178
A9s,fold,0.0002
A9s,call,0.7497
A9s,raise,0.2501
A8s,fold,0.5271
A8s,call,0.2097
A8s,raise,0.2632
A7s,fold,0.8317
A7s,call,0.167
A7s,raise,0.0013
A6s,fold,0.393
A6s,call,0.5037
A6s,raise,0.1033
A5s,fold,0.4846
A5s,call,0.3657
A5s,raise,0.1496
A4s,fold,0.0395
A4s,call,0.9244
A4s,raise,0.0361
A3s,fold,0.9718
A3s,call,0.028
A3s,raise,0.0002
A2s,fold,0.6838
A2s,call,0.3161
A2s,raise,0.0002
AKo,call,0.0995
AKo,raise,0.9005
KK,call,0.4052
KK,raise,0.5948
KQs,fold,0.0169
KQs,call,0.9566
KQs,raise,0.0265
KJs,fold,0.3161
KJs,call,0.6808
KJs,raise,0.0031
KTs,fold,0.9737
KTs,call,0.0169
KTs,raise,0.0094
K9s,fold,0.3883
K9s,call,0.6114
K9s,raise,0.0003
K8s,fold,0.8444
K8s,call,0.1548
K8s,raise,0.0009
K7s,fold,1.0
K6s,fold,0.9281
K6s,call,0.0719
K5s,fold,0.9555
K5s,call,0.036
K5s,raise,0.0085
K4s,fold,0.972
K4s,call,0.0278
K4s,raise,0.0002
K3s,fold,0.9993
K3s,call,0.0001
K3s,raise,0.0006
K2s,fold,0.9984
K2s,call,0.0015
K2s,raise,0.0001
AQo,call,0.148
AQo,raise,0.852
KQo,fold,0.2213
KQo,call,0.5672
KQo,raise,0.2115
QQ,call,0.344
QQ,raise,0.656
QJs,fold,0.2066
QJs,call,0.7934
QTs,fold,0.2965
QTs,call,0.7035
Q9s,fold,0.9775
Q9s,call,0.0219
Q9s,raise,0.0006
Q8s,fold,0.9945
Q8s,call,0.0051
Q8s,raise,0.0004
Q7s,fold,0.9996
Q7s,call,0.0001
Q7s,raise,0.0002
Q6s,fold,0.9985
Q6s,call,0.0015
Q5s,fold,0.9969
Q5s,call,0.0031
Q4s,fold,0.9924
Q4s,call,0.0072
Q4s,raise,0.0004
Q3s,fold,0.9999
Q3s,call,0.0001
Q2s,fold,0.9995
Q2s,call,0.0004
AJo,call,0.1603
AJo,raise,0.8397
KJo,fold,0.3689
KJo,call,0.6301
KJo,raise,0.001
QJo,fold,0.9549
QJo,call,0.0447
QJo,raise,0.0005
JJ,call,0.8102
JJ,raise,0.1898
JTs,fold,0.6664
JTs,call,0.331
JTs,raise,0.0025
J9s,fold,0.8177
J9s,call,0.1823
J8s,fold,0.9999
J8s,raise,0.0001
J7s,fold,1.0
J6s,fold,0.9993
J6s,call,0.0007
J5s,fold,0.9978
J5s,call,0.0021
J5s,raise,0.0001
J4s,fold,0.9997
J4s,call,0.0003
J3s,fold,0.9997
J3s,call,0.0003
J2s,fold,0.999
J2s,call,0.001
ATo,call,0.0901
ATo,raise,0.9099
KTo,fold,0.596
KTo,call,0.38
KTo,raise,0.024
QTo,fold,0.9941
QTo,call,0.0007
QTo,raise,0.0052
JTo,fold,0.9998
JTo,call,0.0002
TT,fold,0.0001
TT,call,0.3953
TT,raise,0.6046
T9s,fold,0.6906
T9s,call,0.3092
T9s,raise,0.0001
T8s,fold,0.9988
T8s,call,0.0002
T8s,raise,0.001
T7s,fold,0.995
T7s,call,0.0017
T7s,raise,0.0032
T6s,fold,0.9995
T6s,call,0.0004
T6s,raise,0.0001
T5s,fold,0.9974
T5s,call,0.0026
T5s,raise,0.0001
T4s,fold,0.9994
T4s,call,0.0003
T4s,raise,0.0003
T3s,fold,0.9983
T3s,raise,0.0017
T2s,fold,1.0
A9o,fold,0.3094
A9o,call,0.473
A9o,raise,0.2176
K9o,fold,0.9889
K9o,call,0.0109
K9o,raise,0.0002
Q9o,fold,0.9997
Q9o,call,0.0002
Q9o,raise,0.0001
J9o,fold,0.9999
T9o,fold,0.9995
T9o,call,0.0005
99,fold,0.0001
99,call,0.9979
99,raise,0.002
98s,fold,0.8166
98s,call,0.1834
97s,fold,0.9999
96s,fold,0.9996
96s,call,0.0004
95s,fold,0.9886
