# Generated by hrc_import.py --canonical-8max from hrc_8max_chipev_060bb.zip
# HRC tree: 8-handed, effective 60.0bb (1200000 chips at 20000/bb)
# Equity model: chipev, ante: BB_ANTE_ANTE_FIRST
# Preflop sizes: {'SIZES_OPEN_OTHERS': '2.3bb + 1.0bb', 'SIZES_OPEN_BU': '2.3bb + 1.0bb', 'SIZES_OPEN_SB': '3.0bb + 1.0bb', 'SIZES_OPEN_BB': '3.0bb + 1.0bb', 'SIZES_OPEN_BB_VS_SB': '3.0bb', 'SIZES_3BET_IP': '2.5x + 1.0x', 'SIZES_3BET_BB_VS_OTHER': '3.3x + 1.0x', 'SIZES_3BET_BB_VS_SB': '2.5x', 'SIZES_3BET_SB_VS_BB': '2.6x + 1.0x', 'SIZES_3BET_SB_VS_OTHER': '3.3x + 1.0x', 'SIZES_4BET_IP': '90.0%, all-in', 'SIZES_4BET_OOP': '120.0%, all-in', 'SIZES_5BET_IP': '90.0%, all-in', 'SIZES_5BET_OOP': '120.0%, all-in'}
# App slot: co unopened @ 60bb
# HRC node: id=4, seat=4, sequence=FFFF
# Actions at node: ['fold', 'raise']
# VPIP estimate: 35.88%
notation,action,freq
AA,raise,1.0
AKs,raise,1.0
AQs,raise,1.0
AJs,fold,0.0016
AJs,raise,0.9984
ATs,raise,1.0
A9s,fold,0.0031
A9s,raise,0.9969
A8s,fold,0.0027
A8s,raise,0.9973
A7s,fold,0.0032
A7s,raise,0.9968
A6s,fold,0.0252
A6s,raise,0.9748
A5s,fold,0.0001
A5s,raise,0.9999
A4s,fold,0.0069
A4s,raise,0.9931
A3s,fold,0.0179
A3s,raise,0.9821
A2s,fold,0.0288
A2s,raise,0.9712
AKo,raise,1.0
KK,raise,1.0
KQs,fold,0.001
KQs,raise,0.999
KJs,fold,0.0016
KJs,raise,0.9984
KTs,fold,0.0056
KTs,raise,0.9944
K9s,fold,0.0056
K9s,raise,0.9944
K8s,fold,0.0965
K8s,raise,0.9035
K7s,fold,0.0098
K7s,raise,0.9902
K6s,fold,0.1092
K6s,raise,0.8908
K5s,fold,0.999
K5s,raise,0.001
K4s,fold,0.0416
K4s,raise,0.9584
K3s,fold,0.7598
K3s,raise,0.2402
K2s,fold,1.0
AQo,raise,1.0
KQo,fold,0.0011
KQo,raise,0.9989
QQ,raise,1.0
QJs,fold,0.0003
QJs,raise,0.9997
QTs,fold,0.0031
QTs,raise,0.9969
Q9s,fold,0.1233
Q9s,raise,0.8767
Q8s,fold,0.2208
Q8s,raise,0.7792
Q7s,fold,0.3486
Q7s,raise,0.6514
Q6s,fold,0.9941
Q6s,raise,0.0059
Q5s,fold,0.9998
Q5s,raise,0.0002
Q4s,fold,0.9998
Q4s,raise,0.0002
Q3s,fold,0.9998
Q3s,raise,0.0002
Q2s,fold,0.9997
Q2s,raise,0.0003
AJo,raise,1.0
KJo,raise,1.0
QJo,fold,0.0004
QJo,raise,0.9996
JJ,raise,1.0
JTs,fold,0.0311
JTs,raise,0.9689
J9s,fold,0.2418
J9s,raise,0.7582
J8s,fold,0.7116
J8s,raise,0.2884
J7s,fold,1.0
J6s,fold,0.977
J6s,raise,0.023
J5s,fold,1.0
J4s,fold,0.9999
J4s,raise,0.0001
J3s,fold,1.0
J2s,fold,1.0
ATo,raise,1.0
KTo,fold,0.0123
KTo,raise,0.9877
QTo,fold,0.0127
QTo,raise,0.9873
JTo,fold,0.0165
JTo,raise,0.9835
TT,raise,1.0
T9s,fold,0.3325
T9s,raise,0.6675
T8s,fold,0.3249
T8s,raise,0.6751
T7s,fold,0.9026
T7s,raise,0.0974
T6s,fold,0.9972
T6s,raise,0.0028
T5s,fold,0.9996
T5s,raise,0.0004
T4s,fold,0.9999
T4s,raise,0.0001
T3s,fold,0.9999
T3s,raise,0.0001
T2s,fold,0.9972
T2s,raise,0.0028
A9o,fold,0.0002
A9o,raise,0.9998
K9o,raise,1.0
Q9o,fold,0.0383
Q9o,raise,0.9617
J9o,fold,0.8884
J9o,raise,0.1116
T9o,fold,0.9882
T9o,raise,0.0118
99,raise,1.0
98s,fold,0.9256
98s,raise,0.0744
97s,fold,0.9999
97s,raise,0.0001
96s,fold,1.0
95s,fold,0.9993
95s,raise,0.0007
94s,fold,0.9999
94s,raise,0.0001
93s,fold,1.0
92s,fold,1.0
A8o,fold,0.0012
A8o,raise,0.9988
K8o,fold,0.1552
K8o,raise,0.8448
Q8o,fold,0.9991
Q8o,raise,0.0009
J8o,fold,0.9984
J8o,raise,0.0016
T8o,fold,0.9999
T8o,raise,0.0001
98o,fold,1.0
88,fold,0.0005
88,raise,0.9995
87s,fold,1.0
86s,fold,1.0
85s,fold,1.0
84s,fold,1.0
83s,fold,0.9998
83s,raise,0.0002
82s,fold,0.9998
82s,raise,0.0002
A7o,fold,0.0152
A7o,raise,0.9848
