# Generated by hrc_import.py --canonical-8max from hrc_8max_chipev_060bb.zip
# HRC tree: 8-handed, effective 60.0bb (1200000 chips at 20000/bb)
# Equity model: chipev, ante: BB_ANTE_ANTE_FIRST
# Preflop sizes: {'SIZES_OPEN_OTHERS': '2.3bb + 1.0bb', 'SIZES_OPEN_BU': '2.3bb + 1.0bb', 'SIZES_OPEN_SB': '3.0bb + 1.0bb', 'SIZES_OPEN_BB': '3.0bb + 1.0bb', 'SIZES_OPEN_BB_VS_SB': '3.0bb', 'SIZES_3BET_IP': '2.5x + 1.0x', 'SIZES_3BET_BB_VS_OTHER': '3.3x + 1.0x', 'SIZES_3BET_BB_VS_SB': '2.5x', 'SIZES_3BET_SB_VS_BB': '2.6x + 1.0x', 'SIZES_3BET_SB_VS_OTHER': '3.3x + 1.0x', 'SIZES_4BET_IP': '90.0%, all-in', 'SIZES_4BET_OOP': '120.0%, all-in', 'SIZES_5BET_IP': '90.0%, all-in', 'SIZES_5BET_OOP': '120.0%, all-in'}
# App slot: hj vsopen @ 60bb
# HRC node: id=5375, seat=3, sequence=RFF
# Actions at node: ['fold', 'call', 'raise']
# VPIP estimate: 10.72%
notation,action,freq
AA,call,0.1277
AA,raise,0.8723
AKs,fold,0.0002
AKs,call,0.991
AKs,raise,0.0088
AQs,call,0.9995
AQs,raise,0.0005
AJs,fold,0.0106
AJs,call,0.0966
AJs,raise,0.8928
ATs,fold,0.2609
ATs,call,0.739
ATs,raise,0.0001
A9s,fold,0.853
A9s,call,0.0246
A9s,raise,0.1224
A8s,fold,0.8818
A8s,call,0.0363
A8s,raise,0.0819
A7s,fold,0.9505
A7s,call,0.0424
A7s,raise,0.0071
A6s,fold,0.971
A6s,call,0.0289
A6s,raise,0.0001
A5s,fold,0.9085
A5s,call,0.0905
A5s,raise,0.001
A4s,fold,0.8982
A4s,call,0.0781
A4s,raise,0.0236
A3s,fold,0.9285
A3s,call,0.0715
A2s,fold,0.9889
A2s,call,0.0038
A2s,raise,0.0073
AKo,call,0.7293
AKo,raise,0.2707
KK,call,0.5777
KK,raise,0.4223
KQs,fold,0.1624
KQs,call,0.8338
KQs,raise,0.0038
KJs,fold,0.3399
KJs,call,0.3898
KJs,raise,0.2703
KTs,fold,0.8204
KTs,call,0.1791
KTs,raise,0.0005
K9s,fold,0.8719
K9s,call,0.128
K9s,raise,0.0001
K8s,fold,0.9484
K8s,call,0.0453
K8s,raise,0.0064
K7s,fold,0.9351
K7s,call,0.0494
K7s,raise,0.0155
K6s,fold,0.9977
K6s,call,0.0009
K6s,raise,0.0014
K5s,fold,0.9969
K5s,call,0.0001
K5s,raise,0.003
K4s,fold,0.9999
K4s,raise,0.0001
K3s,fold,0.9938
K3s,raise,0.0062
K2s,fold,0.9948
K2s,call,0.0051
K2s,raise,0.0001
AQo,fold,0.1024
AQo,call,0.3076
AQo,raise,0.59
KQo,fold,0.8781
KQo,call,0.0828
KQo,raise,0.0391
QQ,call,0.7669
QQ,raise,0.2331
QJs,fold,0.8416
QJs,call,0.1584
QJs,raise,0.0001
QTs,fold,0.961
QTs,call,0.0006
QTs,raise,0.0384
Q9s,fold,0.9461
Q9s,call,0.0519
Q9s,raise,0.002
Q8s,fold,0.944
Q8s,call,0.0555
Q8s,raise,0.0005
Q7s,fold,0.9492
Q7s,call,0.0099
Q7s,raise,0.0409
Q6s,fold,0.986
Q6s,call,0.0109
Q6s,raise,0.0032
Q5s,fold,0.9914
Q5s,call,0.0085
Q5s,raise,0.0001
Q4s,fold,0.9998
Q4s,call,0.0002
Q3s,fold,0.9284
Q3s,call,0.0713
Q3s,raise,0.0003
Q2s,fold,1.0
AJo,fold,0.9072
AJo,call,0.0845
AJo,raise,0.0083
KJo,fold,0.9173
KJo,call,0.0806
KJo,raise,0.0021
QJo,fold,0.9985
QJo,call,0.0012
QJo,raise,0.0003
JJ,call,0.9855
JJ,raise,0.0145
JTs,fold,0.9869
JTs,call,0.0097
JTs,raise,0.0034
J9s,fold,0.99
J9s,call,0.0098
J9s,raise,0.0003
J8s,fold,0.9859
J8s,call,0.0013
J8s,raise,0.0129
J7s,fold,0.9979
J7s,call,0.0018
J7s,raise,0.0003
J6s,fold,0.9939
J6s,call,0.0048
J6s,raise,0.0013
J5s,fold,0.9993
J5s,call,0.0003
J5s,raise,0.0005
J4s,fold,0.9997
J4s,call,0.0002
J3s,fold,0.9952
J3s,call,0.003
J3s,raise,0.0018
J2s,fold,0.9969
J2s,call,0.0027
J2s,raise,0.0005
ATo,fold,0.4834
ATo,call,0.5154
ATo,raise,0.0012
KTo,fold,0.9914
KTo,call,0.0059
KTo,raise,0.0028
QTo,fold,0.994
QTo,call,0.0054
QTo,raise,0.0006
JTo,fold,0.9983
JTo,call,0.0007
JTo,raise,0.001
TT,call,0.983
TT,raise,0.017
T9s,fold,0.6416
T9s,call,0.3581
T9s,raise,0.0003
T8s,fold,0.9619
T8s,call,0.0381
T7s,fold,0.998
T7s,call,0.0017
T7s,raise,0.0003
T6s,fold,0.9969
T6s,raise,0.0031
T5s,fold,0.9965
T5s,call,0.001
T5s,raise,0.0026
T4s,fold,0.9904
T4s,call,0.0085
T4s,raise,0.0011
T3s,fold,0.9984
T3s,call,0.0003
T3s,raise,0.0013
T2s,fold,0.9972
T2s,call,0.0028
A9o,fold,0.9925
A9o,call,0.0071
A9o,raise,0.0004
K9o,fold,0.9981
K9o,call,0.0017
K9o,raise,0.0002
Q9o,fold,0.9996
Q9o,call,0.0002
Q9o,raise,0.0003
J9o,fold,0.9981
J9o,call,0.0019
T9o,fold,0.9999
T9o,raise,0.0001
99,call,0.6484
99,raise,0.3516
98s,fold,0.9631
98s,call,0.0342
98s,raise,0.0027
97s,fold,0.9993
97s,call,0.0002
97s,raise,0.0005
96s,fold,0.9999
96s,call,0.0001
95s,fold,0.9968
95s,call,0.0027
95s,raise,0.0004
94s,fold,0.9999
94s,call,0.0001
93s,fold,1.0
92s,fold,0.9945
92s,call,0.0054
A8o,fold,0.9923
A8o,call,0.0052
A8o,raise,0.0025
K8o,fold,0.9995
K8o,call,0.0005
Q8o,fold,0.9988
Q8o,call,0.001
Q8o,raise,0.0001
J8o,fold,0.9968
