# poker.academy CE-Symmetric — 60bb vsopen | hero HJ vs MP
# Scraped 2026-06-01 via scrape_all_ranges.py
# TreeParams: poker.academy CE-Symmetric Regular @ 60bb (GTO ChipEV, 1bb ante)
notation,action,freq
22,call,0.7881
22,fold,0.2119
33,call,0.68
33,fold,0.32
44,call,0.9302
44,fold,0.0698
55,call,0.8838
55,threeBet,0.1162
66,call,0.8062
66,threeBet,0.1938
77,call,0.792
77,threeBet,0.208
88,call,0.7181
88,threeBet,0.2819
99,call,0.668
99,threeBet,0.332
AA,threeBet,1.0
AKs,threeBet,1.0
AQs,call,0.466
AQs,threeBet,0.534
AJs,call,0.7241
AJs,threeBet,0.2759
ATs,call,0.5279
ATs,threeBet,0.4721
A9s,call,0.2219
A9s,threeBet,0.7781
A8s,call,0.448
A8s,threeBet,0.552
A7s,call,0.5732
A7s,threeBet,0.4268
A6s,call,0.6022
A6s,fold,0.0999
A6s,threeBet,0.2979
A5s,call,0.55
A5s,threeBet,0.45
A4s,call,0.7571
A4s,threeBet,0.2429
A3s,call,0.492
A3s,fold,0.508
AKo,call,0.534
AKo,threeBet,0.466
KK,threeBet,1.0
KQs,call,0.9782
KQs,threeBet,0.0218
KJs,call,0.706
KJs,threeBet,0.294
KTs,call,0.616
KTs,threeBet,0.384
K9s,call,0.256
K9s,threeBet,0.744
K8s,call,0.0819
K8s,fold,0.9181
AQo,call,0.6239
AQo,threeBet,0.3761
KQo,call,0.4289
KQo,threeBet,0.5711
QQ,call,0.364
QQ,threeBet,0.636
QJs,call,0.6559
QJs,threeBet,0.3441
QTs,call,0.834
QTs,threeBet,0.166
Q9s,call,0.23
Q9s,fold,0.77
AJo,call,0.459
AJo,fold,0.1197
AJo,threeBet,0.4213
KJo,fold,0.9021
KJo,threeBet,0.0979
JJ,call,0.7401
JJ,threeBet,0.2599
JTs,call,0.712
JTs,threeBet,0.288
J9s,call,0.6041
J9s,fold,0.336
J9s,threeBet,0.0599
ATo,fold,0.8481
ATo,threeBet,0.1519
TT,call,0.546
TT,threeBet,0.454
T9s,call,0.6694
T9s,threeBet,0.3306
T8s,call,0.326
T8s,fold,0.674
98s,call,0.5279
98s,fold,0.4721
87s,call,0.2859
87s,fold,0.7141
76s,call,0.3
76s,fold,0.7
65s,call,0.208
65s,fold,0.792
54s,call,0.3119
54s,fold,0.6881
