# Generated by hrc_import.py --canonical-8max from hrc_8max_chipev_060bb.zip
# HRC tree: 8-handed, effective 60.0bb (1200000 chips at 20000/bb)
# Equity model: chipev, ante: BB_ANTE_ANTE_FIRST
# TreeParams: HRC v3 Advanced ChipEV @ 60bb: open 2.3bb + 1.0bb; BU 2.3bb + 1.0bb; SB 3.0bb + 1.0bb; 3-bet IP 2.5x + 1.0x; 3-bet BB-vs-others 3.3x + 1.0x; 4-bet IP 90.0%, all-in
# App slot: lj vs3betjam @ 60bb
# HRC node: id=1992, seat=2, sequence=FFRRFFFF
# Actions at node: ['fold', 'call', 'raise', 'jam']
# VPIP estimate: 97.45%
notation,action,freq
AA,call,0.0001
AA,raise,0.2116
AA,jam,0.7882
AKs,fold,0.0001
AKs,call,0.4175
AKs,raise,0.2894
AKs,jam,0.293
AQs,fold,0.033
AQs,call,0.9006
AQs,raise,0.0263
AQs,jam,0.0401
AJs,fold,0.0045
AJs,call,0.9296
AJs,raise,0.0164
AJs,jam,0.0495
ATs,fold,0.0208
ATs,call,0.7965
ATs,raise,0.0003
ATs,jam,0.1824
A9s,fold,0.0185
A9s,call,0.9519
A9s,raise,0.0031
A9s,jam,0.0265
A8s,fold,0.0183
A8s,call,0.6527
A8s,raise,0.0094
A8s,jam,0.3197
A7s,fold,0.0697
A7s,call,0.8921
A7s,raise,0.0004
A7s,jam,0.0378
A6s,fold,0.1099
A6s,call,0.7708
A6s,raise,0.0015
A6s,jam,0.1179
A5s,fold,0.315
A5s,call,0.5589
A5s,raise,0.024
A5s,jam,0.1021
A4s,fold,0.0334
A4s,call,0.9619
A4s,raise,0.0016
A4s,jam,0.0031
A3s,fold,0.004
A3s,call,0.9929
A3s,jam,0.0031
A2s,fold,0.2079
A2s,call,0.6546
A2s,raise,0.014
A2s,jam,0.1235
AKo,call,0.3084
AKo,raise,0.0692
AKo,jam,0.6224
KK,fold,0.0001
KK,call,0.021
KK,raise,0.3071
KK,jam,0.6719
KQs,fold,0.01
KQs,call,0.9667
KQs,raise,0.0065
KQs,jam,0.0168
KJs,fold,0.023
KJs,call,0.9649
KJs,raise,0.0034
KJs,jam,0.0088
KTs,fold,0.0058
KTs,call,0.9928
KTs,raise,0.0008
KTs,jam,0.0006
K9s,fold,0.0174
K9s,call,0.9817
K9s,raise,0.0002
K9s,jam,0.0006
K8s,fold,0.1105
K8s,call,0.8887
K8s,raise,0.0003
K8s,jam,0.0004
K7s,fold,0.0404
K7s,call,0.8899
K7s,raise,0.0675
K7s,jam,0.0022
K6s,fold,0.034
K6s,call,0.2965
K6s,raise,0.0001
K6s,jam,0.6694
K5s,fold,0.3622
K5s,call,0.6287
K5s,raise,0.0007
K5s,jam,0.0085
K4s,fold,0.1171
K4s,call,0.6098
K4s,jam,0.2731
K3s,fold,0.5505
K3s,call,0.4459
K3s,raise,0.0013
K3s,jam,0.0023
K2s,fold,0.013
K2s,call,0.9861
K2s,raise,0.0007
K2s,jam,0.0002
AQo,call,0.9677
AQo,raise,0.016
AQo,jam,0.0163
KQo,fold,0.0018
KQo,call,0.9953
KQo,raise,0.0013
KQo,jam,0.0017
QQ,call,0.6291
QQ,raise,0.0328
QQ,jam,0.3381
QJs,fold,0.0204
QJs,call,0.9641
QJs,raise,0.0054
QJs,jam,0.0101
QTs,fold,0.0166
QTs,call,0.9513
QTs,raise,0.0001
QTs,jam,0.032
Q9s,fold,0.095
Q9s,call,0.5991
Q9s,raise,0.0027
Q9s,jam,0.3032
Q8s,fold,0.0614
Q8s,call,0.9329
Q8s,raise,0.0003
Q8s,jam,0.0053
Q7s,fold,0.148
Q7s,call,0.8427
Q7s,raise,0.0003
Q7s,jam,0.009
Q6s,fold,0.1096
Q6s,call,0.7807
Q6s,jam,0.1096
Q5s,fold,0.0739
Q5s,call,0.9249
Q5s,raise,0.0004
Q5s,jam,0.0008
Q3s,fold,0.011
Q3s,call,0.9678
Q3s,jam,0.0212
Q2s,fold,0.686
Q2s,call,0.3132
Q2s,raise,0.0005
Q2s,jam,0.0003
AJo,fold,0.001
AJo,call,0.9926
AJo,raise,0.0003
AJo,jam,0.0061
KJo,fold,0.0223
KJo,call,0.9768
KJo,raise,0.0003
KJo,jam,0.0005
QJo,fold,0.0009
QJo,call,0.9987
QJo,raise,0.0002
QJo,jam,0.0001
JJ,call,0.9445
JJ,raise,0.0126
JJ,jam,0.0429
JTs,fold,0.0162
JTs,call,0.9757
JTs,raise,0.0039
JTs,jam,0.0042
J9s,fold,0.0796
J9s,call,0.9095
J9s,raise,0.0023
J9s,jam,0.0086
J8s,fold,0.017
J8s,call,0.6004
J8s,raise,0.0001
J8s,jam,0.3826
J7s,fold,0.0202
J7s,call,0.8121
J7s,raise,0.0014
J7s,jam,0.1662
J5s,fold,0.0648
J5s,call,0.9285
J5s,jam,0.0067
J4s,fold,0.0701
J4s,call,0.9267
J4s,raise,0.0002
J4s,jam,0.0031
ATo,fold,0.0001
ATo,call,0.9948
ATo,jam,0.0051
KTo,fold,0.0022
KTo,call,0.995
KTo,raise,0.0002
KTo,jam,0.0027
QTo,fold,0.002
QTo,call,0.9966
QTo,jam,0.0013
JTo,fold,0.002
JTo,call,0.998
TT,fold,0.0037
TT,call,0.9832
TT,raise,0.0006
TT,jam,0.0125
T9s,fold,0.0118
T9s,call,0.987
T9s,jam,0.0011
T8s,fold,0.1422
T8s,call,0.8284
T8s,raise,0.0033
T8s,jam,0.0261
T7s,fold,0.1316
T7s,call,0.8677
T7s,raise,0.0001
T7s,jam,0.0005
T6s,fold,0.1558
