# Generated by hrc_import.py --multi-opener-8max from hrc_8max_chipev_060bb.zip
# HRC tree: 8-handed, effective 60.0bb
# Equity model: chipev, ante: BB_ANTE_ANTE_FIRST
# App slot (deferred integration): lj vsopen vs utg1 open @ 60bb
# HRC node: id=2154, seat=2, sequence=FR
# Actions: ['fold', 'call', 'raise']
# VPIP estimate: 12.28%
notation,action,freq
AA,call,0.2908
AA,raise,0.7092
AKs,call,0.9991
AKs,raise,0.0009
AQs,fold,0.0006
AQs,call,0.9913
AQs,raise,0.0081
AJs,call,0.4409
AJs,raise,0.5591
ATs,fold,0.0042
ATs,call,0.7099
ATs,raise,0.286
A9s,fold,0.4066
A9s,call,0.5794
A9s,raise,0.014
A8s,fold,0.6018
A8s,call,0.3402
A8s,raise,0.0579
A7s,fold,0.9963
A7s,call,0.0011
A7s,raise,0.0026
A6s,fold,0.8839
A6s,call,0.1106
A6s,raise,0.0055
A5s,fold,0.6963
A5s,call,0.2828
A5s,raise,0.0209
A4s,fold,0.8464
A4s,call,0.1507
A4s,raise,0.003
A3s,fold,0.9752
A3s,call,0.0218
A3s,raise,0.003
A2s,fold,0.9642
A2s,call,0.0352
A2s,raise,0.0007
AKo,call,0.7858
AKo,raise,0.2142
KK,call,0.4192
KK,raise,0.5808
KQs,fold,0.0004
KQs,call,0.9766
KQs,raise,0.023
KJs,fold,0.3923
KJs,call,0.554
KJs,raise,0.0537
KTs,fold,0.7071
KTs,call,0.2779
KTs,raise,0.015
K9s,fold,0.7911
K9s,call,0.2081
K9s,raise,0.0008
K8s,fold,0.9926
K8s,call,0.0074
K7s,fold,0.9235
K7s,call,0.0756
K7s,raise,0.0009
K6s,fold,0.9805
K6s,call,0.0167
K6s,raise,0.0028
K5s,fold,0.9798
K5s,call,0.0169
K5s,raise,0.0033
K4s,fold,0.9972
K4s,call,0.0013
K4s,raise,0.0015
K3s,fold,0.9994
K3s,call,0.0004
K3s,raise,0.0002
K2s,fold,0.988
K2s,call,0.0111
K2s,raise,0.0009
AQo,call,0.6296
AQo,raise,0.3704
KQo,fold,0.7084
KQo,call,0.2823
KQo,raise,0.0093
QQ,call,0.8735
QQ,raise,0.1265
QJs,fold,0.5183
QJs,call,0.4683
QJs,raise,0.0134
QTs,fold,0.7708
QTs,call,0.2273
QTs,raise,0.0019
Q9s,fold,0.6512
Q9s,call,0.3487
Q9s,raise,0.0001
Q8s,fold,0.9672
Q8s,call,0.0327
Q8s,raise,0.0001
Q7s,fold,0.9994
Q7s,call,0.0006
Q6s,fold,0.9965
Q6s,call,0.0033
Q6s,raise,0.0002
Q5s,fold,0.9689
Q5s,call,0.0286
Q5s,raise,0.0025
Q4s,fold,0.9983
Q4s,raise,0.0017
Q3s,fold,0.9961
Q3s,call,0.0039
Q2s,fold,0.9986
Q2s,call,0.0002
Q2s,raise,0.0012
AJo,fold,0.3294
AJo,call,0.6146
AJo,raise,0.056
KJo,fold,0.9286
KJo,call,0.0713
KJo,raise,0.0001
QJo,fold,0.9801
QJo,call,0.0152
QJo,raise,0.0047
JJ,call,0.6221
JJ,raise,0.3779
JTs,fold,0.9108
JTs,call,0.0822
JTs,raise,0.007
J9s,fold,0.9993
J9s,call,0.0002
J9s,raise,0.0005
J8s,fold,0.9955
J8s,call,0.0043
J8s,raise,0.0002
J7s,fold,0.998
J7s,call,0.0018
J7s,raise,0.0003
J6s,fold,0.994
J6s,call,0.0013
J6s,raise,0.0048
J5s,fold,0.9988
J5s,call,0.0008
J5s,raise,0.0003
J4s,fold,0.9986
J4s,call,0.0007
J4s,raise,0.0007
J3s,fold,0.9992
J3s,call,0.0007
J2s,fold,0.9967
J2s,call,0.0006
J2s,raise,0.0027
ATo,fold,0.9561
ATo,call,0.0253
ATo,raise,0.0186
KTo,fold,0.9949
KTo,call,0.0043
KTo,raise,0.0009
QTo,fold,0.9864
QTo,call,0.0133
QTo,raise,0.0003
JTo,fold,0.9921
JTo,call,0.0079
TT,call,0.3803
TT,raise,0.6197
T9s,fold,0.9589
T9s,call,0.0345
T9s,raise,0.0066
