# Generated by hrc_import.py --canonical-8max from hrc_8max_chipev_060bb.zip
# HRC tree: 8-handed, effective 60.0bb (1200000 chips at 20000/bb)
# Equity model: chipev, ante: BB_ANTE_ANTE_FIRST
# TreeParams: HRC v3 Advanced ChipEV @ 60bb: open 2.3bb + 1.0bb; BU 2.3bb + 1.0bb; SB 3.0bb + 1.0bb; 3-bet IP 2.5x + 1.0x; 3-bet BB-vs-others 3.3x + 1.0x; 4-bet IP 90.0%, all-in
# App slot: sb unopened @ 60bb
# HRC node: id=6, seat=6, sequence=FFFFFF
# Actions at node: ['fold', 'call', 'raise']
# VPIP estimate: 97.29%
notation,action,freq
AA,call,0.8769
AA,raise,0.1231
AKs,call,0.6801
AKs,raise,0.3199
AQs,call,0.4718
AQs,raise,0.5281
AJs,call,0.5894
AJs,raise,0.4106
ATs,fold,0.0001
ATs,call,0.6762
ATs,raise,0.3238
A9s,call,0.3977
A9s,raise,0.6023
A8s,call,0.3483
A8s,raise,0.6517
A7s,call,0.1381
A7s,raise,0.8619
A6s,call,0.0869
A6s,raise,0.913
A5s,raise,0.9999
A4s,call,0.1747
A4s,raise,0.8252
A3s,call,0.0378
A3s,raise,0.9622
A2s,fold,0.0001
A2s,call,0.1982
A2s,raise,0.8017
AKo,call,0.5258
AKo,raise,0.4742
KK,call,0.1548
KK,raise,0.8452
KQs,call,0.0125
KQs,raise,0.9875
KJs,call,0.1718
KJs,raise,0.8282
KTs,call,0.0021
KTs,raise,0.9979
K9s,fold,0.0002
K9s,call,0.0222
K9s,raise,0.9776
K8s,call,0.0071
K8s,raise,0.9929
K7s,fold,0.0002
K7s,call,0.0264
K7s,raise,0.9734
K6s,call,0.0572
K6s,raise,0.9428
K5s,raise,1.0
K4s,fold,0.0004
K4s,call,0.0027
K4s,raise,0.997
K3s,call,0.9388
K3s,raise,0.0611
K2s,fold,0.0002
K2s,call,0.0717
K2s,raise,0.9281
AQo,call,0.3686
AQo,raise,0.6314
KQo,call,0.0003
KQo,raise,0.9997
QQ,call,0.3069
QQ,raise,0.6931
QJs,call,0.1029
QJs,raise,0.8971
QTs,call,0.0074
QTs,raise,0.9926
Q9s,fold,0.0007
Q9s,call,0.0033
Q9s,raise,0.996
Q8s,fold,0.0004
Q8s,call,0.0007
Q8s,raise,0.999
Q7s,fold,0.0002
Q7s,call,0.1397
Q7s,raise,0.8602
Q6s,call,0.3829
Q6s,raise,0.6171
Q5s,fold,0.0002
Q5s,call,0.2413
Q5s,raise,0.7585
Q4s,fold,0.0001
Q4s,call,0.9855
Q4s,raise,0.0144
Q3s,fold,0.0013
Q3s,call,0.3686
Q3s,raise,0.6301
Q2s,fold,0.0001
Q2s,call,0.9998
Q2s,raise,0.0001
AJo,call,0.4924
AJo,raise,0.5076
KJo,call,0.0016
KJo,raise,0.9984
QJo,call,0.0001
QJo,raise,0.9999
JJ,call,0.2556
JJ,raise,0.7444
JTs,call,0.0053
JTs,raise,0.9947
J9s,call,0.0209
J9s,raise,0.9791
J8s,fold,0.0003
J8s,call,0.0113
J8s,raise,0.9884
J7s,fold,0.0006
J7s,call,0.1209
J7s,raise,0.8785
J6s,fold,0.0001
J6s,call,0.002
J6s,raise,0.9979
J5s,fold,0.001
J5s,call,0.7741
J5s,raise,0.2249
J4s,fold,0.0006
J4s,call,0.8708
J4s,raise,0.1286
J3s,fold,0.0003
J3s,call,0.0348
J3s,raise,0.965
J2s,fold,0.0004
J2s,call,0.9993
J2s,raise,0.0002
ATo,call,0.522
ATo,raise,0.478
KTo,call,0.0014
KTo,raise,0.9985
QTo,call,0.0001
QTo,raise,0.9999
JTo,raise,0.9999
TT,fold,0.0001
TT,call,0.7516
TT,raise,0.2483
T9s,fold,0.0006
T9s,call,0.1592
T9s,raise,0.8402
T8s,fold,0.0002
T8s,call,0.2556
T8s,raise,0.7441
T7s,fold,0.002
T7s,call,0.3675
T7s,raise,0.6305
T6s,fold,0.0002
T6s,call,0.8885
T6s,raise,0.1114
T5s,fold,0.0003
T5s,call,0.9901
T5s,raise,0.0097
T4s,call,0.9867
T4s,raise,0.0132
T3s,fold,0.0003
T3s,call,0.9415
T3s,raise,0.0582
T2s,fold,0.0007
T2s,call,0.9952
T2s,raise,0.0042
A9o,call,0.3806
A9o,raise,0.6194
K9o,call,0.0009
K9o,raise,0.9991
Q9o,call,0.0074
Q9o,raise,0.9926
J9o,call,0.0264
J9o,raise,0.9735
T9o,fold,0.0001
T9o,call,0.0221
T9o,raise,0.9778
99,call,0.2433
99,raise,0.7567
98s,fold,0.0007
98s,call,0.2593
98s,raise,0.74
97s,call,0.9406
97s,raise,0.0594
96s,fold,0.0001
96s,call,0.9995
96s,raise,0.0004
95s,fold,0.0006
95s,call,0.9469
95s,raise,0.0525
94s,fold,0.0001
94s,call,0.9999
93s,fold,0.0016
93s,call,0.9952
93s,raise,0.0033
92s,fold,0.0009
92s,call,0.999
92s,raise,0.0001
A8o,call,0.1189
A8o,raise,0.8811
K8o,call,0.3775
K8o,raise,0.6224
Q8o,call,0.2916
Q8o,raise,0.7084
J8o,call,0.5798
J8o,raise,0.4201
T8o,call,0.9901
T8o,raise,0.0099
98o,fold,0.0001
98o,call,0.9999
88,call,0.016
88,raise,0.984
87s,fold,0.0001
87s,call,0.7799
87s,raise,0.2201
86s,fold,0.0004
86s,call,0.9996
85s,fold,0.0003
85s,call,0.9946
85s,raise,0.0051
84s,fold,0.0001
84s,call,0.9999
83s,fold,0.0008
83s,call,0.9991
82s,fold,0.0014
82s,call,0.9986
82s,raise,0.0001
A7o,call,0.2486
A7o,raise,0.7514
K7o,call,0.1122
K7o,raise,0.8878
Q7o,call,0.9319
Q7o,raise,0.0681
J7o,call,0.999
J7o,raise,0.001
T7o,call,1.0
97o,fold,0.0001
97o,call,0.9988
97o,raise,0.0012
87o,call,1.0
77,call,0.0286
77,raise,0.9714
76s,fold,0.0012
76s,call,0.956
76s,raise,0.0428
75s,fold,0.0006
75s,call,0.999
75s,raise,0.0004
74s,fold,0.0001
74s,call,0.9953
74s,raise,0.0045
73s,fold,0.0001
73s,call,0.9998
73s,raise,0.0001
72s,fold,0.0289
72s,call,0.9711
A6o,call,0.0001
A6o,raise,0.9999
K6o,call,0.0467
K6o,raise,0.9533
Q6o,fold,0.0001
Q6o,call,0.2523
Q6o,raise,0.7477
J6o,call,1.0
T6o,call,0.9998
T6o,raise,0.0002
96o,call,0.9967
96o,raise,0.0032
86o,call,0.9999
86o,raise,0.0001
76o,call,0.9999
76o,raise,0.0001
66,call,0.0013
66,raise,0.9987
65s,fold,0.0002
65s,call,0.9993
65s,raise,0.0005
64s,fold,0.0096
64s,call,0.9883
64s,raise,0.0021
63s,fold,0.0015
63s,call,0.9985
62s,fold,0.1292
62s,call,0.8707
62s,raise,0.0001
A5o,raise,1.0
K5o,call,0.2489
K5o,raise,0.7511
Q5o,call,0.8644
Q5o,raise,0.1355
J5o,call,0.9999
J5o,raise,0.0001
T5o,fold,0.0001
T5o,call,0.9999
95o,fold,0.0001
95o,call,0.9997
95o,raise,0.0002
85o,fold,0.0001
85o,call,0.9999
75o,fold,0.0001
75o,call,0.9996
75o,raise,0.0003
65o,call,1.0
55,call,0.0432
55,raise,0.9568
54s,fold,0.0005
54s,call,0.998
54s,raise,0.0015
53s,fold,0.0001
53s,call,0.9998
52s,fold,0.0009
52s,call,0.9986
52s,raise,0.0005
A4o,call,0.0011
A4o,raise,0.9989
K4o,call,0.8927
K4o,raise,0.1073
Q4o,call,0.9358
Q4o,raise,0.0642
J4o,call,0.9995
J4o,raise,0.0005
T4o,call,0.9999
T4o,raise,0.0001
94o,fold,0.0001
94o,call,0.9999
84o,fold,0.0003
84o,call,0.9997
74o,call,1.0
64o,fold,0.0001
64o,call,0.9999
64o,raise,0.0001
54o,fold,0.0001
54o,call,0.9999
44,fold,0.0003
44,call,0.0026
44,raise,0.9971
43s,fold,0.001
43s,call,0.9989
43s,raise,0.0001
42s,fold,0.0345
42s,call,0.9609
42s,raise,0.0046
A3o,call,0.0013
A3o,raise,0.9987
K3o,fold,0.0001
K3o,call,0.9946
K3o,raise,0.0053
Q3o,fold,0.0002
Q3o,call,0.9996
Q3o,raise,0.0003
J3o,fold,0.0002
J3o,call,0.9997
T3o,call,0.9999
93o,fold,0.0002
93o,call,0.9997
93o,raise,0.0001
83o,fold,0.0001
83o,call,0.9998
83o,raise,0.0002
73o,fold,0.0001
73o,call,0.9999
63o,fold,0.487
63o,call,0.513
53o,fold,0.0096
53o,call,0.9904
43o,fold,0.0216
43o,call,0.9784
33,fold,0.0002
33,call,0.0072
33,raise,0.9927
32s,fold,0.0352
32s,call,0.9648
A2o,call,0.0285
A2o,raise,0.9715
K2o,call,0.9678
K2o,raise,0.0322
Q2o,call,0.9991
Q2o,raise,0.0009
J2o,call,1.0
T2o,fold,0.0001
T2o,call,0.9999
92o,fold,0.0001
92o,call,0.9999
82o,fold,0.0004
82o,call,0.9996
72o,fold,0.8491
72o,call,0.1508
72o,raise,0.0001
62o,fold,0.9718
62o,call,0.0282
52o,fold,0.0025
52o,call,0.9975
42o,fold,0.9902
42o,call,0.0097
32o,fold,0.977
32o,call,0.023
22,fold,0.0008
22,call,0.8899
22,raise,0.1093
