# Generated by hrc_import.py --canonical-8max from hrc_8max_chipev_060bb.zip
# HRC tree: 8-handed, effective 60.0bb (1200000 chips at 20000/bb)
# Equity model: chipev, ante: BB_ANTE_ANTE_FIRST
# TreeParams: HRC v3 Advanced ChipEV @ 60bb: open 2.3bb + 1.0bb; BU 2.3bb + 1.0bb; SB 3.0bb + 1.0bb; 3-bet IP 2.5x + 1.0x; 3-bet BB-vs-others 3.3x + 1.0x; 4-bet IP 90.0%, all-in
# App slot: sb vs3betjam @ 60bb
# HRC node: id=14, seat=6, sequence=FFFFFFRR
# Actions at node: ['fold', 'call', 'jam']
# VPIP estimate: 96.83%
notation,action,freq
AA,jam,1.0
AKs,fold,0.0002
AKs,call,0.0049
AKs,jam,0.9948
AQs,fold,0.0064
AQs,call,0.5098
AQs,jam,0.4839
AJs,fold,0.0032
AJs,call,0.9792
AJs,jam,0.0177
ATs,fold,0.0043
ATs,call,0.9932
ATs,jam,0.0025
A9s,fold,0.0025
A9s,call,0.9917
A9s,jam,0.0059
A8s,fold,0.0015
A8s,call,0.9434
A8s,jam,0.0551
A7s,fold,0.0009
A7s,call,0.9795
A7s,jam,0.0196
A6s,fold,0.0242
A6s,call,0.946
A6s,jam,0.0298
A5s,fold,0.0012
A5s,call,0.9947
A5s,jam,0.0041
A4s,fold,0.0126
A4s,call,0.3875
A4s,jam,0.5999
A3s,fold,0.0419
A3s,call,0.9519
A3s,jam,0.0063
A2s,fold,0.0031
A2s,call,0.9719
A2s,jam,0.025
AKo,jam,1.0
KK,jam,1.0
KQs,fold,0.0049
KQs,call,0.9949
KQs,jam,0.0002
KJs,fold,0.0004
KJs,call,0.9978
KJs,jam,0.0018
KTs,fold,0.0033
KTs,call,0.872
KTs,jam,0.1247
K9s,fold,0.0045
K9s,call,0.9914
K9s,jam,0.0041
K8s,fold,0.0083
K8s,call,0.9904
K8s,jam,0.0013
K7s,fold,0.0066
K7s,call,0.9932
K7s,jam,0.0002
K6s,fold,0.0084
K6s,call,0.989
K6s,jam,0.0026
K5s,fold,0.0012
K5s,call,0.9975
K5s,jam,0.0012
K4s,fold,0.0042
K4s,call,0.9952
K4s,jam,0.0006
K3s,fold,0.3983
K3s,call,0.6011
K3s,jam,0.0007
K2s,fold,0.0123
K2s,call,0.9856
K2s,jam,0.0021
AQo,call,0.8975
AQo,jam,0.1025
KQo,call,0.9987
KQo,jam,0.0013
QQ,call,0.0002
QQ,jam,0.9998
QJs,fold,0.0195
QJs,call,0.5606
QJs,jam,0.4198
QTs,fold,0.0021
QTs,call,0.9973
QTs,jam,0.0006
Q9s,fold,0.0037
Q9s,call,0.9961
Q9s,jam,0.0003
Q8s,fold,0.02
Q8s,call,0.9787
Q8s,jam,0.0013
Q7s,fold,0.1173
Q7s,call,0.8819
Q7s,jam,0.0008
Q6s,fold,0.03
Q6s,call,0.9693
Q6s,jam,0.0007
Q5s,fold,0.1803
Q5s,call,0.8185
Q5s,jam,0.0012
Q4s,fold,0.3433
Q4s,call,0.6482
Q4s,jam,0.0085
Q3s,fold,0.2058
Q3s,call,0.7932
Q3s,jam,0.001
Q2s,fold,0.2071
Q2s,call,0.3537
Q2s,jam,0.4392
AJo,call,0.9927
AJo,jam,0.0073
KJo,fold,0.0019
KJo,call,0.9978
KJo,jam,0.0003
QJo,fold,0.0003
QJo,call,0.9994
QJo,jam,0.0003
JJ,call,0.0679
JJ,jam,0.9321
JTs,fold,0.0105
JTs,call,0.9891
JTs,jam,0.0004
J9s,fold,0.0054
J9s,call,0.9939
J9s,jam,0.0006
J8s,fold,0.008
J8s,call,0.9916
J8s,jam,0.0004
J7s,fold,0.0047
J7s,call,0.8916
J7s,jam,0.1038
J6s,fold,0.002
J6s,call,0.998
J6s,jam,0.0001
J5s,fold,0.0022
J5s,call,0.9976
J5s,jam,0.0002
J4s,fold,0.0748
J4s,call,0.9251
J4s,jam,0.0001
J3s,fold,0.0075
