# Generated by hrc_import.py --multi-opener-8max from hrc_8max_chipev_060bb.zip
# HRC tree: 8-handed, effective 60.0bb
# Equity model: chipev, ante: BB_ANTE_ANTE_FIRST
# App slot (deferred integration): sb vsopen vs lj open @ 60bb
# HRC node: id=739, seat=6, sequence=FFRFFF
# Actions: ['fold', 'call', 'raise']
# VPIP estimate: 52.19%
notation,action,freq
AA,raise,1.0
AKs,call,0.0122
AKs,raise,0.9878
AQs,fold,0.0072
AQs,call,0.8041
AQs,raise,0.1887
AJs,fold,0.0002
AJs,call,0.7176
AJs,raise,0.2823
ATs,fold,0.0075
ATs,call,0.0821
ATs,raise,0.9104
A9s,fold,0.0005
A9s,call,0.9964
A9s,raise,0.0031
A8s,fold,0.0003
A8s,call,0.9997
A7s,fold,0.0047
A7s,call,0.9945
A7s,raise,0.0008
A6s,fold,0.0769
A6s,call,0.6279
A6s,raise,0.2952
A5s,fold,0.07
A5s,call,0.7904
A5s,raise,0.1395
A4s,fold,0.1141
A4s,call,0.4807
A4s,raise,0.4051
A3s,fold,0.0631
A3s,call,0.9338
A3s,raise,0.0031
A2s,fold,0.018
A2s,call,0.9705
A2s,raise,0.0115
AKo,call,0.0001
AKo,raise,0.9999
KK,raise,1.0
KQs,fold,0.0136
KQs,call,0.5592
KQs,raise,0.4272
KJs,fold,0.009
KJs,call,0.9907
KJs,raise,0.0003
KTs,fold,0.0215
KTs,call,0.9689
KTs,raise,0.0096
K9s,fold,0.0013
K9s,call,0.9983
K9s,raise,0.0004
K8s,fold,0.1153
K8s,call,0.8846
K8s,raise,0.0001
K7s,fold,0.1475
K7s,call,0.8525
K6s,fold,0.0326
K6s,call,0.9672
K6s,raise,0.0002
K5s,fold,0.0058
K5s,call,0.9942
K4s,fold,0.0235
K4s,call,0.9765
K3s,fold,0.2813
K3s,call,0.7186
K3s,raise,0.0001
K2s,fold,0.4784
K2s,call,0.5213
K2s,raise,0.0003
AQo,fold,0.0001
AQo,call,0.0395
AQo,raise,0.9604
KQo,fold,0.002
KQo,call,0.7475
KQo,raise,0.2506
QQ,call,0.0502
QQ,raise,0.9498
QJs,fold,0.008
QJs,call,0.9916
QJs,raise,0.0004
QTs,fold,0.011
QTs,call,0.9889
QTs,raise,0.0001
Q9s,fold,0.016
Q9s,call,0.98
Q9s,raise,0.004
Q8s,fold,0.3909
Q8s,call,0.6091
Q7s,fold,0.0253
Q7s,call,0.9747
Q6s,fold,0.2236
Q6s,call,0.7764
Q6s,raise,0.0001
Q5s,fold,0.3544
Q5s,call,0.6454
Q5s,raise,0.0002
Q4s,fold,0.4239
Q4s,call,0.5761
Q3s,fold,0.4706
Q3s,call,0.5294
Q2s,fold,0.999
Q2s,call,0.0009
Q2s,raise,0.0001
AJo,fold,0.0003
AJo,call,0.7496
AJo,raise,0.2502
KJo,fold,0.0001
KJo,call,0.9492
KJo,raise,0.0507
QJo,fold,0.0066
QJo,call,0.9782
QJo,raise,0.0152
JJ,call,0.6547
JJ,raise,0.3453
JTs,fold,0.0103
JTs,call,0.9897
J9s,fold,0.0418
J9s,call,0.9581
J9s,raise,0.0001
J8s,fold,0.0007
J8s,call,0.9992
J8s,raise,0.0001
J7s,fold,0.2462
J7s,call,0.7526
J7s,raise,0.0012
J6s,fold,0.9228
J6s,call,0.0769
J6s,raise,0.0003
J5s,fold,0.0266
J5s,call,0.9732
J5s,raise,0.0002
J4s,fold,0.9786
J4s,call,0.0214
J3s,fold,0.9269
J3s,call,0.0731
J2s,fold,0.9998
J2s,call,0.0002
ATo,fold,0.0001
ATo,call,0.9345
ATo,raise,0.0654
KTo,fold,0.0087
KTo,call,0.9912
QTo,fold,0.034
QTo,call,0.966
JTo,fold,0.071
JTo,call,0.9289
JTo,raise,0.0001
TT,fold,0.0012
TT,call,0.0926
TT,raise,0.9062
T9s,fold,0.0752
T9s,call,0.924
T9s,raise,0.0008
T8s,fold,0.0271
T8s,call,0.9728
T8s,raise,0.0001
T7s,fold,0.1357
T7s,call,0.8638
T7s,raise,0.0005
T6s,fold,0.8684
T6s,call,0.1315
T6s,raise,0.0001
T5s,fold,0.6478
T5s,call,0.3522
T4s,fold,0.6834
T4s,call,0.3166
T3s,fold,0.5015
T3s,call,0.4985
T2s,fold,0.9642
T2s,call,0.0358
A9o,fold,0.0138
A9o,call,0.9619
A9o,raise,0.0244
K9o,fold,0.0716
K9o,call,0.9284
Q9o,fold,0.0257
Q9o,call,0.9743
J9o,fold,0.1228
J9o,call,0.8772
T9o,fold,0.0258
T9o,call,0.9741
T9o,raise,0.0001
99,fold,0.0009
99,call,0.4798
99,raise,0.5193
98s,fold,0.0117
98s,call,0.9882
98s,raise,0.0001
97s,fold,0.0199
97s,call,0.9801
97s,raise,0.0001
96s,fold,0.2829
96s,call,0.7171
95s,fold,0.5078
95s,call,0.4921
95s,raise,0.0001
94s,fold,0.9966
94s,call,0.0033
94s,raise,0.0001
93s,fold,0.7684
93s,call,0.2316
92s,fold,0.8385
92s,call,0.1615
A8o,fold,0.159
A8o,call,0.8037
A8o,raise,0.0373
K8o,fold,0.0738
K8o,call,0.9262
Q8o,fold,0.1085
Q8o,call,0.8915
J8o,fold,0.993
J8o,call,0.0069
T8o,fold,0.2447
T8o,call,0.7551
T8o,raise,0.0003
98o,fold,0.3043
98o,call,0.6956
98o,raise,0.0001
88,fold,0.0048
88,call,0.7435
88,raise,0.2517
87s,fold,0.8574
87s,call,0.1403
87s,raise,0.0024
86s,fold,0.1046
86s,call,0.8954
85s,fold,0.394
85s,call,0.606
84s,fold,0.9937
84s,call,0.0061
84s,raise,0.0003
83s,fold,0.9994
83s,call,0.0003
83s,raise,0.0003
82s,fold,0.9953
82s,call,0.0045
82s,raise,0.0002
A7o,fold,0.0001
A7o,call,0.9999
K7o,fold,0.0958
K7o,call,0.9042
Q7o,fold,0.7381
Q7o,call,0.2618
Q7o,raise,0.0001
J7o,fold,0.9985
