# Generated by hrc_import.py --canonical-8max from hrc_8max_chipev_060bb.zip
# HRC tree: 8-handed, effective 60.0bb (1200000 chips at 20000/bb)
# Equity model: chipev, ante: BB_ANTE_ANTE_FIRST
# TreeParams: HRC v3 Advanced ChipEV @ 60bb: open 2.3bb + 1.0bb; BU 2.3bb + 1.0bb; SB 3.0bb + 1.0bb; 3-bet IP 2.5x + 1.0x; 3-bet BB-vs-others 3.3x + 1.0x; 4-bet IP 90.0%, all-in
# App slot: utg1 vs3bet @ 60bb
# HRC node: id=5018, seat=1, sequence=FRRFFFFF
# Actions at node: ['fold', 'call', 'raise', 'jam']
# VPIP estimate: 96.97%
notation,action,freq
AA,call,0.0001
AA,raise,0.3257
AA,jam,0.6742
AKs,fold,0.0001
AKs,call,0.0538
AKs,raise,0.0001
AKs,jam,0.9461
AQs,call,0.786
AQs,raise,0.0876
AQs,jam,0.1264
AJs,fold,0.008
AJs,call,0.8185
AJs,jam,0.1734
ATs,fold,0.0017
ATs,call,0.998
ATs,raise,0.0003
A9s,fold,0.0123
A9s,call,0.9786
A9s,raise,0.0085
A9s,jam,0.0006
A8s,fold,0.0099
A8s,call,0.9196
A8s,raise,0.0003
A8s,jam,0.0703
A7s,fold,0.0471
A7s,call,0.8557
A7s,raise,0.0006
A7s,jam,0.0966
A6s,fold,0.2116
A6s,call,0.4142
A6s,raise,0.1563
A6s,jam,0.218
A5s,fold,0.2022
A5s,call,0.6335
A5s,raise,0.0707
A5s,jam,0.0937
A4s,fold,0.0668
A4s,call,0.7182
A4s,raise,0.0312
A4s,jam,0.1839
A3s,fold,0.2945
A3s,call,0.6553
A3s,raise,0.0048
A3s,jam,0.0454
A2s,fold,0.0507
A2s,call,0.9383
A2s,raise,0.0002
A2s,jam,0.0109
AKo,fold,0.0001
AKo,call,0.7891
AKo,raise,0.0165
AKo,jam,0.1943
KK,fold,0.0002
KK,call,0.3441
KK,raise,0.3154
KK,jam,0.3402
KQs,fold,0.0071
KQs,call,0.9078
KQs,raise,0.0851
KJs,fold,0.0178
KJs,call,0.9785
KJs,raise,0.0009
KJs,jam,0.0027
KTs,fold,0.0022
KTs,call,0.9528
KTs,jam,0.045
K9s,fold,0.0568
K9s,call,0.9246
K9s,raise,0.0054
K9s,jam,0.0132
K8s,fold,0.331
K8s,call,0.5755
K8s,raise,0.0636
K8s,jam,0.0298
K7s,fold,0.1488
K7s,call,0.8237
K7s,raise,0.0029
K7s,jam,0.0247
K6s,fold,0.0496
K6s,call,0.9245
K6s,jam,0.0258
K5s,fold,0.0441
K5s,call,0.797
K5s,jam,0.1589
K3s,fold,0.0159
K3s,call,0.981
K3s,raise,0.0014
K3s,jam,0.0017
K2s,fold,0.2796
K2s,call,0.5554
K2s,raise,0.0234
K2s,jam,0.1416
AQo,call,0.9865
AQo,raise,0.003
AQo,jam,0.0105
KQo,fold,0.0019
KQo,call,0.9949
KQo,raise,0.0004
KQo,jam,0.0028
QQ,fold,0.0001
QQ,call,0.7227
QQ,raise,0.0561
QQ,jam,0.2212
QJs,fold,0.0997
QJs,call,0.8557
QJs,jam,0.0446
QTs,fold,0.0386
QTs,call,0.9579
QTs,raise,0.0025
QTs,jam,0.001
Q9s,fold,0.1751
Q9s,call,0.8202
Q9s,raise,0.003
Q9s,jam,0.0017
Q8s,fold,0.0785
Q8s,call,0.8718
Q8s,raise,0.011
Q8s,jam,0.0387
Q7s,fold,0.253
Q7s,call,0.565
Q7s,raise,0.0006
Q7s,jam,0.1815
Q6s,fold,0.4417
Q6s,call,0.4472
Q6s,raise,0.0013
Q6s,jam,0.1098
Q5s,fold,0.2153
Q5s,call,0.7037
Q5s,raise,0.0002
Q5s,jam,0.0808
Q4s,fold,0.1489
Q4s,call,0.8474
Q4s,raise,0.0013
Q4s,jam,0.0024
Q3s,fold,0.5244
Q3s,call,0.4756
AJo,fold,0.0025
AJo,call,0.9962
AJo,raise,0.0005
AJo,jam,0.0008
KJo,fold,0.0025
KJo,call,0.9958
KJo,raise,0.0001
KJo,jam,0.0016
QJo,fold,0.0607
QJo,call,0.9389
QJo,jam,0.0004
JJ,fold,0.0003
JJ,call,0.9254
JJ,raise,0.0003
JJ,jam,0.074
JTs,fold,0.2238
JTs,call,0.7705
JTs,raise,0.0037
JTs,jam,0.0021
J9s,fold,0.073
J9s,call,0.8414
J9s,raise,0.0855
J9s,jam,0.0001
J8s,fold,0.2471
J8s,call,0.5017
J8s,raise,0.0003
J8s,jam,0.2509
J7s,fold,0.3991
J7s,call,0.5981
J7s,raise,0.0011
J7s,jam,0.0017
J4s,fold,0.1782
J4s,call,0.8165
J4s,raise,0.0003
J4s,jam,0.005
ATo,fold,0.0063
ATo,call,0.986
ATo,raise,0.0043
ATo,jam,0.0034
KTo,fold,0.002
KTo,call,0.9971
KTo,raise,0.0003
KTo,jam,0.0005
QTo,fold,0.0362
QTo,call,0.9626
QTo,raise,0.0009
QTo,jam,0.0003
JTo,fold,0.0739
JTo,call,0.926
TT,fold,0.0025
TT,call,0.997
TT,jam,0.0005
T9s,fold,0.2115
T9s,call,0.788
T9s,jam,0.0005
T8s,fold,0.3488
T8s,call,0.5611
T8s,raise,0.0001
T8s,jam,0.09
T7s,fold,0.2134
T7s,call,0.7827
T7s,raise,0.0006
T7s,jam,0.0033
T6s,fold,0.4445
T6s,call,0.5459
T6s,raise,0.0002
T6s,jam,0.0095
T3s,fold,0.4512
T3s,call,0.5451
T3s,jam,0.0037
T2s,fold,0.7411
T2s,call,0.251
T2s,raise,0.0033
T2s,jam,0.0046
A9o,fold,0.0003
A9o,call,0.9991
A9o,raise,0.0004
A9o,jam,0.0002
K9o,fold,0.0076
K9o,call,0.9918
K9o,jam,0.0006
Q9o,fold,0.0165
Q9o,call,0.9815
Q9o,raise,0.0018
Q9o,jam,0.0002
99,fold,0.0056
99,call,0.9676
99,raise,0.0012
99,jam,0.0256
98s,fold,0.771
98s,call,0.2284
98s,raise,0.0002
98s,jam,0.0004
97s,fold,0.0882
97s,call,0.9078
97s,raise,0.0001
97s,jam,0.0038
A8o,fold,0.1179
A8o,call,0.88
A8o,raise,0.0002
A8o,jam,0.0019
88,fold,0.014
88,call,0.9826
88,raise,0.0021
88,jam,0.0013
86s,fold,0.4857
86s,call,0.504
86s,jam,0.0103
A7o,fold,0.0017
A7o,call,0.9977
A7o,raise,0.0003
A7o,jam,0.0003
K7o,fold,0.0481
K7o,call,0.949
K7o,raise,0.0027
K7o,jam,0.0002
77,fold,0.0057
77,call,0.9882
77,raise,0.0032
77,jam,0.0029
76s,fold,0.275
76s,call,0.7223
76s,raise,0.0021
76s,jam,0.0006
66,fold,0.1041
66,call,0.8911
66,raise,0.0002
66,jam,0.0046
65s,fold,0.7837
