# Generated by hrc_import.py --multi-opener-8max from hrc_8max_chipev_060bb.zip
# HRC tree: 8-handed, effective 60.0bb
# Equity model: chipev, ante: BB_ANTE_ANTE_FIRST
# App slot (deferred integration): utg1 vsopen vs utg open @ 60bb
# HRC node: id=5373, seat=1, sequence=R
# Actions: ['fold', 'call', 'raise']
# VPIP estimate: 13.36%
notation,action,freq
AA,call,0.2216
AA,raise,0.7784
AKs,fold,0.0002
AKs,call,0.9982
AKs,raise,0.0017
AQs,call,0.5897
AQs,raise,0.4103
AJs,fold,0.0011
AJs,call,0.7191
AJs,raise,0.2798
ATs,fold,0.0003
ATs,call,0.9544
ATs,raise,0.0453
A9s,fold,0.7453
A9s,call,0.1646
A9s,raise,0.0901
A8s,fold,0.3908
A8s,call,0.5959
A8s,raise,0.0133
A7s,fold,0.9507
A7s,call,0.0463
A7s,raise,0.003
A6s,fold,0.8912
A6s,call,0.1087
A6s,raise,0.0002
A5s,fold,0.8663
A5s,call,0.1211
A5s,raise,0.0126
A4s,fold,0.9143
A4s,call,0.0805
A4s,raise,0.0052
A3s,fold,0.9874
A3s,call,0.01
A3s,raise,0.0027
A2s,fold,0.9923
A2s,call,0.0066
A2s,raise,0.0011
AKo,call,0.2801
AKo,raise,0.7199
KK,call,0.9547
KK,raise,0.0453
KQs,fold,0.0144
KQs,call,0.9825
KQs,raise,0.0031
KJs,fold,0.0001
KJs,call,0.9994
KJs,raise,0.0004
KTs,fold,0.5623
KTs,call,0.0005
KTs,raise,0.4372
K9s,fold,0.9783
K9s,call,0.0197
K9s,raise,0.0021
K8s,fold,0.9994
K8s,call,0.0003
K8s,raise,0.0003
K7s,fold,0.9531
K7s,call,0.0463
K7s,raise,0.0006
K6s,fold,0.9551
K6s,call,0.0425
K6s,raise,0.0023
K5s,fold,0.9891
K5s,call,0.0102
K5s,raise,0.0007
K4s,fold,0.9891
K4s,call,0.0102
K4s,raise,0.0007
K3s,fold,0.9917
K3s,call,0.0055
K3s,raise,0.0029
K2s,fold,0.9957
K2s,call,0.0033
K2s,raise,0.001
AQo,call,0.9572
AQo,raise,0.0428
KQo,fold,0.6764
KQo,call,0.3148
KQo,raise,0.0088
QQ,call,0.6653
QQ,raise,0.3347
QJs,fold,0.5211
QJs,call,0.4772
QJs,raise,0.0017
QTs,fold,0.7129
QTs,call,0.287
QTs,raise,0.0001
Q9s,fold,0.9661
Q9s,call,0.0034
Q9s,raise,0.0305
Q8s,fold,0.7478
Q8s,call,0.2493
Q8s,raise,0.0028
Q7s,fold,0.9904
Q7s,call,0.0095
Q7s,raise,0.0001
Q6s,fold,0.9357
Q6s,call,0.0636
Q6s,raise,0.0007
Q5s,fold,0.9911
Q5s,call,0.0068
Q5s,raise,0.0021
Q4s,fold,0.9967
Q4s,call,0.003
Q4s,raise,0.0003
Q3s,fold,0.9981
Q3s,call,0.0018
Q2s,fold,0.9963
Q2s,call,0.0009
Q2s,raise,0.0028
AJo,fold,0.0002
AJo,call,0.9908
AJo,raise,0.009
KJo,fold,0.9503
KJo,call,0.0111
KJo,raise,0.0386
QJo,fold,0.9003
QJo,call,0.0967
QJo,raise,0.003
JJ,call,0.0001
JJ,raise,0.9999
JTs,fold,0.0934
JTs,call,0.8984
JTs,raise,0.0083
J9s,fold,0.9751
J9s,call,0.0248
J8s,fold,0.9881
J8s,call,0.0019
J8s,raise,0.01
J7s,fold,0.9715
J7s,call,0.0284
J7s,raise,0.0002
J6s,fold,0.9996
J6s,call,0.0003
J6s,raise,0.0001
J5s,fold,0.9973
J5s,call,0.0009
J5s,raise,0.0018
J4s,fold,0.9987
J4s,call,0.0009
J4s,raise,0.0004
J3s,fold,0.9982
J3s,call,0.0009
J3s,raise,0.0009
J2s,fold,0.9997
J2s,call,0.0002
J2s,raise,0.0001
ATo,fold,0.8218
ATo,call,0.1023
ATo,raise,0.0759
KTo,fold,0.9812
