# Generated by hrc_import.py --canonical-8max from hrc_8max_chipev_060bb.zip
# HRC tree: 8-handed, effective 60.0bb (1200000 chips at 20000/bb)
# Equity model: chipev, ante: BB_ANTE_ANTE_FIRST
# Preflop sizes: {'SIZES_OPEN_OTHERS': '2.3bb + 1.0bb', 'SIZES_OPEN_BU': '2.3bb + 1.0bb', 'SIZES_OPEN_SB': '3.0bb + 1.0bb', 'SIZES_OPEN_BB': '3.0bb + 1.0bb', 'SIZES_OPEN_BB_VS_SB': '3.0bb', 'SIZES_3BET_IP': '2.5x + 1.0x', 'SIZES_3BET_BB_VS_OTHER': '3.3x + 1.0x', 'SIZES_3BET_BB_VS_SB': '2.5x', 'SIZES_3BET_SB_VS_BB': '2.6x + 1.0x', 'SIZES_3BET_SB_VS_OTHER': '3.3x + 1.0x', 'SIZES_4BET_IP': '90.0%, all-in', 'SIZES_4BET_OOP': '120.0%, all-in', 'SIZES_5BET_IP': '90.0%, all-in', 'SIZES_5BET_OOP': '120.0%, all-in'}
# App slot: utg unopened @ 60bb
# HRC node: id=0, seat=0, sequence=root
# Actions at node: ['fold', 'raise']
# VPIP estimate: 15.59%
notation,action,freq
AA,raise,1.0
AKs,raise,1.0
AQs,raise,1.0
AJs,raise,1.0
ATs,raise,1.0
A9s,fold,0.0008
A9s,raise,0.9992
A8s,fold,0.3521
A8s,raise,0.6479
A7s,fold,0.8149
A7s,raise,0.1851
A6s,fold,0.7694
A6s,raise,0.2306
A5s,fold,0.8587
A5s,raise,0.1413
A4s,fold,0.9962
A4s,raise,0.0038
A3s,fold,0.7968
A3s,raise,0.2032
A2s,fold,0.9987
A2s,raise,0.0013
AKo,raise,1.0
KK,raise,1.0
KQs,raise,1.0
KJs,raise,1.0
KTs,raise,1.0
K9s,fold,0.2395
K9s,raise,0.7605
K8s,fold,0.9979
K8s,raise,0.0021
K7s,fold,0.9934
K7s,raise,0.0066
K6s,fold,0.993
K6s,raise,0.007
K5s,fold,0.9996
K5s,raise,0.0004
K4s,fold,0.9928
K4s,raise,0.0072
K3s,fold,0.9994
K3s,raise,0.0006
K2s,fold,0.9997
K2s,raise,0.0003
AQo,raise,1.0
KQo,raise,1.0
QQ,raise,1.0
QJs,fold,0.2828
QJs,raise,0.7172
QTs,raise,1.0
Q9s,fold,0.997
Q9s,raise,0.003
Q8s,fold,0.9991
Q8s,raise,0.0009
Q7s,fold,0.9995
Q7s,raise,0.0005
Q6s,fold,0.9999
Q6s,raise,0.0001
Q5s,fold,0.9989
Q5s,raise,0.0011
Q4s,fold,0.9998
Q4s,raise,0.0002
Q3s,fold,0.9997
Q3s,raise,0.0003
Q2s,fold,1.0
AJo,raise,1.0
KJo,fold,0.7473
KJo,raise,0.2527
QJo,fold,0.9644
QJo,raise,0.0356
JJ,raise,1.0
JTs,fold,0.9198
JTs,raise,0.0802
J9s,fold,0.5585
J9s,raise,0.4415
J8s,fold,0.9998
J8s,raise,0.0002
J7s,fold,0.9989
J7s,raise,0.0011
J6s,fold,0.9997
J6s,raise,0.0003
J5s,fold,1.0
J4s,fold,0.9998
J4s,raise,0.0002
J3s,fold,1.0
J2s,fold,1.0
ATo,raise,1.0
KTo,fold,0.9602
KTo,raise,0.0398
QTo,fold,0.997
QTo,raise,0.003
JTo,fold,0.996
JTo,raise,0.004
TT,raise,1.0
T9s,fold,0.9888
T9s,raise,0.0112
T8s,fold,0.9988
T8s,raise,0.0012
T7s,fold,0.9995
T7s,raise,0.0005
T6s,fold,1.0
T5s,fold,0.9999
T5s,raise,0.0001
T4s,fold,1.0
T3s,fold,1.0
T2s,fold,1.0
A9o,fold,0.8983
A9o,raise,0.1017
K9o,fold,0.9977
K9o,raise,0.0023
Q9o,fold,0.9995
Q9o,raise,0.0005
J9o,fold,0.9998
J9o,raise,0.0002
T9o,fold,0.9996
T9o,raise,0.0004
99,raise,1.0
98s,fold,0.9997
98s,raise,0.0003
97s,fold,1.0
96s,fold,0.9995
96s,raise,0.0005
95s,fold,0.9999
95s,raise,0.0001
94s,fold,1.0
93s,fold,1.0
92s,fold,1.0
A8o,fold,0.999
A8o,raise,0.001
K8o,fold,0.9996
K8o,raise,0.0004
Q8o,fold,1.0
J8o,fold,1.0
T8o,fold,1.0
98o,fold,1.0
88,raise,1.0
87s,fold,0.9988
87s,raise,0.0012
86s,fold,0.9995
86s,raise,0.0005
85s,fold,1.0
84s,fold,0.9998
84s,raise,0.0002
83s,fold,1.0
82s,fold,1.0
A7o,fold,0.996
A7o,raise,0.004
K7o,fold,0.9999
K7o,raise,0.0001
Q7o,fold,1.0
J7o,fold,1.0
T7o,fold,1.0
97o,fold,1.0
87o,fold,1.0
77,raise,1.0
76s,fold,0.9997
76s,raise,0.0003
75s,fold,0.9999
75s,raise,0.0001
74s,fold,0.9999
74s,raise,0.0001
