# poker.academy CE-Symmetric — 60bb vs3bet | hero EP vs HJ
# Scraped 2026-06-01 via scrape_all_ranges.py
# TreeParams: poker.academy CE-Symmetric Regular @ 60bb (GTO ChipEV, 1bb ante)
notation,action,freq
22,call,1.0
33,call,1.0
44,call,1.0
55,call,1.0
66,call,1.0
77,call,1.0
88,call,1.0
99,call,1.0
AA,threeBet,1.0
AKs,threeBet,1.0
AQs,call,1.0
AJs,call,1.0
ATs,call,0.8681
ATs,threeBet,0.1319
A9s,call,1.0
A8s,call,0.3872
A8s,fold,0.2335
A8s,threeBet,0.3793
A7s,call,0.1984
A7s,fold,0.6875
A7s,threeBet,0.1141
A6s,call,0.362
A6s,fold,0.6102
A6s,threeBet,0.0278
A5s,call,0.814
A5s,threeBet,0.186
A4s,call,0.83
A4s,threeBet,0.17
A3s,call,0.5449
A3s,fold,0.4302
A3s,threeBet,0.0249
AKo,call,0.288
AKo,jam,0.5981
AKo,threeBet,0.1139
KK,jam,0.514
KK,threeBet,0.486
KQs,call,1.0
KJs,call,0.4899
KJs,threeBet,0.5101
KTs,call,0.8201
KTs,threeBet,0.1799
K9s,call,0.492
K9s,fold,0.306
K9s,threeBet,0.202
K7s,call,1.0
K6s,call,1.0
AQo,call,0.726
AQo,threeBet,0.274
QQ,call,0.55
QQ,jam,0.0199
QQ,threeBet,0.4301
QJs,call,1.0
QTs,call,1.0
AJo,fold,0.9661
AJo,threeBet,0.0339
JJ,call,0.6701
JJ,threeBet,0.3299
JTs,call,1.0
J9s,call,0.1519
J9s,fold,0.8481
TT,call,0.812
TT,threeBet,0.188
T9s,call,1.0
T8s,call,0.5471
T8s,fold,0.4529
98s,call,1.0
87s,call,1.0
76s,call,1.0
65s,call,1.0
54s,call,1.0
