# poker.academy CE-Symmetric — 70bb vsopen | hero BB vs SB
# Scraped 2026-06-01 via scrape_all_ranges.py
# TreeParams: poker.academy CE-Symmetric Regular @ 70bb (GTO ChipEV, 1bb ante)
notation,action,freq
22,call,1.0
33,call,1.0
44,call,1.0
55,call,1.0
66,call,0.8901
66,threeBet,0.1099
77,call,1.0
88,call,1.0
99,call,0.9942
99,threeBet,0.0058
AA,threeBet,1.0
AKs,threeBet,1.0
AQs,threeBet,1.0
AJs,call,1.0
ATs,call,1.0
A9s,call,1.0
A8s,call,1.0
A7s,call,1.0
A6s,call,1.0
A5s,call,1.0
A4s,call,1.0
A3s,call,1.0
A2s,call,1.0
AKo,threeBet,1.0
KK,threeBet,1.0
KQs,call,1.0
KJs,call,1.0
KTs,call,1.0
K9s,call,1.0
K8s,call,1.0
K7s,call,1.0
K6s,call,1.0
K5s,call,1.0
K4s,call,1.0
K3s,call,1.0
K2s,call,1.0
AQo,call,0.6147
AQo,threeBet,0.3853
KQo,call,0.6647
KQo,threeBet,0.3353
QQ,threeBet,1.0
QJs,call,1.0
QTs,call,1.0
Q9s,call,1.0
Q8s,call,1.0
Q7s,call,1.0
Q6s,call,1.0
Q5s,call,1.0
Q4s,call,1.0
Q3s,call,1.0
Q2s,call,1.0
AJo,call,0.515
AJo,threeBet,0.485
KJo,call,0.8544
KJo,threeBet,0.1456
QJo,call,0.91
QJo,threeBet,0.09
JJ,threeBet,1.0
JTs,call,1.0
J9s,call,1.0
J8s,call,1.0
J7s,call,1.0
J6s,call,1.0
J5s,call,0.9344
J5s,threeBet,0.0656
J4s,call,0.9641
J4s,threeBet,0.0359
J3s,call,1.0
J2s,call,0.9342
J2s,threeBet,0.0658
ATo,call,0.7501
ATo,threeBet,0.2499
KTo,call,0.9001
KTo,threeBet,0.0999
QTo,call,0.9601
QTo,threeBet,0.0399
JTo,call,1.0
TT,call,0.4301
TT,threeBet,0.5699
T9s,call,1.0
T8s,call,1.0
T7s,call,1.0
T6s,call,0.9501
T6s,threeBet,0.0499
T5s,call,0.8544
T5s,threeBet,0.1456
T4s,call,0.8045
T4s,threeBet,0.1955
T3s,call,0.9244
T3s,threeBet,0.0756
T2s,call,0.64
T2s,threeBet,0.36
A9o,call,0.84
A9o,threeBet,0.16
K9o,call,0.9402
K9o,threeBet,0.0598
Q9o,call,0.8444
Q9o,threeBet,0.1556
J9o,call,0.8245
J9o,threeBet,0.1755
T9o,call,0.8743
T9o,threeBet,0.1257
98s,call,1.0
97s,call,1.0
96s,call,1.0
95s,call,0.84
95s,threeBet,0.16
94s,call,0.8843
94s,threeBet,0.1157
93s,call,1.0
92s,call,0.9243
92s,threeBet,0.0757
A8o,call,1.0
K8o,call,1.0
Q8o,call,0.7946
Q8o,threeBet,0.2054
J8o,call,0.7445
J8o,threeBet,0.2555
T8o,call,0.78
T8o,threeBet,0.22
98o,call,0.8602
98o,threeBet,0.1398
87s,call,1.0
86s,call,1.0
85s,call,1.0
84s,call,1.0
A7o,call,0.9402
A7o,threeBet,0.0598
K7o,call,0.9601
K7o,threeBet,0.0399
Q7o,call,0.415
Q7o,fold,0.585
J7o,call,0.3791
J7o,fold,0.3853
J7o,threeBet,0.2356
T7o,call,0.7285
T7o,fold,0.026
T7o,threeBet,0.2455
97o,call,0.7301
97o,fold,0.1799
97o,threeBet,0.09
87o,call,0.9201
87o,fold,0.02
87o,threeBet,0.0599
76s,call,1.0
75s,call,1.0
74s,call,1.0
73s,call,0.5949
73s,threeBet,0.4051
A6o,call,0.7445
A6o,threeBet,0.2555
K6o,call,0.7445
K6o,threeBet,0.2555
Q6o,call,0.3893
Q6o,fold,0.3153
Q6o,threeBet,0.2954
76o,call,0.6
76o,fold,0.4
65s,call,1.0
64s,call,1.0
63s,call,1.0
62s,call,0.515
62s,fold,0.485
A5o,call,0.8644
A5o,threeBet,0.1356
K5o,call,0.6246
K5o,threeBet,0.3754
Q5o,fold,0.8602
Q5o,threeBet,0.1398
65o,call,0.2854
65o,fold,0.7146
54s,call,1.0
53s,call,1.0
52s,call,1.0
A4o,call,0.83
A4o,threeBet,0.17
K4o,call,0.6747
K4o,fold,0.0359
K4o,threeBet,0.2894
54o,call,0.2754
54o,fold,0.7246
43s,call,1.0
42s,call,1.0
A3o,call,0.8145
A3o,threeBet,0.1855
K3o,fold,0.9443
K3o,threeBet,0.0557
32s,call,1.0
A2o,call,0.5949
A2o,threeBet,0.4051
