# poker.academy CE-Symmetric — 70bb vsopen | hero BB vs MP
# Scraped 2026-06-01 via scrape_all_ranges.py
# TreeParams: poker.academy CE-Symmetric Regular @ 70bb (GTO ChipEV, 1bb ante)
notation,action,freq
22,call,1.0
33,call,1.0
44,call,1.0
55,call,1.0
66,call,1.0
77,call,1.0
88,call,1.0
99,call,1.0
AA,threeBet,1.0
AKs,threeBet,1.0
AQs,call,0.7621
AQs,threeBet,0.2379
AJs,call,1.0
ATs,call,0.5641
ATs,threeBet,0.4359
A9s,call,0.3279
A9s,threeBet,0.6721
A8s,call,0.7561
A8s,threeBet,0.2439
A7s,call,0.9082
A7s,threeBet,0.0918
A6s,call,0.9562
A6s,threeBet,0.0438
A5s,call,0.4899
A5s,threeBet,0.5101
A4s,call,0.6701
A4s,threeBet,0.3299
A3s,call,0.8101
A3s,threeBet,0.1899
A2s,call,0.8881
A2s,threeBet,0.1119
AKo,call,0.31
AKo,threeBet,0.69
KK,threeBet,1.0
KQs,call,0.658
KQs,threeBet,0.342
KJs,call,0.22
KJs,threeBet,0.78
KTs,call,0.176
KTs,threeBet,0.824
K9s,call,0.9481
K9s,threeBet,0.0519
K8s,call,1.0
K7s,call,1.0
K6s,call,0.61
K6s,threeBet,0.39
K5s,call,1.0
K4s,call,1.0
K3s,call,1.0
K2s,call,1.0
AQo,call,0.878
AQo,threeBet,0.122
KQo,call,1.0
QQ,threeBet,1.0
QJs,threeBet,1.0
QTs,call,0.61
QTs,threeBet,0.39
Q9s,call,1.0
Q8s,call,1.0
Q7s,call,1.0
Q6s,call,1.0
Q5s,call,1.0
Q4s,call,1.0
Q3s,call,1.0
Q2s,call,1.0
AJo,call,1.0
KJo,call,1.0
QJo,call,1.0
JJ,call,0.566
JJ,threeBet,0.434
JTs,call,0.6921
JTs,threeBet,0.3079
J9s,call,0.6541
J9s,threeBet,0.3459
J8s,call,1.0
J7s,call,1.0
J6s,call,1.0
J5s,call,1.0
J4s,call,1.0
J3s,call,1.0
J2s,call,1.0
ATo,call,0.77
ATo,threeBet,0.23
KTo,call,1.0
QTo,call,1.0
JTo,call,1.0
TT,call,0.9441
TT,threeBet,0.0559
T9s,call,0.562
T9s,threeBet,0.438
T8s,call,0.7941
T8s,threeBet,0.2059
T7s,call,1.0
T6s,call,1.0
T5s,call,1.0
T4s,call,1.0
T3s,call,1.0
T2s,call,1.0
A9o,call,1.0
K9o,call,1.0
Q9o,call,1.0
J9o,call,1.0
T9o,call,1.0
98s,call,0.9001
98s,threeBet,0.0999
97s,call,1.0
96s,call,1.0
95s,call,1.0
94s,call,1.0
93s,call,1.0
92s,call,1.0
A8o,call,1.0
K8o,call,1.0
Q8o,call,1.0
J8o,call,1.0
T8o,call,1.0
98o,call,1.0
87s,call,0.5439
87s,threeBet,0.4561
86s,call,0.9302
86s,threeBet,0.0698
85s,call,1.0
84s,call,1.0
83s,call,1.0
82s,call,1.0
A7o,call,1.0
K7o,call,1.0
Q7o,call,0.074
Q7o,fold,0.926
97o,call,1.0
87o,call,1.0
76s,call,0.39
76s,threeBet,0.61
75s,call,1.0
74s,call,1.0
73s,call,1.0
72s,call,1.0
A6o,call,1.0
K6o,call,1.0
Q6o,call,0.8741
Q6o,fold,0.1259
86o,call,0.8481
86o,fold,0.1519
76o,call,1.0
65s,call,0.6181
65s,threeBet,0.3819
64s,call,1.0
63s,call,1.0
62s,call,1.0
A5o,call,1.0
K5o,call,1.0
75o,call,0.3559
75o,fold,0.6441
65o,call,1.0
54s,call,0.4721
54s,threeBet,0.5279
53s,call,1.0
52s,call,1.0
A4o,call,1.0
64o,call,0.236
64o,fold,0.764
54o,call,1.0
43s,call,1.0
42s,call,1.0
A3o,call,1.0
53o,call,0.534
53o,fold,0.466
32s,call,1.0
A2o,call,1.0
