# poker.academy CE-Symmetric — 70bb vs3bet | hero BTN vs SB
# Scraped 2026-06-01 via scrape_all_ranges.py
# TreeParams: poker.academy CE-Symmetric Regular @ 70bb (GTO ChipEV, 1bb ante)
notation,action,freq
22,call,0.8581
22,jam,0.1419
33,call,0.8762
33,jam,0.1238
44,call,1.0
55,call,1.0
66,call,1.0
77,call,1.0
88,call,0.694
88,threeBet,0.306
99,call,1.0
AA,call,1.0
AKs,threeBet,1.0
AQs,call,1.0
AJs,call,1.0
ATs,call,1.0
A9s,call,1.0
A8s,call,1.0
A7s,call,1.0
A6s,call,1.0
A5s,call,1.0
A4s,call,0.9701
A4s,jam,0.0299
A3s,call,1.0
A2s,call,1.0
AKo,jam,0.2339
AKo,threeBet,0.7661
KK,threeBet,1.0
KQs,call,1.0
KJs,call,1.0
KTs,call,1.0
K9s,call,1.0
K8s,call,1.0
K7s,call,1.0
K6s,call,1.0
K5s,call,1.0
K4s,call,1.0
K3s,call,1.0
K2s,call,0.51
K2s,fold,0.222
K2s,threeBet,0.268
AQo,call,0.7582
AQo,jam,0.1259
AQo,threeBet,0.1159
KQo,call,1.0
QQ,threeBet,1.0
QJs,call,1.0
QTs,call,1.0
Q9s,call,1.0
Q8s,call,1.0
Q7s,call,0.878
Q7s,fold,0.122
Q6s,call,0.642
Q6s,fold,0.358
Q5s,call,0.4401
Q5s,fold,0.5599
AJo,call,1.0
KJo,call,0.9501
KJo,jam,0.0499
QJo,call,0.8541
QJo,threeBet,0.1459
JJ,call,0.7661
JJ,threeBet,0.2339
JTs,call,1.0
J9s,call,1.0
J8s,call,1.0
J7s,call,0.2119
J7s,fold,0.7881
ATo,call,1.0
KTo,call,0.7241
KTo,threeBet,0.2759
QTo,call,0.7961
QTo,fold,0.09
QTo,threeBet,0.1139
JTo,call,0.466
JTo,fold,0.534
TT,call,0.1999
TT,jam,0.6341
TT,threeBet,0.166
T9s,call,1.0
T8s,call,1.0
T7s,call,1.0
A9o,call,0.61
A9o,threeBet,0.39
98s,call,1.0
97s,call,1.0
96s,call,0.9001
96s,fold,0.0999
A8o,call,0.0939
A8o,fold,0.6821
A8o,threeBet,0.224
87s,call,1.0
86s,call,1.0
A7o,fold,0.9921
A7o,threeBet,0.0079
76s,call,1.0
75s,call,1.0
65s,call,1.0
64s,call,1.0
A5o,fold,0.9221
A5o,threeBet,0.0779
54s,call,1.0
53s,call,1.0
