# poker.academy CE-Symmetric — 70bb vsopen | hero BTN vs HJ
# Scraped 2026-06-01 via scrape_all_ranges.py
# TreeParams: poker.academy CE-Symmetric Regular @ 70bb (GTO ChipEV, 1bb ante)
notation,action,freq
22,call,1.0
33,call,1.0
44,call,1.0
55,call,0.9242
55,threeBet,0.0758
66,call,0.7361
66,threeBet,0.2639
77,call,0.662
77,threeBet,0.338
88,call,0.6341
88,threeBet,0.3659
99,call,0.604
99,threeBet,0.396
AA,threeBet,1.0
AKs,threeBet,1.0
AQs,threeBet,1.0
AJs,call,0.336
AJs,threeBet,0.664
ATs,call,0.8602
ATs,threeBet,0.1398
A9s,call,0.8541
A9s,threeBet,0.1459
A8s,call,0.482
A8s,threeBet,0.518
A7s,call,0.418
A7s,threeBet,0.582
A6s,call,0.2379
A6s,threeBet,0.7621
A5s,call,0.3619
A5s,threeBet,0.6381
A4s,call,0.626
A4s,threeBet,0.374
A3s,call,0.9281
A3s,threeBet,0.0719
A2s,call,0.7181
A2s,threeBet,0.2819
AKo,threeBet,1.0
KK,threeBet,1.0
KQs,call,0.3979
KQs,threeBet,0.6021
KJs,call,0.7
KJs,threeBet,0.3
KTs,call,0.63
KTs,threeBet,0.37
K9s,call,0.214
K9s,threeBet,0.786
K8s,call,0.3879
K8s,threeBet,0.6121
K7s,call,0.604
K7s,threeBet,0.396
K6s,call,0.566
K6s,threeBet,0.434
K5s,call,0.658
K5s,threeBet,0.342
AQo,call,0.694
AQo,threeBet,0.306
KQo,call,0.568
KQo,threeBet,0.432
QQ,threeBet,1.0
QJs,call,1.0
QTs,call,0.8762
QTs,threeBet,0.1238
Q9s,call,0.8521
Q9s,threeBet,0.1479
Q8s,call,0.0179
Q8s,fold,0.9821
AJo,call,0.444
AJo,threeBet,0.556
KJo,call,0.652
KJo,threeBet,0.348
QJo,call,0.484
QJo,fold,0.0499
QJo,threeBet,0.4661
JJ,call,0.064
JJ,threeBet,0.936
JTs,call,0.9281
JTs,threeBet,0.0719
J9s,call,0.4679
J9s,threeBet,0.5321
J8s,call,0.306
J8s,threeBet,0.694
ATo,call,0.61
ATo,threeBet,0.39
KTo,call,0.3879
KTo,threeBet,0.6121
JTo,fold,0.664
JTo,threeBet,0.336
TT,call,0.4579
TT,threeBet,0.5421
T9s,call,0.68
T9s,threeBet,0.32
T8s,call,0.5861
T8s,threeBet,0.4139
A9o,fold,0.668
A9o,threeBet,0.332
98s,call,0.92
98s,threeBet,0.08
97s,call,0.448
97s,fold,0.552
87s,call,0.878
87s,threeBet,0.122
76s,call,0.652
76s,threeBet,0.348
65s,call,0.5261
65s,fold,0.326
65s,threeBet,0.1479
54s,call,0.616
54s,fold,0.336
54s,threeBet,0.048
