# poker.academy CE-Symmetric — 70bb vs3bet | hero CO vs BTN
# Scraped 2026-06-01 via scrape_all_ranges.py
# TreeParams: poker.academy CE-Symmetric Regular @ 70bb (GTO ChipEV, 1bb ante)
notation,action,freq
22,call,1.0
33,call,1.0
44,call,1.0
55,call,1.0
66,call,1.0
77,call,0.8801
77,threeBet,0.1199
88,call,0.8762
88,threeBet,0.1238
99,call,0.7561
99,threeBet,0.2439
AA,threeBet,1.0
AKs,threeBet,1.0
AQs,threeBet,1.0
AJs,call,1.0
ATs,call,1.0
A9s,call,1.0
A8s,call,1.0
A7s,call,1.0
A6s,call,1.0
A5s,call,1.0
A4s,call,0.562
A4s,jam,0.438
A3s,call,1.0
A2s,call,0.3961
A2s,threeBet,0.6039
AKo,jam,0.2119
AKo,threeBet,0.7881
KK,threeBet,1.0
KQs,call,1.0
KJs,call,1.0
KTs,call,1.0
K9s,call,1.0
K8s,call,1.0
K7s,call,0.598
K7s,threeBet,0.402
K6s,call,1.0
K5s,call,0.9541
K5s,threeBet,0.0459
K4s,call,0.524
K4s,fold,0.0519
K4s,threeBet,0.4241
AQo,call,0.8205
AQo,jam,0.0879
AQo,threeBet,0.0916
KQo,call,0.862
KQo,threeBet,0.138
QQ,threeBet,1.0
QJs,call,1.0
QTs,call,1.0
Q9s,call,1.0
Q8s,call,0.744
Q8s,threeBet,0.256
Q6s,call,0.1839
Q6s,fold,0.8161
AJo,call,0.61
AJo,threeBet,0.39
KJo,call,0.846
KJo,threeBet,0.154
QJo,call,0.3861
QJo,fold,0.398
QJo,threeBet,0.2159
JJ,threeBet,1.0
JTs,call,1.0
J9s,call,1.0
J8s,call,0.7
J8s,fold,0.3
ATo,call,0.7841
ATo,threeBet,0.2159
KTo,call,0.244
KTo,fold,0.5081
KTo,threeBet,0.2479
QTo,call,0.1001
QTo,fold,0.8999
TT,call,0.2015
TT,jam,0.4152
TT,threeBet,0.3833
T9s,call,1.0
T8s,call,1.0
A9o,fold,0.4081
A9o,threeBet,0.5919
98s,call,1.0
97s,call,1.0
87s,call,1.0
86s,call,1.0
76s,call,1.0
65s,call,1.0
A5o,fold,0.8175
A5o,threeBet,0.1825
54s,call,1.0
