# poker.academy CE-Symmetric — 70bb vsopen | hero CO vs EP
# Scraped 2026-06-01 via scrape_all_ranges.py
# TreeParams: poker.academy CE-Symmetric Regular @ 70bb (GTO ChipEV, 1bb ante)
notation,action,freq
22,call,0.9802
22,fold,0.0198
33,call,0.818
33,fold,0.182
44,call,0.764
44,fold,0.236
55,call,0.9341
55,fold,0.0559
55,threeBet,0.01
66,call,0.898
66,threeBet,0.102
77,call,0.8581
77,threeBet,0.1419
88,call,0.7582
88,threeBet,0.2418
99,call,0.7081
99,threeBet,0.2919
AA,threeBet,1.0
AKs,threeBet,1.0
AQs,call,0.69
AQs,threeBet,0.31
AJs,call,1.0
ATs,call,0.412
ATs,threeBet,0.588
A9s,call,0.6861
A9s,threeBet,0.3139
A8s,call,0.5161
A8s,threeBet,0.4839
A7s,call,0.69
A7s,fold,0.144
A7s,threeBet,0.166
A6s,fold,0.9641
A6s,threeBet,0.0359
A5s,call,0.572
A5s,threeBet,0.428
A4s,call,0.63
A4s,threeBet,0.37
A3s,call,0.42
A3s,fold,0.3101
A3s,threeBet,0.2699
AKo,call,0.4419
AKo,threeBet,0.5581
KK,threeBet,1.0
KQs,call,1.0
KJs,call,0.71
KJs,threeBet,0.29
KTs,call,0.53
KTs,threeBet,0.47
K9s,call,0.2479
K9s,threeBet,0.7521
K8s,call,0.1839
K8s,fold,0.7623
K8s,threeBet,0.0538
K6s,call,0.0459
K6s,fold,0.8702
K6s,threeBet,0.0839
AQo,call,0.706
AQo,threeBet,0.294
KQo,call,0.5041
KQo,threeBet,0.4959
QQ,call,0.502
QQ,threeBet,0.498
QJs,call,0.61
QJs,threeBet,0.39
QTs,call,0.91
QTs,threeBet,0.09
AJo,call,0.3948
AJo,fold,0.1503
AJo,threeBet,0.4549
JJ,call,0.598
JJ,threeBet,0.402
JTs,call,0.872
JTs,threeBet,0.128
J9s,call,0.5541
J9s,fold,0.2639
J9s,threeBet,0.182
TT,call,0.552
TT,threeBet,0.448
T9s,call,0.8481
T9s,threeBet,0.1519
T8s,call,0.3601
T8s,fold,0.6399
98s,call,0.4359
98s,fold,0.5641
87s,call,0.182
87s,fold,0.728
87s,threeBet,0.09
76s,call,0.4
76s,fold,0.462
76s,threeBet,0.138
65s,call,0.3921
65s,fold,0.4799
65s,threeBet,0.128
54s,call,0.3701
54s,fold,0.398
54s,threeBet,0.2319
