# poker.academy CE-Symmetric — 70bb vs3bet | hero HJ vs CO
# Scraped 2026-06-01 via scrape_all_ranges.py
# TreeParams: poker.academy CE-Symmetric Regular @ 70bb (GTO ChipEV, 1bb ante)
notation,action,freq
22,call,1.0
33,call,1.0
44,call,1.0
55,call,1.0
66,call,1.0
77,call,1.0
88,call,0.9801
88,threeBet,0.0199
99,call,1.0
AA,threeBet,1.0
AKs,threeBet,1.0
AQs,call,1.0
AJs,call,1.0
ATs,call,1.0
A9s,call,1.0
A8s,call,0.914
A8s,threeBet,0.086
A7s,call,0.684
A7s,threeBet,0.316
A6s,call,0.9281
A6s,threeBet,0.0719
A5s,call,1.0
A4s,call,0.544
A4s,jam,0.3421
A4s,threeBet,0.1139
A3s,call,0.62
A3s,threeBet,0.38
A2s,fold,0.512
A2s,threeBet,0.488
AKo,jam,0.2339
AKo,threeBet,0.7661
KK,threeBet,1.0
KQs,call,1.0
KJs,call,1.0
KTs,call,1.0
K9s,call,0.7881
K9s,threeBet,0.2119
K8s,call,0.466
K8s,threeBet,0.534
K7s,call,0.032
K7s,fold,0.968
K6s,call,1.0
K5s,call,0.1356
K5s,fold,0.8505
K5s,threeBet,0.0139
AQo,call,0.7501
AQo,threeBet,0.2499
KQo,call,0.9001
KQo,threeBet,0.0999
QQ,threeBet,1.0
QJs,call,1.0
QTs,call,1.0
Q9s,call,1.0
AJo,call,0.7041
AJo,threeBet,0.2959
KJo,fold,0.572
KJo,threeBet,0.428
JJ,call,0.1999
JJ,jam,0.338
JJ,threeBet,0.4621
JTs,call,1.0
J9s,call,0.9601
J9s,threeBet,0.0399
ATo,fold,0.744
ATo,threeBet,0.256
TT,call,0.562
TT,threeBet,0.438
T9s,call,1.0
T8s,call,1.0
98s,call,1.0
97s,call,0.2752
97s,fold,0.7248
87s,call,1.0
76s,call,1.0
65s,call,1.0
54s,call,1.0
