# poker.academy CE-Symmetric — 70bb vsopen | hero HJ vs LJ
# Scraped 2026-06-01 via scrape_all_ranges.py
# TreeParams: poker.academy CE-Symmetric Regular @ 70bb (GTO ChipEV, 1bb ante)
notation,action,freq
22,call,0.218
22,fold,0.782
33,call,0.1899
33,fold,0.8101
44,call,0.2258
44,fold,0.7742
55,call,0.322
55,fold,0.678
66,call,0.552
66,threeBet,0.448
77,call,0.524
77,threeBet,0.476
88,call,0.4359
88,threeBet,0.5641
99,call,0.4241
99,threeBet,0.5759
AA,threeBet,1.0
AKs,threeBet,1.0
AQs,call,0.182
AQs,threeBet,0.818
AJs,call,0.582
AJs,threeBet,0.418
ATs,call,0.5481
ATs,threeBet,0.4519
A9s,call,0.274
A9s,threeBet,0.726
A8s,call,0.2479
A8s,threeBet,0.7521
A7s,call,0.1939
A7s,fold,0.2361
A7s,threeBet,0.57
A6s,fold,0.926
A6s,threeBet,0.074
A5s,call,0.374
A5s,threeBet,0.626
A4s,call,0.3581
A4s,fold,0.528
A4s,threeBet,0.1139
AKo,call,0.0758
AKo,threeBet,0.9242
KK,threeBet,1.0
KQs,call,0.8161
KQs,threeBet,0.1839
KJs,call,0.8161
KJs,threeBet,0.1839
KTs,call,0.4039
KTs,threeBet,0.5961
K9s,call,0.0218
K9s,threeBet,0.9782
AQo,call,0.412
AQo,threeBet,0.588
KQo,call,0.186
KQo,threeBet,0.814
QQ,call,0.0218
QQ,threeBet,0.9782
QJs,call,0.2159
QJs,threeBet,0.7841
QTs,call,0.4839
QTs,threeBet,0.5161
AJo,call,0.2859
AJo,threeBet,0.7141
KJo,fold,0.63
KJo,threeBet,0.37
JJ,call,0.37
JJ,threeBet,0.63
JTs,call,0.4359
JTs,threeBet,0.5641
J9s,fold,0.9121
J9s,threeBet,0.0879
ATo,fold,0.754
ATo,threeBet,0.246
TT,call,0.4419
TT,threeBet,0.5581
T9s,call,0.388
T9s,fold,0.5721
T9s,threeBet,0.0399
