# poker.academy CE-Symmetric — 70bb vsopen | hero SB vs MP
# Scraped 2026-06-01 via scrape_all_ranges.py
# TreeParams: poker.academy CE-Symmetric Regular @ 70bb (GTO ChipEV, 1bb ante)
notation,action,freq
22,call,1.0
33,call,1.0
44,call,1.0
55,call,1.0
66,call,1.0
77,call,1.0
88,call,0.9321
88,threeBet,0.0679
99,call,0.8221
99,threeBet,0.1779
AA,threeBet,1.0
AKs,threeBet,1.0
AQs,call,0.182
AQs,threeBet,0.818
AJs,call,0.0139
AJs,threeBet,0.9861
ATs,threeBet,1.0
A9s,call,0.5741
A9s,threeBet,0.4259
A8s,call,0.888
A8s,threeBet,0.112
A7s,call,1.0
A6s,call,0.9321
A6s,threeBet,0.0679
A5s,call,0.476
A5s,threeBet,0.524
A4s,call,0.7301
A4s,threeBet,0.2699
A3s,call,1.0
A2s,call,1.0
AKo,call,0.134
AKo,threeBet,0.866
KK,threeBet,1.0
KQs,threeBet,1.0
KJs,threeBet,1.0
KTs,threeBet,1.0
K9s,call,0.732
K9s,threeBet,0.268
K8s,call,1.0
K7s,call,0.6861
K7s,fold,0.3139
K6s,call,0.85
K6s,threeBet,0.15
K5s,call,0.6061
K5s,fold,0.3939
AQo,call,0.4099
AQo,threeBet,0.5901
KQo,call,1.0
QQ,threeBet,1.0
QJs,threeBet,1.0
QTs,call,0.8421
QTs,threeBet,0.1579
Q9s,call,1.0
Q8s,call,0.642
Q8s,fold,0.358
AJo,call,1.0
KJo,call,0.9641
KJo,fold,0.0359
QJo,call,0.368
QJo,fold,0.632
JJ,call,0.17
JJ,threeBet,0.83
JTs,call,0.7361
JTs,threeBet,0.2639
J9s,call,0.7941
J9s,threeBet,0.2059
J8s,call,0.3761
J8s,fold,0.6239
ATo,call,0.984
ATo,threeBet,0.016
KTo,call,0.188
KTo,fold,0.812
QTo,call,0.0278
QTo,fold,0.9722
TT,call,0.406
TT,threeBet,0.594
T9s,call,0.5741
T9s,threeBet,0.4259
T8s,call,0.904
T8s,threeBet,0.096
98s,call,0.878
98s,threeBet,0.122
97s,call,0.5101
97s,fold,0.4899
87s,call,0.5581
87s,threeBet,0.4419
86s,call,0.2098
86s,fold,0.7902
76s,call,0.53
76s,threeBet,0.47
65s,call,0.664
65s,threeBet,0.336
54s,call,0.862
54s,threeBet,0.138
