# poker.academy CE-Symmetric — 80bb vsopen | hero BB vs SB
# Scraped 2026-06-01 via scrape_all_ranges.py
# TreeParams: poker.academy CE-Symmetric Regular @ 80bb (GTO ChipEV, 1bb ante)
notation,action,freq
22,call,1.0
33,call,1.0
44,call,1.0
55,call,1.0
66,call,0.8751
66,threeBet,0.1249
77,call,0.9451
77,threeBet,0.0549
88,call,0.91
88,threeBet,0.09
99,call,0.5801
99,threeBet,0.4199
AA,threeBet,1.0
AKs,threeBet,1.0
AQs,threeBet,1.0
AJs,threeBet,1.0
ATs,threeBet,1.0
A9s,call,0.5901
A9s,threeBet,0.4099
A8s,call,1.0
A7s,call,1.0
A6s,call,1.0
A5s,call,0.525
A5s,threeBet,0.475
A4s,call,0.9751
A4s,threeBet,0.0249
A3s,call,1.0
A2s,call,0.7401
A2s,threeBet,0.2599
AKo,threeBet,1.0
KK,threeBet,1.0
KQs,threeBet,1.0
KJs,threeBet,1.0
KTs,threeBet,1.0
K9s,call,1.0
K8s,call,1.0
K7s,call,1.0
K6s,call,0.9302
K6s,threeBet,0.0698
K5s,call,1.0
K4s,call,0.845
K4s,threeBet,0.155
K3s,call,0.985
K3s,threeBet,0.015
K2s,call,1.0
AQo,call,0.3449
AQo,threeBet,0.6551
KQo,call,0.835
KQo,threeBet,0.165
QQ,threeBet,1.0
QJs,call,1.0
QTs,call,0.9302
QTs,threeBet,0.0698
Q9s,call,1.0
Q8s,call,1.0
Q7s,call,1.0
Q6s,call,1.0
Q5s,call,1.0
Q4s,call,1.0
Q3s,call,1.0
Q2s,call,1.0
AJo,call,0.8201
AJo,threeBet,0.1799
KJo,call,0.9701
KJo,threeBet,0.0299
QJo,call,0.76
QJo,threeBet,0.24
JJ,threeBet,1.0
JTs,call,0.605
JTs,threeBet,0.395
J9s,call,1.0
J8s,call,1.0
J7s,call,1.0
J6s,call,1.0
J5s,call,1.0
J4s,call,1.0
J3s,call,1.0
J2s,call,1.0
ATo,call,1.0
KTo,call,1.0
QTo,call,0.9001
QTo,threeBet,0.0999
JTo,call,1.0
TT,threeBet,1.0
T9s,call,0.46
T9s,threeBet,0.54
T8s,call,0.99
T8s,threeBet,0.01
T7s,call,1.0
T6s,call,1.0
T5s,call,0.78
T5s,threeBet,0.22
T4s,call,0.77
T4s,threeBet,0.23
T3s,call,0.99
T3s,threeBet,0.01
T2s,call,0.845
T2s,threeBet,0.155
A9o,call,0.7251
A9o,threeBet,0.2749
K9o,call,0.8851
K9o,threeBet,0.1149
Q9o,call,0.9302
Q9o,threeBet,0.0698
J9o,call,0.9001
J9o,threeBet,0.0999
T9o,call,1.0
98s,call,0.6651
98s,threeBet,0.3349
97s,call,1.0
96s,call,1.0
95s,call,1.0
94s,call,0.68
94s,threeBet,0.32
93s,call,0.685
93s,threeBet,0.315
92s,call,0.815
92s,threeBet,0.185
A8o,call,0.9651
A8o,threeBet,0.0349
K8o,call,0.9352
K8o,threeBet,0.0648
Q8o,call,0.8951
Q8o,threeBet,0.1049
J8o,call,0.545
J8o,threeBet,0.455
T8o,call,0.7351
T8o,threeBet,0.2649
98o,call,1.0
87s,call,0.39
87s,threeBet,0.61
86s,call,0.3349
86s,threeBet,0.6651
85s,call,1.0
84s,call,1.0
83s,call,1.0
82s,call,0.9
82s,threeBet,0.1
A7o,call,1.0
K7o,call,0.8951
K7o,threeBet,0.1049
Q7o,call,1.0
J7o,call,0.6451
J7o,threeBet,0.3549
T7o,call,0.7251
T7o,threeBet,0.2749
97o,call,0.7951
97o,threeBet,0.2049
87o,call,1.0
76s,call,0.2049
76s,threeBet,0.7951
75s,call,1.0
74s,call,1.0
73s,call,1.0
A6o,call,0.8101
A6o,threeBet,0.1899
K6o,call,0.8951
K6o,threeBet,0.1049
Q6o,call,0.7451
Q6o,threeBet,0.2549
T6o,call,0.1199
T6o,fold,0.42
T6o,threeBet,0.4601
96o,call,0.4301
96o,fold,0.375
96o,threeBet,0.1949
86o,call,1.0
76o,call,1.0
65s,call,0.4301
65s,threeBet,0.5699
64s,call,1.0
63s,call,1.0
62s,call,1.0
A5o,call,1.0
K5o,call,0.6501
K5o,threeBet,0.3499
Q5o,call,0.6152
Q5o,fold,0.1049
Q5o,threeBet,0.2799
J5o,fold,0.9601
J5o,threeBet,0.0399
75o,call,0.2049
75o,fold,0.7951
65o,call,1.0
54s,call,0.24
54s,threeBet,0.76
53s,call,1.0
52s,call,1.0
A4o,call,1.0
K4o,call,0.8101
K4o,threeBet,0.1899
54o,call,1.0
43s,call,1.0
42s,call,1.0
A3o,call,0.85
A3o,threeBet,0.15
K3o,call,0.6501
K3o,threeBet,0.3499
53o,call,0.48
53o,fold,0.52
32s,call,1.0
A2o,call,0.605
A2o,threeBet,0.395
