# poker.academy CE-Symmetric — 80bb vsopen | hero BB vs BTN
# Scraped 2026-06-01 via scrape_all_ranges.py
# TreeParams: poker.academy CE-Symmetric Regular @ 80bb (GTO ChipEV, 1bb ante)
notation,action,freq
22,call,1.0
33,call,1.0
44,call,1.0
55,call,1.0
66,call,0.785
66,threeBet,0.215
77,call,0.9302
77,threeBet,0.0698
88,call,0.5649
88,threeBet,0.4351
99,call,0.0449
99,threeBet,0.9551
AA,threeBet,1.0
AKs,threeBet,1.0
AQs,threeBet,1.0
AJs,threeBet,1.0
ATs,threeBet,1.0
A9s,call,1.0
A8s,call,1.0
A7s,call,1.0
A6s,call,1.0
A5s,threeBet,1.0
A4s,call,0.1199
A4s,threeBet,0.8801
A3s,call,1.0
A2s,call,1.0
AKo,threeBet,1.0
KK,threeBet,1.0
KQs,threeBet,1.0
KJs,threeBet,1.0
KTs,call,0.1049
KTs,threeBet,0.8951
K9s,call,1.0
K8s,call,1.0
K7s,call,1.0
K6s,call,0.5649
K6s,threeBet,0.4351
K5s,call,0.775
K5s,threeBet,0.225
K4s,call,1.0
K3s,call,1.0
K2s,call,1.0
AQo,threeBet,1.0
KQo,call,0.305
KQo,threeBet,0.695
QQ,threeBet,1.0
QJs,call,0.4899
QJs,threeBet,0.5101
QTs,call,0.9651
QTs,threeBet,0.0349
Q9s,call,1.0
Q8s,call,0.8701
Q8s,threeBet,0.1299
Q7s,call,1.0
Q6s,call,0.6349
Q6s,threeBet,0.3651
Q5s,call,0.855
Q5s,threeBet,0.145
Q4s,call,1.0
Q3s,call,1.0
Q2s,call,1.0
AJo,call,0.4099
AJo,threeBet,0.5901
KJo,call,0.6
KJo,threeBet,0.4
QJo,call,0.7201
QJo,threeBet,0.2799
JJ,threeBet,1.0
JTs,call,0.525
JTs,threeBet,0.475
J9s,call,0.46
J9s,threeBet,0.54
J8s,call,0.1949
J8s,threeBet,0.8051
J7s,call,0.7501
J7s,threeBet,0.2499
J6s,call,1.0
J5s,call,0.8851
J5s,threeBet,0.1149
J4s,call,1.0
J3s,call,1.0
J2s,call,1.0
ATo,call,0.63
ATo,threeBet,0.37
KTo,call,0.775
KTo,threeBet,0.225
QTo,call,0.7451
QTo,threeBet,0.2549
JTo,call,1.0
TT,threeBet,1.0
T9s,threeBet,1.0
T8s,threeBet,1.0
T7s,call,0.61
T7s,threeBet,0.39
T6s,call,0.155
T6s,threeBet,0.845
T5s,call,1.0
T4s,call,1.0
T3s,call,1.0
T2s,call,1.0
A9o,call,1.0
K9o,call,0.9651
K9o,threeBet,0.0349
Q9o,call,0.92
Q9o,threeBet,0.08
J9o,call,0.91
J9o,threeBet,0.09
T9o,call,1.0
98s,threeBet,1.0
97s,call,0.3499
97s,threeBet,0.6501
96s,call,0.1949
96s,threeBet,0.8051
95s,call,1.0
94s,call,1.0
93s,call,1.0
92s,call,1.0
A8o,call,1.0
K8o,call,1.0
Q8o,call,1.0
J8o,call,1.0
T8o,call,1.0
98o,call,1.0
87s,threeBet,1.0
86s,threeBet,1.0
85s,call,0.9001
85s,threeBet,0.0999
84s,call,1.0
83s,call,1.0
82s,call,1.0
A7o,call,0.855
A7o,threeBet,0.145
K7o,call,0.5751
K7o,threeBet,0.4249
Q7o,call,1.0
J7o,call,1.0
T7o,call,1.0
97o,call,1.0
87o,call,1.0
76s,threeBet,1.0
75s,call,0.8701
75s,threeBet,0.1299
74s,call,1.0
73s,call,1.0
72s,call,1.0
A6o,call,0.9451
A6o,threeBet,0.0549
K6o,call,0.8652
K6o,threeBet,0.1348
Q6o,call,1.0
J6o,call,1.0
T6o,call,1.0
96o,call,1.0
86o,call,1.0
76o,call,1.0
65s,threeBet,1.0
64s,call,1.0
63s,call,1.0
62s,call,1.0
A5o,call,0.905
A5o,threeBet,0.095
K5o,call,0.8751
K5o,threeBet,0.1249
Q5o,call,1.0
J5o,call,0.785
J5o,fold,0.215
75o,call,1.0
65o,call,1.0
54s,threeBet,1.0
53s,call,1.0
52s,call,1.0
A4o,call,1.0
K4o,call,1.0
Q4o,call,1.0
64o,call,1.0
54o,call,1.0
43s,call,1.0
42s,call,1.0
A3o,call,1.0
K3o,call,1.0
Q3o,call,1.0
53o,call,1.0
32s,call,1.0
A2o,call,1.0
K2o,call,1.0
