# poker.academy CE-Symmetric — 80bb vs3bet | hero BTN vs BB
# Scraped 2026-06-01 via scrape_all_ranges.py
# TreeParams: poker.academy CE-Symmetric Regular @ 80bb (GTO ChipEV, 1bb ante)
notation,action,freq
22,call,1.0
33,call,1.0
44,call,1.0
55,call,0.985
55,threeBet,0.015
66,call,0.9751
66,threeBet,0.0249
77,call,0.9551
77,threeBet,0.0449
88,call,0.99
88,threeBet,0.01
99,call,0.9651
99,threeBet,0.0349
AA,call,0.605
AA,threeBet,0.395
AKs,threeBet,1.0
AQs,call,1.0
AJs,call,1.0
ATs,call,1.0
A9s,call,1.0
A8s,call,1.0
A7s,call,1.0
A6s,call,1.0
A5s,call,1.0
A4s,call,1.0
A3s,call,1.0
A2s,call,1.0
AKo,jam,1.0
KK,call,0.525
KK,threeBet,0.475
KQs,call,1.0
KJs,call,1.0
KTs,call,1.0
K9s,call,1.0
K8s,call,1.0
K7s,call,1.0
K6s,call,1.0
K5s,call,1.0
K4s,call,0.915
K4s,threeBet,0.085
K3s,call,0.7251
K3s,threeBet,0.2749
K2s,call,0.8102
K2s,threeBet,0.1898
AQo,call,0.9701
AQo,threeBet,0.0299
KQo,call,1.0
QQ,call,0.7151
QQ,threeBet,0.2849
QJs,call,1.0
QTs,call,1.0
Q9s,call,1.0
Q8s,call,1.0
Q7s,call,1.0
Q6s,call,1.0
Q5s,call,1.0
Q4s,call,0.2937
Q4s,fold,0.6816
Q4s,threeBet,0.0247
AJo,call,0.8402
AJo,jam,0.1049
AJo,threeBet,0.0549
KJo,call,1.0
QJo,call,0.5076
QJo,jam,0.4373
QJo,threeBet,0.0551
JJ,call,0.305
JJ,jam,0.695
JTs,call,1.0
J9s,call,1.0
J8s,call,1.0
J7s,call,0.9501
J7s,threeBet,0.0499
ATo,call,0.8601
ATo,jam,0.085
ATo,threeBet,0.0549
KTo,call,0.9451
KTo,threeBet,0.0549
QTo,call,0.9352
QTo,threeBet,0.0648
JTo,call,0.9302
JTo,threeBet,0.0698
TT,call,0.8951
TT,threeBet,0.1049
T9s,call,1.0
T8s,call,1.0
T7s,call,1.0
T6s,call,0.4301
T6s,fold,0.5699
A9o,call,0.8502
A9o,fold,0.0449
A9o,threeBet,0.1049
T9o,call,0.0698
T9o,fold,0.9003
T9o,threeBet,0.0299
98s,call,1.0
97s,call,1.0
96s,call,1.0
A8o,call,0.0995
A8o,fold,0.8361
A8o,threeBet,0.0644
87s,call,1.0
86s,call,1.0
85s,call,0.6551
85s,fold,0.31
85s,threeBet,0.0349
76s,call,1.0
75s,call,1.0
65s,call,1.0
64s,call,1.0
A5o,fold,0.9352
A5o,threeBet,0.0648
54s,call,1.0
53s,call,1.0
43s,call,0.99
43s,threeBet,0.01
