# poker.academy CE-Symmetric — 80bb vsopen | hero HJ vs EP
# Scraped 2026-06-01 via scrape_all_ranges.py
# TreeParams: poker.academy CE-Symmetric Regular @ 80bb (GTO ChipEV, 1bb ante)
notation,action,freq
22,call,0.3999
22,fold,0.6001
33,call,0.22
33,fold,0.78
44,call,0.2499
44,fold,0.7501
55,call,0.3399
55,fold,0.6601
66,call,0.6182
66,fold,0.2613
66,threeBet,0.1205
77,call,0.6601
77,threeBet,0.3399
88,call,0.6451
88,threeBet,0.3549
99,call,0.6601
99,threeBet,0.3399
AA,threeBet,1.0
AKs,threeBet,1.0
AQs,call,0.475
AQs,threeBet,0.525
AJs,call,0.695
AJs,threeBet,0.305
ATs,call,0.22
ATs,threeBet,0.78
A9s,call,0.455
A9s,threeBet,0.545
A8s,call,0.4849
A8s,threeBet,0.5151
A6s,fold,0.8901
A6s,threeBet,0.1099
A5s,call,0.38
A5s,threeBet,0.62
A4s,call,0.4351
A4s,threeBet,0.5649
AKo,call,0.385
AKo,threeBet,0.615
KK,threeBet,1.0
KQs,call,0.7251
KQs,threeBet,0.2749
KJs,call,0.24
KJs,threeBet,0.76
KTs,call,0.52
KTs,threeBet,0.48
K9s,call,0.1399
K9s,fold,0.2799
K9s,threeBet,0.5802
AQo,call,0.4301
AQo,threeBet,0.5699
KQo,fold,0.68
KQo,threeBet,0.32
QQ,call,0.31
QQ,threeBet,0.69
QJs,call,0.31
QJs,threeBet,0.69
QTs,call,0.7451
QTs,threeBet,0.2549
AJo,fold,0.91
AJo,threeBet,0.09
JJ,call,0.4949
JJ,threeBet,0.5051
JTs,call,0.7451
JTs,threeBet,0.2549
TT,call,0.5
TT,threeBet,0.5
T9s,call,0.525
T9s,threeBet,0.475
98s,call,0.01
98s,fold,0.99
87s,call,0.075
87s,fold,0.8201
87s,threeBet,0.1049
76s,call,0.26
76s,fold,0.6702
76s,threeBet,0.0698
65s,call,0.245
65s,fold,0.515
65s,threeBet,0.24
54s,call,0.4351
54s,fold,0.38
54s,threeBet,0.1849
