# poker.academy CE-Symmetric — 80bb vsopen | hero LJ vs MP
# Scraped 2026-06-01 via scrape_all_ranges.py
# TreeParams: poker.academy CE-Symmetric Regular @ 80bb (GTO ChipEV, 1bb ante)
notation,action,freq
22,call,0.1099
22,fold,0.8901
33,call,0.0648
33,fold,0.9352
44,call,0.095
44,fold,0.905
55,call,0.1348
55,fold,0.8652
66,call,0.2749
66,fold,0.6052
66,threeBet,0.1199
77,call,0.3051
77,fold,0.41
77,threeBet,0.2849
88,call,0.47
88,threeBet,0.53
99,call,0.4401
99,threeBet,0.5599
AA,threeBet,1.0
AKs,threeBet,1.0
AQs,call,0.4199
AQs,threeBet,0.5801
AJs,call,0.4899
AJs,threeBet,0.5101
ATs,call,0.23
ATs,threeBet,0.77
A9s,call,0.1199
A9s,threeBet,0.8801
A8s,call,0.1249
A8s,fold,0.3101
A8s,threeBet,0.565
A7s,fold,0.99
A7s,threeBet,0.01
A6s,fold,0.92
A6s,threeBet,0.08
A5s,call,0.2499
A5s,threeBet,0.7501
A4s,call,0.1349
A4s,fold,0.5501
A4s,threeBet,0.315
AKo,call,0.2049
AKo,threeBet,0.7951
KK,threeBet,1.0
KQs,call,0.5101
KQs,threeBet,0.4899
KJs,call,0.1249
KJs,threeBet,0.8751
KTs,call,0.2599
KTs,threeBet,0.7401
K9s,fold,0.5649
K9s,threeBet,0.4351
AQo,call,0.17
AQo,threeBet,0.83
KQo,fold,0.695
KQo,threeBet,0.305
QQ,call,0.16
QQ,threeBet,0.84
QJs,call,0.1249
QJs,threeBet,0.8751
QTs,call,0.445
QTs,threeBet,0.555
JJ,call,0.3549
JJ,threeBet,0.6451
JTs,call,0.47
JTs,threeBet,0.53
TT,call,0.3601
TT,threeBet,0.6399
T9s,call,0.0501
T9s,fold,0.9499
87s,call,0.0199
87s,fold,0.9402
87s,threeBet,0.0399
76s,call,0.0696
76s,fold,0.8459
76s,threeBet,0.0845
65s,call,0.1049
65s,fold,0.7401
65s,threeBet,0.155
54s,call,0.215
54s,fold,0.7401
54s,threeBet,0.0449
