# poker.academy CE-Symmetric — 80bb vs3bet | hero MP vs BTN
# Scraped 2026-06-01 via scrape_all_ranges.py
# TreeParams: poker.academy CE-Symmetric Regular @ 80bb (GTO ChipEV, 1bb ante)
notation,action,freq
22,call,1.0
33,call,1.0
44,call,1.0
55,call,0.8602
55,fold,0.1398
66,call,1.0
77,call,0.9751
77,threeBet,0.0249
88,call,0.9451
88,threeBet,0.0549
99,call,0.92
99,threeBet,0.08
AA,threeBet,1.0
AKs,threeBet,1.0
AQs,call,1.0
AJs,call,1.0
ATs,call,0.705
ATs,threeBet,0.295
A9s,call,0.91
A9s,threeBet,0.09
A8s,call,0.578
A8s,fold,0.1858
A8s,threeBet,0.2362
A7s,fold,0.8101
A7s,threeBet,0.1899
A6s,call,0.4502
A6s,fold,0.3549
A6s,threeBet,0.1949
A5s,call,0.6701
A5s,threeBet,0.3299
A4s,call,0.7351
A4s,threeBet,0.2649
A3s,call,0.5902
A3s,fold,0.2099
A3s,threeBet,0.1999
AKo,call,0.18
AKo,jam,0.6851
AKo,threeBet,0.1349
KK,jam,0.22
KK,threeBet,0.78
KQs,call,1.0
KJs,call,0.5801
KJs,threeBet,0.4199
KTs,call,0.61
KTs,threeBet,0.39
K9s,call,0.8051
K9s,fold,0.0299
K9s,threeBet,0.165
K6s,call,1.0
AQo,call,0.5649
AQo,threeBet,0.4351
KQo,call,0.235
KQo,fold,0.6501
KQo,threeBet,0.1149
QQ,call,0.2786
QQ,jam,0.2736
QQ,threeBet,0.4478
QJs,call,0.9551
QJs,threeBet,0.0449
QTs,call,1.0
AJo,fold,0.99
AJo,threeBet,0.01
JJ,call,0.63
JJ,threeBet,0.37
JTs,call,0.9451
JTs,threeBet,0.0549
J9s,call,0.3449
J9s,fold,0.6551
TT,call,0.8001
TT,threeBet,0.1999
T9s,call,1.0
T8s,call,0.5151
T8s,fold,0.4849
98s,call,0.6451
98s,fold,0.3549
87s,call,1.0
76s,call,1.0
65s,call,1.0
54s,call,1.0
