# poker.academy CE-Symmetric — 80bb vsopen | hero MP vs EP
# Scraped 2026-06-01 via scrape_all_ranges.py
# TreeParams: poker.academy CE-Symmetric Regular @ 80bb (GTO ChipEV, 1bb ante)
notation,action,freq
22,call,0.0749
22,fold,0.9251
33,call,0.0399
33,fold,0.9601
44,call,0.0549
44,fold,0.9451
55,call,0.08
55,fold,0.92
66,call,0.175
66,fold,0.7602
66,threeBet,0.0648
77,call,0.1849
77,fold,0.6501
77,threeBet,0.165
88,call,0.3266
88,fold,0.3065
88,threeBet,0.3669
99,call,0.4301
99,threeBet,0.5699
AA,threeBet,1.0
AKs,threeBet,1.0
AQs,call,0.445
AQs,threeBet,0.555
AJs,call,0.325
AJs,threeBet,0.675
ATs,call,0.1849
ATs,threeBet,0.8151
A9s,fold,0.5649
A9s,threeBet,0.4351
A8s,call,0.0399
A8s,fold,0.6701
A8s,threeBet,0.29
A5s,call,0.1949
A5s,threeBet,0.8051
A4s,call,0.0698
A4s,fold,0.7101
A4s,threeBet,0.2201
AKo,call,0.225
AKo,threeBet,0.775
KK,threeBet,1.0
KQs,call,0.2098
KQs,threeBet,0.7902
KJs,call,0.0549
KJs,threeBet,0.9451
KTs,call,0.17
KTs,threeBet,0.83
K9s,fold,0.785
K9s,threeBet,0.215
AQo,call,0.0945
AQo,fold,0.0845
AQo,threeBet,0.821
KQo,fold,0.84
KQo,threeBet,0.16
QQ,call,0.235
QQ,threeBet,0.765
QJs,call,0.2599
QJs,threeBet,0.7401
QTs,call,0.2099
QTs,fold,0.6401
QTs,threeBet,0.15
JJ,call,0.2599
JJ,threeBet,0.7401
JTs,call,0.2549
JTs,fold,0.7451
TT,call,0.3
TT,threeBet,0.7
T9s,call,0.0399
T9s,fold,0.9601
87s,call,0.015
87s,fold,0.9248
87s,threeBet,0.0602
76s,call,0.0648
76s,fold,0.8003
76s,threeBet,0.1349
65s,call,0.09
65s,fold,0.7251
65s,threeBet,0.1849
54s,call,0.16
54s,fold,0.685
54s,threeBet,0.155
