# poker.academy CE-Symmetric — 80bb vs3bet | hero EP vs BB
# Scraped 2026-06-01 via scrape_all_ranges.py
# TreeParams: poker.academy CE-Symmetric Regular @ 80bb (GTO ChipEV, 1bb ante)
notation,action,freq
22,call,1.0
33,call,1.0
44,call,0.9493
44,fold,0.0507
66,call,0.475
66,fold,0.525
77,call,0.445
77,fold,0.555
88,call,0.5327
88,fold,0.4673
99,call,0.5601
99,fold,0.405
99,threeBet,0.0349
AA,call,0.17
AA,jam,0.015
AA,threeBet,0.815
AKs,call,0.775
AKs,threeBet,0.225
AQs,call,1.0
AJs,call,1.0
ATs,call,0.925
ATs,threeBet,0.075
A9s,call,0.8302
A9s,fold,0.0299
A9s,threeBet,0.1399
A8s,call,0.4249
A8s,fold,0.3101
A8s,threeBet,0.265
A7s,call,0.0299
A7s,fold,0.8951
A7s,threeBet,0.075
A6s,call,0.2486
A6s,fold,0.6619
A6s,threeBet,0.0895
A5s,call,0.9451
A5s,threeBet,0.0549
A4s,call,0.91
A4s,threeBet,0.09
A3s,call,0.3505
A3s,threeBet,0.6495
AKo,call,0.8101
AKo,jam,0.09
AKo,threeBet,0.0999
KK,call,0.7451
KK,jam,0.075
KK,threeBet,0.1799
KQs,call,1.0
KJs,call,0.8602
KJs,threeBet,0.1398
KTs,call,0.47
KTs,fold,0.29
KTs,threeBet,0.24
K9s,fold,0.9501
K9s,threeBet,0.0499
AQo,call,0.225
AQo,fold,0.6701
AQo,threeBet,0.1049
QQ,call,1.0
QJs,call,1.0
QTs,call,1.0
JJ,call,0.9601
JJ,threeBet,0.0399
JTs,call,0.3651
JTs,fold,0.6349
TT,call,0.9601
TT,threeBet,0.0399
T9s,call,0.9701
T9s,fold,0.0299
98s,call,1.0
87s,call,1.0
76s,call,1.0
65s,call,1.0
54s,call,1.0
