# Generated by hrc_import.py --multi-opener-8max from hrc_8max_chipev_100bb_v2.zip
# HRC tree: 8-handed, effective 100.0bb
# Equity model: chipev, ante: BB_ANTE_ANTE_FIRST
# App slot (deferred integration): bb vsopen vs co open @ 100bb
# HRC node: id=81, seat=7, sequence=FFFFRFF
# Actions: ['fold', 'call', 'raise']
# VPIP estimate: 99.93%
notation,action,freq
AA,raise,1.0
AKs,fold,0.0002
AKs,call,0.0169
AKs,raise,0.9829
AQs,call,0.3224
AQs,raise,0.6776
AJs,call,0.1228
AJs,raise,0.8772
ATs,fold,0.0001
ATs,call,0.0312
ATs,raise,0.9687
A9s,fold,0.0005
A9s,call,0.6241
A9s,raise,0.3754
A8s,fold,0.0001
A8s,call,0.0454
A8s,raise,0.9545
A7s,fold,0.001
A7s,call,0.9989
A7s,raise,0.0001
A6s,fold,0.0006
A6s,call,0.9628
A6s,raise,0.0366
A5s,call,1.0
A4s,fold,0.0002
A4s,call,0.9868
A4s,raise,0.013
A3s,fold,0.0007
A3s,call,0.9797
A3s,raise,0.0196
A2s,fold,0.0005
A2s,call,0.9994
A2s,raise,0.0001
AKo,raise,1.0
KK,raise,1.0
KQs,fold,0.0002
KQs,call,0.5871
KQs,raise,0.4127
KJs,fold,0.0001
KJs,call,0.9999
KTs,fold,0.0001
KTs,call,0.706
KTs,raise,0.294
K9s,fold,0.0005
K9s,call,0.9989
K9s,raise,0.0006
K8s,fold,0.0001
K8s,call,0.9999
K7s,fold,0.0003
K7s,call,0.9997
K6s,fold,0.0049
K6s,call,0.9938
K6s,raise,0.0013
K5s,call,0.9999
K5s,raise,0.0001
K4s,fold,0.0006
K4s,call,0.9994
K3s,fold,0.0007
K3s,call,0.9962
K3s,raise,0.003
K2s,fold,0.0001
K2s,call,0.9999
AQo,call,0.0603
AQo,raise,0.9397
KQo,fold,0.0002
KQo,call,0.6494
KQo,raise,0.3504
QQ,call,0.0144
QQ,raise,0.9856
QJs,fold,0.001
QJs,call,0.9984
QJs,raise,0.0006
QTs,fold,0.0002
QTs,call,0.9998
Q9s,fold,0.0002
Q9s,call,0.9998
Q8s,fold,0.0002
Q8s,call,0.9998
Q7s,fold,0.0009
Q7s,call,0.9991
Q6s,fold,0.0015
Q6s,call,0.9984
Q6s,raise,0.0001
Q5s,fold,0.0015
Q5s,call,0.9983
Q5s,raise,0.0002
Q4s,call,1.0
Q3s,fold,0.0003
Q3s,call,0.9997
Q2s,fold,0.0008
Q2s,call,0.9991
Q2s,raise,0.0001
AJo,fold,0.0001
AJo,call,0.0555
AJo,raise,0.9444
KJo,fold,0.0001
KJo,call,0.8469
KJo,raise,0.1529
QJo,call,1.0
JJ,call,0.0228
JJ,raise,0.9772
JTs,call,1.0
J9s,fold,0.0003
J9s,call,0.9996
J9s,raise,0.0001
J8s,fold,0.0027
J8s,call,0.9969
J8s,raise,0.0003
J7s,fold,0.0004
J7s,call,0.9996
J6s,call,1.0
J5s,call,1.0
J4s,fold,0.0007
J4s,call,0.9839
J4s,raise,0.0154
J3s,fold,0.0014
J3s,call,0.9897
J3s,raise,0.009
J2s,fold,0.0011
J2s,call,0.9751
J2s,raise,0.0238
ATo,fold,0.0004
ATo,call,0.1476
ATo,raise,0.852
KTo,call,1.0
QTo,call,1.0
JTo,fold,0.0001
JTo,call,0.9999
TT,fold,0.0008
TT,call,0.4127
TT,raise,0.5866
T9s,call,1.0
T8s,fold,0.0002
T8s,call,0.9998
T8s,raise,0.0001
T7s,fold,0.0006
T7s,call,0.9994
T6s,fold,0.0019
T6s,call,0.9966
T6s,raise,0.0015
T5s,fold,0.0043
T5s,call,0.9956
T5s,raise,0.0002
T4s,fold,0.0005
T4s,call,0.9995
T3s,fold,0.0046
T3s,call,0.9951
T3s,raise,0.0003
T2s,fold,0.002
T2s,call,0.998
A9o,call,0.7195
A9o,raise,0.2805
K9o,call,0.9988
K9o,raise,0.0011
Q9o,call,1.0
J9o,fold,0.0001
J9o,call,0.9999
T9o,call,1.0
99,fold,0.0003
99,call,0.5173
99,raise,0.4823
98s,fold,0.0004
98s,call,0.9614
98s,raise,0.0382
97s,call,1.0
96s,call,1.0
95s,fold,0.0001
95s,call,0.9999
94s,fold,0.0008
94s,call,0.9992
94s,raise,0.0001
93s,fold,0.0004
93s,call,0.9996
92s,fold,0.0009
