# Generated by hrc_import.py --multi-opener-8max from hrc_8max_chipev_100bb_v2.zip
# HRC tree: 8-handed, effective 100.0bb
# Equity model: chipev, ante: BB_ANTE_ANTE_FIRST
# App slot (deferred integration): bb vsopen vs lj open @ 100bb
# HRC node: id=1673, seat=7, sequence=FFRFFFF
# Actions: ['fold', 'call', 'raise']
# VPIP estimate: 99.84%
notation,action,freq
AA,raise,1.0
AKs,raise,1.0
AQs,call,0.0909
AQs,raise,0.9091
AJs,fold,0.0013
AJs,call,0.402
AJs,raise,0.5967
ATs,fold,0.0003
ATs,call,0.9902
ATs,raise,0.0095
A9s,fold,0.0047
A9s,call,0.9752
A9s,raise,0.0201
A8s,fold,0.0002
A8s,call,0.9966
A8s,raise,0.0032
A7s,fold,0.0012
A7s,call,0.5714
A7s,raise,0.4274
A6s,fold,0.0006
A6s,call,0.9992
A6s,raise,0.0002
A5s,fold,0.0002
A5s,call,0.9997
A4s,fold,0.0001
A4s,call,0.9994
A4s,raise,0.0005
A3s,fold,0.0003
A3s,call,0.9996
A2s,fold,0.0013
A2s,call,0.9983
A2s,raise,0.0004
AKo,call,0.1455
AKo,raise,0.8545
KK,raise,1.0
KQs,fold,0.001
KQs,call,0.5099
KQs,raise,0.489
KJs,fold,0.0006
KJs,call,0.9132
KJs,raise,0.0862
KTs,fold,0.0008
KTs,call,0.9992
KTs,raise,0.0001
K9s,fold,0.0008
K9s,call,0.8793
K9s,raise,0.1199
K8s,fold,0.0002
K8s,call,0.9995
K8s,raise,0.0003
K7s,fold,0.0026
K7s,call,0.9968
K7s,raise,0.0006
K6s,fold,0.0005
K6s,call,0.9995
K5s,fold,0.0003
K5s,call,0.9997
K4s,fold,0.0002
K4s,call,0.9996
K4s,raise,0.0002
K3s,fold,0.0001
K3s,call,0.9999
K2s,fold,0.0063
K2s,call,0.9935
K2s,raise,0.0002
AQo,call,0.1699
AQo,raise,0.8301
KQo,fold,0.0003
KQo,call,0.9994
KQo,raise,0.0003
QQ,call,0.1041
QQ,raise,0.8959
QJs,fold,0.0003
QJs,call,0.9997
QJs,raise,0.0001
QTs,fold,0.0004
QTs,call,0.9996
Q9s,fold,0.0021
Q9s,call,0.9904
Q9s,raise,0.0075
Q8s,fold,0.0002
Q8s,call,0.9998
Q7s,fold,0.0001
Q7s,call,0.9999
Q6s,fold,0.0002
Q6s,call,0.9998
Q5s,fold,0.0001
Q5s,call,0.9999
Q4s,fold,0.0016
Q4s,call,0.9982
Q4s,raise,0.0002
Q3s,fold,0.0006
Q3s,call,0.9992
Q3s,raise,0.0002
Q2s,fold,0.0001
Q2s,call,0.9999
AJo,call,0.8985
AJo,raise,0.1014
KJo,fold,0.0001
KJo,call,0.9973
KJo,raise,0.0026
QJo,fold,0.0002
QJo,call,0.9998
JJ,fold,0.0002
JJ,call,0.1448
JJ,raise,0.855
JTs,fold,0.0007
JTs,call,0.9991
JTs,raise,0.0001
J9s,call,0.9994
J9s,raise,0.0006
J8s,fold,0.0035
J8s,call,0.9646
J8s,raise,0.0319
J7s,fold,0.0005
J7s,call,0.9988
J7s,raise,0.0007
J6s,call,1.0
J5s,fold,0.0001
J5s,call,0.9999
J4s,fold,0.0005
J4s,call,0.9995
J3s,fold,0.0008
J3s,call,0.9992
J2s,fold,0.0001
J2s,call,0.9999
ATo,call,0.9982
ATo,raise,0.0018
KTo,fold,0.0002
KTo,call,0.9996
KTo,raise,0.0001
QTo,fold,0.0006
QTo,call,0.9993
QTo,raise,0.0002
JTo,call,1.0
TT,fold,0.001
TT,call,0.1026
TT,raise,0.8964
T9s,fold,0.0029
T9s,call,0.9968
T9s,raise,0.0003
T8s,fold,0.0011
T8s,call,0.9632
T8s,raise,0.0357
T7s,fold,0.002
T7s,call,0.9979
T7s,raise,0.0001
T6s,call,1.0
T5s,fold,0.0046
T5s,call,0.9949
T5s,raise,0.0005
T4s,fold,0.0006
T4s,call,0.9994
T3s,fold,0.0027
T3s,call,0.9964
T3s,raise,0.0009
T2s,fold,0.0022
T2s,call,0.9977
T2s,raise,0.0001
A9o,fold,0.0001
A9o,call,0.9999
K9o,fold,0.0005
K9o,call,0.9989
K9o,raise,0.0006
Q9o,call,1.0
J9o,fold,0.0002
J9o,call,0.9997
T9o,fold,0.0001
T9o,call,0.9999
99,fold,0.0006
99,call,0.9963
99,raise,0.0031
98s,fold,0.0088
98s,call,0.9893
98s,raise,0.002
97s,fold,0.0001
97s,call,0.9999
96s,fold,0.0001
96s,call,0.9999
95s,fold,0.0015
95s,call,0.9985
94s,fold,0.0001
94s,call,0.9999
93s,fold,0.0199
93s,call,0.98
93s,raise,0.0001
92s,fold,0.0011
92s,call,0.9989
A8o,fold,0.0003
A8o,call,0.9996
A8o,raise,0.0001
K8o,fold,0.0001
K8o,call,0.9999
Q8o,call,1.0
