# Generated by hrc_import.py --multi-opener-8max from hrc_8max_chipev_100bb_v2.zip
# HRC tree: 8-handed, effective 100.0bb
# Equity model: chipev, ante: BB_ANTE_ANTE_FIRST
# App slot (deferred integration): bb vsopen vs sb open @ 100bb
# HRC node: id=13, seat=7, sequence=FFFFFFR
# Actions: ['fold', 'call', 'raise']
# VPIP estimate: 98.60%
notation,action,freq
AA,raise,1.0
AKs,raise,1.0
AQs,call,0.023
AQs,raise,0.9769
AJs,fold,0.0001
AJs,call,0.0011
AJs,raise,0.9988
ATs,call,0.0105
ATs,raise,0.9895
A9s,fold,0.0003
A9s,call,0.0587
A9s,raise,0.941
A8s,call,0.05
A8s,raise,0.9499
A7s,fold,0.0002
A7s,call,0.2628
A7s,raise,0.737
A6s,fold,0.0005
A6s,call,0.9197
A6s,raise,0.0798
A5s,fold,0.0006
A5s,call,0.8892
A5s,raise,0.1102
A4s,call,0.9715
A4s,raise,0.0284
A3s,call,0.5425
A3s,raise,0.4575
A2s,fold,0.0016
A2s,call,0.9957
A2s,raise,0.0027
AKo,raise,1.0
KK,raise,1.0
KQs,fold,0.0002
KQs,call,0.2092
KQs,raise,0.7906
KJs,fold,0.0001
KJs,call,0.8044
KJs,raise,0.1955
KTs,fold,0.0002
KTs,call,0.7504
KTs,raise,0.2494
K9s,fold,0.0002
K9s,call,0.9994
K9s,raise,0.0004
K8s,fold,0.0002
K8s,call,0.9996
K8s,raise,0.0002
K7s,fold,0.0011
K7s,call,0.9979
K7s,raise,0.001
K6s,fold,0.0002
K6s,call,0.9998
K5s,call,1.0
K4s,fold,0.0002
K4s,call,0.9907
K4s,raise,0.0091
K3s,fold,0.001
K3s,call,0.9989
K3s,raise,0.0001
K2s,fold,0.0015
K2s,call,0.9982
K2s,raise,0.0004
AQo,raise,1.0
KQo,call,0.056
KQo,raise,0.944
QQ,raise,1.0
QJs,fold,0.0002
QJs,call,0.9998
QTs,call,0.9794
QTs,raise,0.0206
Q9s,fold,0.0006
Q9s,call,0.9993
Q9s,raise,0.0001
Q8s,fold,0.0009
Q8s,call,0.9989
Q8s,raise,0.0002
Q7s,fold,0.0004
Q7s,call,0.9995
Q7s,raise,0.0001
Q6s,fold,0.0011
Q6s,call,0.9989
Q5s,fold,0.0002
Q5s,call,0.9996
Q5s,raise,0.0002
Q4s,fold,0.0001
Q4s,call,0.9999
Q3s,fold,0.0003
Q3s,call,0.9997
Q3s,raise,0.0001
Q2s,fold,0.001
Q2s,call,0.9989
Q2s,raise,0.0001
AJo,call,0.0009
AJo,raise,0.9991
KJo,call,0.8852
KJo,raise,0.1148
QJo,call,1.0
JJ,fold,0.0001
JJ,call,0.0004
JJ,raise,0.9996
JTs,fold,0.0003
JTs,call,0.9984
JTs,raise,0.0013
J9s,fold,0.0019
J9s,call,0.998
J9s,raise,0.0002
J8s,fold,0.0001
J8s,call,0.9909
J8s,raise,0.009
J7s,fold,0.0057
J7s,call,0.9913
J7s,raise,0.003
J6s,fold,0.0005
J6s,call,0.9995
J5s,fold,0.0002
J5s,call,0.9944
J5s,raise,0.0054
J4s,call,1.0
J3s,fold,0.0013
J3s,call,0.9987
J3s,raise,0.0001
J2s,call,1.0
ATo,call,0.0761
ATo,raise,0.9239
KTo,call,0.9739
KTo,raise,0.0261
QTo,fold,0.0001
QTo,call,0.9999
JTo,call,0.9999
TT,call,0.057
TT,raise,0.9429
T9s,fold,0.0003
T9s,call,0.9997
T8s,call,0.9993
T8s,raise,0.0007
T7s,fold,0.0002
T7s,call,0.9998
T6s,fold,0.0016
T6s,call,0.9981
T6s,raise,0.0003
T5s,fold,0.0012
T5s,call,0.9987
T4s,fold,0.0013
T4s,call,0.9982
T4s,raise,0.0004
T3s,fold,0.0001
T3s,call,0.9999
T2s,fold,0.0033
T2s,call,0.9967
A9o,call,0.0449
A9o,raise,0.955
K9o,fold,0.0002
K9o,call,0.9901
K9o,raise,0.0098
Q9o,fold,0.0001
Q9o,call,0.9996
Q9o,raise,0.0002
J9o,call,1.0
T9o,call,0.9999
99,fold,0.0003
99,call,0.002
99,raise,0.9977
98s,fold,0.0002
98s,call,0.9998
97s,fold,0.0094
97s,call,0.9878
97s,raise,0.0029
96s,fold,0.0023
96s,call,0.9976
96s,raise,0.0001
95s,fold,0.0021
95s,call,0.9974
95s,raise,0.0006
94s,fold,0.001
94s,call,0.999
93s,fold,0.0013
93s,call,0.9987
92s,fold,0.0196
92s,call,0.9797
92s,raise,0.0008
A8o,call,0.2348
A8o,raise,0.7651
K8o,call,0.9993
K8o,raise,0.0007
Q8o,call,1.0
J8o,fold,0.0002
J8o,call,0.9997
J8o,raise,0.0001
T8o,fold,0.0002
T8o,call,0.9998
98o,fold,0.0002
98o,call,0.9997
98o,raise,0.0001
88,fold,0.0002
88,call,0.5888
88,raise,0.411
