# poker.academy CE-Symmetric — 100bb vsopen | hero BB vs EP
# Scraped 2026-06-01 via scrape_all_ranges.py
# TreeParams: poker.academy CE-Symmetric Regular @ 100bb (GTO ChipEV, 1bb ante)
notation,action,freq
22,call,1.0
33,call,1.0
44,call,1.0
55,call,1.0
66,call,1.0
77,call,1.0
88,call,1.0
99,call,1.0
AA,threeBet,1.0
AKs,threeBet,1.0
AQs,call,0.8801
AQs,threeBet,0.1199
AJs,call,0.824
AJs,threeBet,0.176
ATs,call,0.182
ATs,threeBet,0.818
A9s,call,0.7881
A9s,threeBet,0.2119
A8s,call,0.7041
A8s,threeBet,0.2959
A7s,call,1.0
A6s,call,1.0
A5s,call,0.3939
A5s,threeBet,0.6061
A4s,call,0.798
A4s,threeBet,0.202
A3s,call,0.716
A3s,threeBet,0.284
A2s,call,0.866
A2s,threeBet,0.134
AKo,call,0.454
AKo,threeBet,0.546
KK,threeBet,1.0
KQs,call,0.31
KQs,threeBet,0.69
KJs,call,0.7301
KJs,threeBet,0.2699
KTs,call,0.744
KTs,threeBet,0.256
K9s,call,1.0
K8s,call,1.0
K7s,call,1.0
K6s,call,1.0
K5s,call,1.0
K4s,call,1.0
K3s,call,1.0
K2s,call,1.0
AQo,call,1.0
KQo,call,1.0
QQ,call,0.1419
QQ,threeBet,0.8581
QJs,threeBet,1.0
QTs,call,0.8001
QTs,threeBet,0.1999
Q9s,call,0.738
Q9s,threeBet,0.262
Q8s,call,1.0
Q7s,call,1.0
Q6s,call,1.0
Q5s,call,1.0
Q4s,call,1.0
Q3s,call,1.0
Q2s,call,1.0
AJo,call,1.0
KJo,call,1.0
QJo,call,1.0
JJ,call,0.866
JJ,threeBet,0.134
JTs,call,0.658
JTs,threeBet,0.342
J9s,call,1.0
J8s,call,1.0
J7s,call,1.0
J6s,call,1.0
J5s,call,1.0
J4s,call,1.0
J3s,call,1.0
J2s,call,0.086
J2s,fold,0.914
ATo,call,1.0
KTo,call,1.0
QTo,call,1.0
JTo,call,1.0
TT,call,1.0
T9s,call,0.588
T9s,threeBet,0.412
T8s,call,1.0
T7s,call,1.0
T6s,call,1.0
T5s,call,1.0
T4s,call,0.652
T4s,fold,0.348
T3s,call,1.0
T2s,call,0.9781
T2s,fold,0.0219
A9o,call,1.0
K9o,call,0.6701
K9o,fold,0.3299
Q9o,call,0.648
Q9o,fold,0.352
T9o,call,1.0
98s,call,0.968
98s,threeBet,0.032
97s,call,1.0
96s,call,1.0
95s,call,1.0
92s,call,0.4961
92s,fold,0.5039
A8o,call,1.0
98o,call,0.39
98o,fold,0.61
87s,call,0.61
87s,threeBet,0.39
86s,call,0.9622
86s,threeBet,0.0378
85s,call,1.0
84s,call,1.0
87o,call,0.432
87o,fold,0.568
76s,call,0.2699
76s,threeBet,0.7301
75s,call,1.0
74s,call,1.0
76o,call,0.904
76o,fold,0.096
65s,call,0.632
65s,threeBet,0.368
64s,call,1.0
63s,call,1.0
A5o,call,0.4941
A5o,fold,0.5059
65o,call,0.5261
65o,fold,0.4739
54s,call,0.6079
54s,threeBet,0.3921
53s,call,1.0
52s,call,1.0
54o,call,0.3979
54o,fold,0.6021
43s,call,0.5219
43s,threeBet,0.4781
42s,call,1.0
32s,call,1.0
