# Generated by hrc_import.py --multi-opener-8max from hrc_8max_chipev_100bb_v2.zip
# HRC tree: 8-handed, effective 100.0bb
# Equity model: chipev, ante: BB_ANTE_ANTE_FIRST
# App slot (deferred integration): co vsopen vs lj open @ 100bb
# HRC node: id=1670, seat=4, sequence=FFRF
# Actions: ['fold', 'call', 'raise']
# VPIP estimate: 12.52%
notation,action,freq
AA,call,0.0001
AA,raise,0.9999
AKs,call,0.0001
AKs,raise,0.9999
AQs,call,0.1661
AQs,raise,0.8339
AJs,fold,0.0845
AJs,call,0.1333
AJs,raise,0.7822
ATs,fold,0.0001
ATs,call,0.5485
ATs,raise,0.4514
A9s,fold,0.5642
A9s,call,0.4058
A9s,raise,0.03
A8s,fold,0.7921
A8s,call,0.1754
A8s,raise,0.0325
A7s,fold,0.8894
A7s,call,0.1097
A7s,raise,0.0009
A6s,fold,0.3543
A6s,call,0.6154
A6s,raise,0.0304
A5s,fold,0.9116
A5s,call,0.0853
A5s,raise,0.0031
A4s,fold,0.9149
A4s,call,0.0844
A4s,raise,0.0007
A3s,fold,0.6329
A3s,call,0.3641
A3s,raise,0.0031
A2s,fold,0.9991
A2s,call,0.0009
AKo,call,0.6575
AKo,raise,0.3425
KK,raise,1.0
KQs,fold,0.675
KQs,call,0.3156
KQs,raise,0.0094
KJs,fold,0.1498
KJs,call,0.8424
KJs,raise,0.0078
KTs,fold,0.736
KTs,call,0.2534
KTs,raise,0.0106
K9s,fold,0.7237
K9s,call,0.2323
K9s,raise,0.044
K8s,fold,0.9962
K8s,call,0.0034
K8s,raise,0.0004
K7s,fold,0.9895
K7s,call,0.0026
K7s,raise,0.008
K6s,fold,0.9934
K6s,call,0.0002
K6s,raise,0.0064
K5s,fold,0.9695
K5s,call,0.0298
K5s,raise,0.0007
K4s,fold,0.8823
K4s,call,0.1102
K4s,raise,0.0075
K3s,fold,0.9938
K3s,call,0.0047
K3s,raise,0.0015
K2s,fold,0.9934
K2s,call,0.0062
K2s,raise,0.0004
AQo,call,0.6341
AQo,raise,0.3658
KQo,fold,0.3876
KQo,call,0.6067
KQo,raise,0.0056
QQ,raise,1.0
QJs,fold,0.9931
QJs,call,0.0065
QJs,raise,0.0003
QTs,fold,0.9923
QTs,call,0.0074
QTs,raise,0.0003
Q9s,fold,0.9944
Q9s,call,0.0052
Q9s,raise,0.0004
