# Generated by hrc_import.py --multi-opener-8max from hrc_8max_chipev_100bb_v2.zip
# HRC tree: 8-handed, effective 100.0bb
# Equity model: chipev, ante: BB_ANTE_ANTE_FIRST
# App slot (deferred integration): co vsopen vs utg open @ 100bb
# HRC node: id=17385, seat=4, sequence=RFFF
# Actions: ['fold', 'call', 'raise']
# VPIP estimate: 12.85%
notation,action,freq
AA,call,0.0002
AA,raise,0.9998
AKs,fold,0.0001
AKs,call,0.9678
AKs,raise,0.0322
AQs,fold,0.1746
AQs,call,0.5754
AQs,raise,0.25
AJs,fold,0.013
AJs,call,0.5614
AJs,raise,0.4256
ATs,fold,0.1638
ATs,call,0.3944
ATs,raise,0.4418
A9s,fold,0.8799
A9s,call,0.1141
A9s,raise,0.006
A8s,fold,0.2997
A8s,call,0.698
A8s,raise,0.0023
A7s,fold,0.972
A7s,call,0.0267
A7s,raise,0.0013
A6s,fold,0.8785
A6s,call,0.0861
A6s,raise,0.0354
A5s,fold,0.6137
A5s,call,0.3853
A5s,raise,0.001
A4s,fold,0.6113
A4s,call,0.3553
A4s,raise,0.0334
A3s,fold,0.8275
A3s,call,0.1712
A3s,raise,0.0012
A2s,fold,0.8604
A2s,call,0.1366
A2s,raise,0.003
AKo,call,0.0002
AKo,raise,0.9998
KK,call,0.0001
KK,raise,0.9999
KQs,call,0.9998
KQs,raise,0.0002
KJs,fold,0.8187
KJs,call,0.1614
KJs,raise,0.0199
KTs,fold,0.9121
KTs,call,0.0532
KTs,raise,0.0347
K9s,fold,0.8982
K9s,call,0.0048
K9s,raise,0.097
K8s,fold,0.9322
K8s,call,0.0573
K8s,raise,0.0106
K7s,fold,0.9762
K7s,call,0.0096
K7s,raise,0.0142
K6s,fold,0.9969
K6s,call,0.0014
K6s,raise,0.0017
K5s,fold,0.9647
K5s,call,0.0332
K5s,raise,0.0021
K4s,fold,0.9986
K4s,call,0.0001
K4s,raise,0.0013
K3s,fold,0.9691
K3s,call,0.0308
K3s,raise,0.0001
K2s,fold,0.9613
K2s,call,0.0173
K2s,raise,0.0214
AQo,call,0.6871
AQo,raise,0.3129
KQo,fold,0.8928
KQo,call,0.0221
KQo,raise,0.0851
QQ,call,0.0001
QQ,raise,0.9999
QJs,fold,0.747
QJs,call,0.242
QJs,raise,0.011
QTs,fold,0.4061
QTs,call,0.5491
QTs,raise,0.0448
Q9s,fold,0.901
Q9s,call,0.0929
Q9s,raise,0.0061
Q8s,fold,0.9457
Q8s,call,0.0528
Q8s,raise,0.0015
Q7s,fold,0.992
Q7s,call,0.005
Q7s,raise,0.003
