# poker.academy CE-Symmetric — 100bb vsopen | hero CO vs MP
# Scraped 2026-06-01 via scrape_all_ranges.py
# TreeParams: poker.academy CE-Symmetric Regular @ 100bb (GTO ChipEV, 1bb ante)
notation,action,freq
22,call,0.8861
22,fold,0.1139
33,call,0.8001
33,fold,0.1999
44,call,0.9761
44,threeBet,0.0239
55,call,0.9821
55,threeBet,0.0179
66,call,0.9341
66,threeBet,0.0659
77,call,0.872
77,threeBet,0.128
88,call,0.8762
88,threeBet,0.1238
99,call,0.7661
99,threeBet,0.2339
AA,threeBet,1.0
AKs,threeBet,1.0
AQs,call,0.4099
AQs,threeBet,0.5901
AJs,call,0.8442
AJs,threeBet,0.1558
ATs,call,0.652
ATs,threeBet,0.348
A9s,call,0.7781
A9s,threeBet,0.2219
A8s,call,0.8062
A8s,threeBet,0.1938
A7s,call,0.76
A7s,threeBet,0.24
A6s,call,0.402
A6s,threeBet,0.598
A5s,call,0.53
A5s,threeBet,0.47
A4s,call,0.5641
A4s,threeBet,0.4359
A3s,call,0.508
A3s,threeBet,0.492
A2s,call,0.1439
A2s,fold,0.8561
AKo,call,0.2979
AKo,threeBet,0.7021
KK,threeBet,1.0
KQs,call,1.0
KJs,call,0.6761
KJs,threeBet,0.3239
KTs,call,0.85
KTs,threeBet,0.15
K9s,call,0.52
K9s,threeBet,0.48
K8s,call,0.1679
K8s,fold,0.4301
K8s,threeBet,0.402
K7s,fold,0.7841
K7s,threeBet,0.2159
K6s,call,0.0659
K6s,fold,0.7242
K6s,threeBet,0.2099
AQo,call,0.878
AQo,threeBet,0.122
KQo,call,0.5759
KQo,threeBet,0.4241
QQ,call,0.5219
QQ,threeBet,0.4781
QJs,call,0.352
QJs,threeBet,0.648
QTs,call,0.8062
QTs,threeBet,0.1938
Q9s,call,0.4
Q9s,threeBet,0.6
AJo,call,0.716
AJo,threeBet,0.284
KJo,call,0.118
KJo,fold,0.754
KJo,threeBet,0.128
JJ,call,0.6821
JJ,threeBet,0.3179
JTs,call,0.9601
JTs,threeBet,0.0399
J9s,call,0.6441
J9s,threeBet,0.3559
ATo,fold,0.5699
ATo,threeBet,0.4301
TT,call,0.6341
TT,threeBet,0.3659
T9s,call,0.792
T9s,threeBet,0.208
T8s,call,0.3691
T8s,fold,0.4971
T8s,threeBet,0.1338
98s,call,0.7041
98s,fold,0.2959
87s,call,0.2946
87s,fold,0.4168
87s,threeBet,0.2886
76s,call,0.4289
76s,fold,0.4268
76s,threeBet,0.1443
65s,call,0.4641
65s,fold,0.2699
65s,threeBet,0.266
54s,call,0.6181
54s,fold,0.0819
54s,threeBet,0.3
