# poker.academy CE-Symmetric — 100bb vs3bet | hero HJ vs CO
# Scraped 2026-06-01 via scrape_all_ranges.py
# TreeParams: poker.academy CE-Symmetric Regular @ 100bb (GTO ChipEV, 1bb ante)
notation,action,freq
22,call,1.0
33,call,1.0
44,call,1.0
55,call,0.8481
55,fold,0.1519
66,call,1.0
77,call,1.0
88,call,0.9402
88,threeBet,0.0598
99,call,0.9121
99,threeBet,0.0879
AA,threeBet,1.0
AKs,threeBet,1.0
AQs,call,1.0
AJs,call,1.0
ATs,call,1.0
A9s,call,0.846
A9s,threeBet,0.154
A8s,call,0.5961
A8s,threeBet,0.4039
A7s,call,0.112
A7s,fold,0.5741
A7s,threeBet,0.3139
A6s,call,0.17
A6s,fold,0.83
A5s,call,0.594
A5s,threeBet,0.406
A4s,call,0.485
A4s,fold,0.2505
A4s,threeBet,0.2645
AKo,call,0.128
AKo,threeBet,0.872
KK,threeBet,1.0
KQs,call,1.0
KJs,call,0.9501
KJs,threeBet,0.0499
KTs,call,0.268
KTs,threeBet,0.732
K9s,call,0.662
K9s,threeBet,0.338
K8s,fold,0.942
K8s,threeBet,0.058
K6s,call,0.3035
K6s,fold,0.6288
K6s,threeBet,0.0677
AQo,call,0.4959
AQo,threeBet,0.5041
KQo,call,0.34
KQo,fold,0.436
KQo,threeBet,0.224
QQ,threeBet,1.0
QJs,call,0.536
QJs,threeBet,0.464
QTs,call,1.0
AJo,call,0.1479
AJo,fold,0.5862
AJo,threeBet,0.2659
JJ,call,0.4721
JJ,threeBet,0.5279
JTs,call,0.8421
JTs,threeBet,0.1579
ATo,fold,0.952
ATo,threeBet,0.048
TT,call,0.52
TT,threeBet,0.48
T9s,call,0.8541
T9s,threeBet,0.1459
T8s,call,0.0659
T8s,fold,0.9341
87s,call,0.534
87s,fold,0.466
76s,call,0.588
76s,fold,0.412
65s,call,0.339
65s,fold,0.661
54s,call,1.0
