# Generated by hrc_import.py --multi-opener-8max from hrc_8max_chipev_100bb_v2.zip
# HRC tree: 8-handed, effective 100.0bb
# Equity model: chipev, ante: BB_ANTE_ANTE_FIRST
# App slot (deferred integration): hj vsopen vs utg1 open @ 100bb
# HRC node: id=5716, seat=3, sequence=FRF
# Actions: ['fold', 'call', 'raise']
# VPIP estimate: 15.31%
notation,action,freq
AA,raise,1.0
AKs,call,0.2354
AKs,raise,0.7646
AQs,call,0.8721
AQs,raise,0.1279
AJs,fold,0.0002
AJs,call,0.5404
AJs,raise,0.4594
ATs,fold,0.0003
ATs,call,0.9582
ATs,raise,0.0415
A9s,fold,0.8915
A9s,call,0.0383
A9s,raise,0.0701
A8s,fold,0.1571
A8s,call,0.8381
A8s,raise,0.0048
A7s,fold,0.015
A7s,call,0.9408
A7s,raise,0.0442
A6s,fold,0.8707
A6s,call,0.101
A6s,raise,0.0283
A5s,fold,0.6065
A5s,call,0.2844
A5s,raise,0.1091
A4s,fold,0.9331
A4s,call,0.0587
A4s,raise,0.0082
A3s,fold,0.8775
A3s,call,0.1134
A3s,raise,0.0091
A2s,fold,0.9491
A2s,call,0.021
A2s,raise,0.0299
AKo,call,0.1552
AKo,raise,0.8448
KK,call,0.0001
KK,raise,0.9999
KQs,fold,0.0023
KQs,call,0.4203
KQs,raise,0.5774
KJs,fold,0.428
KJs,call,0.4314
KJs,raise,0.1406
KTs,fold,0.4165
KTs,call,0.2443
KTs,raise,0.3393
K9s,fold,0.9163
K9s,call,0.0788
K9s,raise,0.0049
K8s,fold,0.7503
K8s,call,0.0689
K8s,raise,0.1808
K7s,fold,0.9336
K7s,call,0.0516
K7s,raise,0.0149
K6s,fold,0.9917
K6s,call,0.0077
K6s,raise,0.0006
K5s,fold,0.9928
K5s,call,0.0025
K5s,raise,0.0047
K4s,fold,0.9403
K4s,call,0.0548
K4s,raise,0.0049
K3s,fold,0.9033
K3s,call,0.0966
K2s,fold,0.9976
K2s,call,0.0019
K2s,raise,0.0005
AQo,call,0.8525
AQo,raise,0.1474
KQo,fold,0.1632
KQo,call,0.8254
KQo,raise,0.0113
QQ,call,0.0005
QQ,raise,0.9995
QJs,fold,0.3862
QJs,call,0.6037
QJs,raise,0.0101
QTs,fold,0.8487
QTs,call,0.027
QTs,raise,0.1243
Q9s,fold,0.9844
Q9s,call,0.0048
Q9s,raise,0.0109
Q8s,fold,0.9948
Q8s,call,0.0025
Q8s,raise,0.0027
Q7s,fold,0.9851
Q7s,call,0.0107
Q7s,raise,0.0042
Q6s,fold,0.909
Q6s,call,0.0903
Q6s,raise,0.0007
Q5s,fold,0.9952
Q5s,call,0.0046
Q5s,raise,0.0002
Q4s,fold,0.9908
Q4s,call,0.0014
Q4s,raise,0.0078
Q3s,fold,0.9994
Q3s,call,0.0006
Q2s,fold,0.9994
Q2s,call,0.0005
AJo,call,0.946
AJo,raise,0.054
KJo,fold,0.8352
KJo,call,0.1613
KJo,raise,0.0036
QJo,fold,0.9874
QJo,call,0.0087
QJo,raise,0.0039
JJ,call,0.4667
JJ,raise,0.5332
JTs,fold,0.6126
JTs,call,0.379
JTs,raise,0.0084
J9s,fold,0.9697
J9s,call,0.0199
J9s,raise,0.0104
J8s,fold,0.9984
J8s,call,0.0007
J8s,raise,0.0009
J7s,fold,0.7476
J7s,call,0.2509
J7s,raise,0.0015
J6s,fold,0.9954
J6s,call,0.0001
J6s,raise,0.0046
J5s,fold,0.9982
J5s,call,0.0003
J5s,raise,0.0015
J4s,fold,0.991
J4s,call,0.009
J3s,fold,0.9985
J3s,call,0.0009
J3s,raise,0.0006
J2s,fold,0.9975
J2s,call,0.0024
ATo,fold,0.74
ATo,call,0.2595
ATo,raise,0.0005
KTo,fold,0.9639
KTo,call,0.0326
KTo,raise,0.0036
QTo,fold,0.9796
QTo,call,0.0019
QTo,raise,0.0185
JTo,fold,0.9933
JTo,call,0.005
JTo,raise,0.0017
TT,call,0.8898
TT,raise,0.1102
T9s,fold,0.7486
T9s,call,0.2338
T9s,raise,0.0176
T8s,fold,0.8492
T8s,call,0.1335
T8s,raise,0.0173
T7s,fold,0.9927
T7s,call,0.0058
T7s,raise,0.0016
T6s,fold,0.9657
T6s,call,0.0243
T6s,raise,0.01
T5s,fold,0.9952
T5s,call,0.0045
T5s,raise,0.0003
T4s,fold,0.9969
T4s,call,0.0031
T4s,raise,0.0001
T3s,fold,0.9905
T3s,call,0.0095
T2s,fold,0.9943
T2s,call,0.0056
A9o,fold,0.8578
A9o,call,0.1416
A9o,raise,0.0006
K9o,fold,0.9832
K9o,call,0.0083
K9o,raise,0.0085
Q9o,fold,0.9989
Q9o,call,0.0011
J9o,fold,0.9964
J9o,call,0.0022
J9o,raise,0.0013
T9o,fold,0.9978
T9o,call,0.002
T9o,raise,0.0002
99,call,0.0252
99,raise,0.9748
98s,fold,0.9764
98s,call,0.0191
98s,raise,0.0045
97s,fold,0.8273
97s,call,0.1726
96s,fold,0.9974
96s,call,0.0017
96s,raise,0.0009
95s,fold,0.9915
95s,call,0.0082
95s,raise,0.0003
94s,fold,1.0
93s,fold,0.9956
93s,call,0.0042
93s,raise,0.0002
92s,fold,0.9999
A8o,fold,0.991
A8o,call,0.0047
A8o,raise,0.0042
K8o,fold,0.9998
K8o,call,0.0001
K8o,raise,0.0002
Q8o,fold,0.9992
Q8o,call,0.0008
J8o,fold,0.9997
J8o,call,0.0003
T8o,fold,0.9972
T8o,call,0.0025
T8o,raise,0.0003
98o,fold,0.999
98o,call,0.001
98o,raise,0.0001
88,fold,0.0001
88,call,0.3893
88,raise,0.6106
87s,fold,0.9896
87s,raise,0.0103
86s,fold,0.9992
86s,call,0.0003
86s,raise,0.0005
85s,fold,0.9987
85s,call,0.0013
84s,fold,0.9947
84s,call,0.0027
84s,raise,0.0026
83s,fold,0.9983
83s,call,0.0016
83s,raise,0.0001
82s,fold,0.9986
82s,raise,0.0014
A7o,fold,0.9969
A7o,call,0.001
A7o,raise,0.0021
K7o,fold,0.9992
K7o,call,0.0005
K7o,raise,0.0004
Q7o,fold,0.9988
Q7o,raise,0.0012
J7o,fold,0.9993
J7o,call,0.0005
J7o,raise,0.0002
T7o,fold,0.9996
T7o,call,0.0002
T7o,raise,0.0002
97o,fold,0.9963
97o,call,0.0034
97o,raise,0.0003
87o,fold,1.0
77,fold,0.0045
77,call,0.9259
77,raise,0.0696
76s,fold,0.9998
76s,call,0.0002
75s,fold,0.9977
75s,call,0.0023
74s,fold,0.9996
74s,call,0.0004
73s,fold,0.9972
73s,call,0.0013
73s,raise,0.0016
72s,fold,0.9975
72s,raise,0.0025
A6o,fold,0.9809
A6o,call,0.0024
A6o,raise,0.0167
K6o,fold,0.9945
K6o,call,0.0054
Q6o,fold,0.9995
Q6o,call,0.0002
Q6o,raise,0.0003
J6o,fold,0.9996
J6o,call,0.0003
J6o,raise,0.0001
T6o,fold,1.0
96o,fold,0.9999
96o,call,0.0001
86o,fold,0.9999
86o,call,0.0001
76o,fold,0.9985
76o,call,0.0014
66,fold,0.0075
66,call,0.9852
66,raise,0.0073
65s,fold,0.9072
65s,call,0.0875
65s,raise,0.0053
64s,fold,0.993
64s,call,0.0065
64s,raise,0.0005
63s,fold,0.9941
63s,call,0.0059
62s,fold,0.998
62s,call,0.002
62s,raise,0.0001
A5o,fold,0.9897
A5o,call,0.0103
K5o,fold,0.9977
K5o,call,0.0022
K5o,raise,0.0001
Q5o,fold,0.9972
Q5o,call,0.0025
Q5o,raise,0.0003
J5o,fold,0.9992
J5o,call,0.0001
J5o,raise,0.0008
