# Generated by hrc_import.py --multi-opener-8max from hrc_8max_chipev_100bb_v2.zip
# HRC tree: 8-handed, effective 100.0bb
# Equity model: chipev, ante: BB_ANTE_ANTE_FIRST
# App slot (deferred integration): sb vsopen vs btn open @ 100bb
# HRC node: id=18, seat=6, sequence=FFFFFR
# Actions: ['fold', 'call', 'raise']
# VPIP estimate: 47.89%
notation,action,freq
AA,raise,1.0
AKs,raise,1.0
AQs,fold,0.0001
AQs,call,0.0011
AQs,raise,0.9988
AJs,call,0.4648
AJs,raise,0.5352
ATs,call,0.2546
ATs,raise,0.7454
A9s,fold,0.0054
A9s,call,0.1251
A9s,raise,0.8694
A8s,fold,0.0066
A8s,call,0.8019
A8s,raise,0.1914
A7s,fold,0.081
A7s,call,0.7337
A7s,raise,0.1853
A6s,fold,0.014
A6s,call,0.9315
A6s,raise,0.0545
A5s,fold,0.0132
A5s,call,0.9867
A5s,raise,0.0001
A4s,fold,0.1705
A4s,call,0.5827
A4s,raise,0.2468
A3s,fold,0.0574
A3s,call,0.9426
A2s,fold,0.0473
A2s,call,0.4803
A2s,raise,0.4723
AKo,call,0.0002
AKo,raise,0.9998
KK,raise,1.0
KQs,fold,0.0003
KQs,call,0.9966
KQs,raise,0.0031
KJs,fold,0.0127
KJs,call,0.2162
KJs,raise,0.7711
KTs,fold,0.049
KTs,call,0.9417
KTs,raise,0.0093
K9s,fold,0.0815
K9s,call,0.629
K9s,raise,0.2895
K8s,fold,0.0421
K8s,call,0.9569
K8s,raise,0.001
K7s,fold,0.0114
K7s,call,0.9886
K6s,fold,0.0021
K6s,call,0.9977
K6s,raise,0.0002
K5s,fold,0.4035
K5s,call,0.5807
K5s,raise,0.0158
K4s,fold,0.4086
K4s,call,0.5906
K4s,raise,0.0007
K3s,fold,0.2695
K3s,call,0.6954
K3s,raise,0.0351
K2s,fold,0.5603
K2s,call,0.4053
K2s,raise,0.0344
AQo,call,0.2063
AQo,raise,0.7937
KQo,fold,0.0047
KQo,call,0.8917
KQo,raise,0.1037
QQ,call,0.8821
QQ,raise,0.1179
QJs,fold,0.0347
QJs,call,0.9594
QJs,raise,0.0058
QTs,fold,0.0123
QTs,call,0.9829
QTs,raise,0.0047
Q9s,fold,0.0331
Q9s,call,0.9525
Q9s,raise,0.0145
Q8s,fold,0.0553
Q8s,call,0.9445
Q8s,raise,0.0002
Q7s,fold,0.4447
Q7s,call,0.5552
Q7s,raise,0.0001
Q6s,fold,0.0754
Q6s,call,0.9246
Q5s,fold,0.4843
Q5s,call,0.5139
Q5s,raise,0.0018
Q4s,fold,0.9997
Q4s,call,0.0003
Q3s,fold,0.9977
Q3s,call,0.0022
Q2s,fold,0.5606
Q2s,call,0.4392
Q2s,raise,0.0002
AJo,raise,1.0
KJo,fold,0.0016
KJo,call,0.9581
KJo,raise,0.0403
QJo,fold,0.0227
QJo,call,0.9772
QJo,raise,0.0001
JJ,call,0.0001
JJ,raise,0.9999
JTs,fold,0.0381
JTs,call,0.9612
JTs,raise,0.0006
J9s,fold,0.0738
J9s,call,0.9261
J9s,raise,0.0001
J8s,fold,0.8065
J8s,call,0.1785
J8s,raise,0.015
J7s,fold,0.7378
J7s,call,0.2494
J7s,raise,0.0129
J6s,fold,0.9948
J6s,call,0.0052
J5s,fold,0.9999
J5s,call,0.0001
J4s,fold,0.6946
J4s,call,0.3048
J4s,raise,0.0005
J3s,fold,0.9984
J3s,call,0.0015
J3s,raise,0.0001
J2s,fold,0.8349
J2s,call,0.165
J2s,raise,0.0001
ATo,fold,0.0004
ATo,call,0.0184
ATo,raise,0.9812
KTo,fold,0.0092
KTo,call,0.9902
KTo,raise,0.0005
QTo,fold,0.0158
QTo,call,0.9842
JTo,fold,0.0439
JTo,call,0.9561
TT,fold,0.0005
TT,call,0.896
TT,raise,0.1034
T9s,fold,0.2528
T9s,call,0.7467
T9s,raise,0.0004
T8s,fold,0.0613
T8s,call,0.9387
T8s,raise,0.0001
T7s,fold,0.2381
T7s,call,0.7618
T6s,fold,0.9996
T6s,call,0.0004
T6s,raise,0.0001
T5s,fold,0.2998
T5s,call,0.7001
T5s,raise,0.0001
T4s,fold,0.9979
T4s,call,0.0012
T4s,raise,0.0009
T3s,fold,0.9761
T3s,call,0.0229
T3s,raise,0.001
T2s,fold,0.9993
T2s,call,0.0007
A9o,fold,0.0116
A9o,call,0.2676
A9o,raise,0.7208
K9o,fold,0.0097
K9o,call,0.9903
Q9o,fold,0.1156
Q9o,call,0.8844
J9o,fold,0.0865
J9o,call,0.9135
T9o,fold,0.3104
T9o,call,0.6895
99,fold,0.0067
99,call,0.0065
99,raise,0.9867
98s,fold,0.0706
98s,call,0.9028
98s,raise,0.0266
97s,fold,0.6936
97s,call,0.3064
96s,fold,0.1801
96s,call,0.8199
95s,fold,0.8237
95s,call,0.1751
