# Generated by hrc_import.py --multi-opener-8max from hrc_8max_chipev_100bb_v2.zip
# HRC tree: 8-handed, effective 100.0bb
# Equity model: chipev, ante: BB_ANTE_ANTE_FIRST
# App slot (deferred integration): sb vsopen vs co open @ 100bb
# HRC node: id=80, seat=6, sequence=FFFFRF
# Actions: ['fold', 'call', 'raise']
# VPIP estimate: 46.05%
notation,action,freq
AA,raise,1.0
AKs,call,0.0526
AKs,raise,0.9473
AQs,fold,0.0002
AQs,call,0.2831
AQs,raise,0.7167
AJs,fold,0.002
AJs,call,0.0277
AJs,raise,0.9704
ATs,fold,0.0006
ATs,call,0.3299
ATs,raise,0.6694
A9s,fold,0.0263
A9s,call,0.7296
A9s,raise,0.2441
A8s,fold,0.0029
A8s,call,0.9948
A8s,raise,0.0023
A7s,fold,0.0953
A7s,call,0.903
A7s,raise,0.0016
A6s,fold,0.0469
A6s,call,0.952
A6s,raise,0.0011
A5s,fold,0.0229
A5s,call,0.7407
A5s,raise,0.2364
A4s,fold,0.0131
A4s,call,0.9852
A4s,raise,0.0017
A3s,fold,0.0243
A3s,call,0.9384
A3s,raise,0.0373
A2s,fold,0.2646
A2s,call,0.4938
A2s,raise,0.2416
AKo,call,0.0001
AKo,raise,0.9999
KK,call,0.0001
KK,raise,0.9999
KQs,fold,0.0095
KQs,call,0.0716
KQs,raise,0.9189
KJs,fold,0.0035
KJs,call,0.7389
KJs,raise,0.2577
KTs,fold,0.0468
KTs,call,0.8061
KTs,raise,0.1471
K9s,fold,0.009
K9s,call,0.991
K8s,fold,0.1869
K8s,call,0.813
K8s,raise,0.0001
K7s,fold,0.0083
K7s,call,0.9904
K7s,raise,0.0013
K6s,fold,0.6772
K6s,call,0.3226
K6s,raise,0.0002
K5s,fold,0.0678
K5s,call,0.8832
K5s,raise,0.049
K4s,fold,0.1075
K4s,call,0.8924
K4s,raise,0.0001
K3s,fold,0.3976
K3s,call,0.602
K3s,raise,0.0003
K2s,fold,0.9688
K2s,call,0.0312
AQo,call,0.0248
AQo,raise,0.9752
KQo,fold,0.0108
KQo,call,0.9743
KQo,raise,0.0148
QQ,call,0.4595
QQ,raise,0.5405
QJs,fold,0.0229
QJs,call,0.9269
QJs,raise,0.0502
QTs,fold,0.4264
QTs,call,0.5736
Q9s,fold,0.0258
Q9s,call,0.9741
Q9s,raise,0.0001
Q8s,fold,0.2366
Q8s,call,0.7633
Q8s,raise,0.0001
Q7s,fold,0.0804
Q7s,call,0.9195
Q7s,raise,0.0001
Q6s,fold,0.2523
Q6s,call,0.7476
Q6s,raise,0.0001
Q5s,fold,0.1895
Q5s,call,0.8105
Q4s,fold,0.9966
Q4s,call,0.0034
Q3s,fold,0.9974
Q3s,call,0.0026
Q2s,fold,0.6624
Q2s,call,0.3376
AJo,call,0.0723
AJo,raise,0.9277
KJo,fold,0.0003
KJo,call,0.9997
KJo,raise,0.0001
QJo,fold,0.0028
QJo,call,0.9971
QJo,raise,0.0001
JJ,call,0.305
JJ,raise,0.695
JTs,fold,0.0169
JTs,call,0.9736
JTs,raise,0.0095
J9s,fold,0.2787
J9s,call,0.7212
J9s,raise,0.0001
J8s,fold,0.1397
J8s,call,0.8602
J8s,raise,0.0001
J7s,fold,0.5186
J7s,call,0.4814
J6s,fold,0.5944
J6s,call,0.4056
J5s,fold,0.9224
J5s,call,0.0769
J5s,raise,0.0007
J4s,fold,0.9919
J4s,call,0.008
J3s,fold,0.8692
J3s,call,0.1307
J2s,fold,0.962
J2s,call,0.0376
J2s,raise,0.0004
ATo,fold,0.0064
ATo,call,0.4572
ATo,raise,0.5365
KTo,fold,0.0529
KTo,call,0.947
KTo,raise,0.0001
QTo,fold,0.0331
QTo,call,0.9657
QTo,raise,0.0012
JTo,fold,0.0591
JTo,call,0.9267
JTo,raise,0.0141
TT,call,0.3725
TT,raise,0.6275
T9s,fold,0.3813
T9s,call,0.6179
T9s,raise,0.0008
T8s,fold,0.504
T8s,call,0.4959
T8s,raise,0.0002
T7s,fold,0.6122
T7s,call,0.3878
T6s,fold,0.3492
T6s,call,0.6506
T6s,raise,0.0002
T5s,fold,0.8445
T5s,call,0.1555
T4s,fold,0.9852
T4s,call,0.0148
T3s,fold,0.854
T3s,call,0.1459
T3s,raise,0.0001
T2s,fold,0.9912
T2s,call,0.0088
A9o,fold,0.0004
A9o,call,0.7706
A9o,raise,0.229
K9o,fold,0.0333
K9o,call,0.9665
K9o,raise,0.0002
Q9o,fold,0.0238
Q9o,call,0.9762
J9o,fold,0.053
J9o,call,0.947
T9o,fold,0.0044
T9o,call,0.9956
99,fold,0.0004
99,call,0.9255
99,raise,0.0741
98s,fold,0.0421
98s,call,0.9578
97s,fold,0.0535
97s,call,0.9465
96s,fold,0.3151
96s,call,0.6845
96s,raise,0.0004
95s,fold,0.9717
95s,call,0.0282
94s,fold,0.9955
94s,call,0.0045
94s,raise,0.0001
93s,fold,0.9999
93s,call,0.0001
93s,raise,0.0001
92s,fold,0.9999
92s,call,0.0001
A8o,fold,0.01
A8o,call,0.5591
A8o,raise,0.4309
K8o,fold,0.0994
K8o,call,0.9004
