# poker.academy CE-Symmetric — 100bb vs3bet | hero MP vs BTN
# Scraped 2026-06-01 via scrape_all_ranges.py
# TreeParams: poker.academy CE-Symmetric Regular @ 100bb (GTO ChipEV, 1bb ante)
notation,action,freq
22,call,1.0
33,call,1.0
44,call,1.0
55,call,0.6821
55,fold,0.3179
66,call,0.8381
66,fold,0.1619
77,call,0.8321
77,fold,0.1679
88,call,0.9161
88,fold,0.0839
99,call,0.904
99,threeBet,0.096
AA,threeBet,1.0
AKs,threeBet,1.0
AQs,call,1.0
AJs,call,1.0
ATs,call,0.9441
ATs,threeBet,0.0559
A9s,call,0.814
A9s,threeBet,0.186
A8s,call,0.272
A8s,fold,0.6181
A8s,threeBet,0.1099
A7s,fold,0.9341
A7s,threeBet,0.0659
A6s,call,0.3791
A6s,fold,0.5889
A6s,threeBet,0.032
A5s,call,0.6399
A5s,threeBet,0.3601
A4s,call,0.4739
A4s,threeBet,0.5261
A3s,fold,0.846
A3s,threeBet,0.154
AKo,call,0.518
AKo,threeBet,0.482
KK,threeBet,1.0
KQs,call,1.0
KJs,call,0.7501
KJs,threeBet,0.2499
KTs,call,0.176
KTs,threeBet,0.824
K9s,call,0.1199
K9s,fold,0.5961
K9s,threeBet,0.284
K6s,fold,0.6086
K6s,threeBet,0.3914
AQo,call,0.4221
AQo,fold,0.0218
AQo,threeBet,0.5561
QQ,call,0.5481
QQ,threeBet,0.4519
QJs,call,0.9242
QJs,threeBet,0.0758
QTs,call,0.8321
QTs,fold,0.1679
JJ,call,0.6559
JJ,threeBet,0.3441
JTs,call,0.4781
JTs,fold,0.5219
TT,call,0.8161
TT,threeBet,0.1839
T9s,call,0.6341
T9s,fold,0.3659
98s,call,0.1588
98s,fold,0.8412
87s,call,1.0
76s,call,1.0
65s,call,1.0
54s,call,1.0
