# poker.academy CE-Symmetric — 100bb vs3bet | hero MP vs HJ
# Scraped 2026-06-01 via scrape_all_ranges.py
# TreeParams: poker.academy CE-Symmetric Regular @ 100bb (GTO ChipEV, 1bb ante)
notation,action,freq
22,call,1.0
33,call,1.0
44,call,1.0
55,call,0.5421
55,fold,0.4579
66,call,0.7461
66,fold,0.2539
77,call,0.658
77,fold,0.342
88,call,0.6861
88,fold,0.3139
99,call,0.8203
99,fold,0.1739
99,threeBet,0.0058
AA,threeBet,1.0
AKs,threeBet,1.0
AQs,call,1.0
AJs,call,0.8221
AJs,threeBet,0.1779
ATs,call,0.8101
ATs,threeBet,0.1899
A9s,call,0.678
A9s,fold,0.322
A8s,fold,0.926
A8s,threeBet,0.074
A7s,fold,0.898
A7s,threeBet,0.102
A5s,call,0.482
A5s,threeBet,0.518
A4s,call,0.1041
A4s,fold,0.6113
A4s,threeBet,0.2846
AKo,call,0.4899
AKo,threeBet,0.5101
KK,threeBet,1.0
KQs,call,0.878
KQs,threeBet,0.122
KJs,call,0.1398
KJs,threeBet,0.8602
KTs,call,0.4081
KTs,threeBet,0.5919
K9s,fold,0.7041
K9s,threeBet,0.2959
K6s,fold,0.8979
K6s,threeBet,0.1021
AQo,call,0.2799
AQo,fold,0.214
AQo,threeBet,0.5061
QQ,call,0.5261
QQ,threeBet,0.4739
QJs,call,0.336
QJs,fold,0.664
QTs,call,0.5641
QTs,fold,0.4359
JJ,call,0.5539
JJ,threeBet,0.4461
JTs,call,0.594
JTs,fold,0.406
TT,call,0.798
TT,threeBet,0.202
T9s,call,0.6341
T9s,fold,0.3659
87s,call,1.0
76s,call,1.0
65s,call,1.0
54s,call,1.0
