# Generated by hrc_import.py --multi-opener-8max from hrc_8max_chipev_100bb_v2.zip
# HRC tree: 8-handed, effective 100.0bb
# Equity model: chipev, ante: BB_ANTE_ANTE_FIRST
# App slot (deferred integration): utg1 vsopen vs utg open @ 100bb
# HRC node: id=17382, seat=1, sequence=R
# Actions: ['fold', 'call', 'raise']
# VPIP estimate: 18.44%
notation,action,freq
AA,call,0.0017
AA,raise,0.9983
AKs,fold,0.0001
AKs,call,0.9468
AKs,raise,0.0532
AQs,fold,0.0002
AQs,call,0.8081
AQs,raise,0.1916
AJs,call,0.4272
AJs,raise,0.5728
ATs,fold,0.0488
ATs,call,0.6013
ATs,raise,0.3499
A9s,fold,0.2525
A9s,call,0.3155
A9s,raise,0.432
A8s,fold,0.1109
A8s,call,0.831
A8s,raise,0.0581
A7s,fold,0.4511
A7s,call,0.5402
A7s,raise,0.0087
A6s,fold,0.7109
A6s,call,0.2886
A6s,raise,0.0005
A5s,fold,0.7242
A5s,call,0.2749
A5s,raise,0.0009
A4s,fold,0.9087
A4s,call,0.059
A4s,raise,0.0323
A3s,fold,0.877
A3s,call,0.1205
A3s,raise,0.0025
A2s,fold,0.9651
A2s,call,0.0096
A2s,raise,0.0252
AKo,call,0.7302
AKo,raise,0.2698
KK,call,0.0001
KK,raise,0.9999
KQs,fold,0.0001
KQs,call,0.7415
KQs,raise,0.2584
KJs,fold,0.2627
KJs,call,0.2805
KJs,raise,0.4568
KTs,fold,0.1241
KTs,call,0.4873
KTs,raise,0.3887
K9s,fold,0.1236
K9s,call,0.852
K9s,raise,0.0243
K8s,fold,0.944
K8s,call,0.0045
K8s,raise,0.0515
K7s,fold,0.8395
K7s,call,0.1451
K7s,raise,0.0155
K6s,fold,0.9653
K6s,call,0.0295
K6s,raise,0.0052
K5s,fold,0.8169
K5s,call,0.1687
K5s,raise,0.0143
K4s,fold,0.9918
K4s,call,0.0024
K4s,raise,0.0057
K3s,fold,0.9887
K3s,call,0.0097
K3s,raise,0.0017
K2s,fold,0.9901
K2s,call,0.0092
K2s,raise,0.0007
AQo,call,0.7243
AQo,raise,0.2757
KQo,fold,0.1428
KQo,call,0.5314
KQo,raise,0.3257
QQ,call,0.0232
QQ,raise,0.9768
QJs,fold,0.2396
QJs,call,0.7071
QJs,raise,0.0534
QTs,fold,0.1673
QTs,call,0.8116
QTs,raise,0.0211
Q9s,fold,0.3837
Q9s,call,0.507
Q9s,raise,0.1092
Q8s,fold,0.7508
Q8s,call,0.2455
Q8s,raise,0.0036
Q7s,fold,0.9769
Q7s,call,0.0198
Q7s,raise,0.0034
Q6s,fold,0.9686
Q6s,call,0.0188
Q6s,raise,0.0125
Q5s,fold,0.9933
Q5s,call,0.0063
Q5s,raise,0.0004
Q4s,fold,0.9826
Q4s,call,0.0158
Q4s,raise,0.0016
Q3s,fold,0.9991
Q3s,call,0.0008
Q3s,raise,0.0001
Q2s,fold,0.9987
Q2s,call,0.001
Q2s,raise,0.0003
AJo,call,0.8597
AJo,raise,0.1402
KJo,fold,0.7341
KJo,call,0.26
KJo,raise,0.0059
QJo,fold,0.7498
QJo,call,0.2361
QJo,raise,0.0141
JJ,call,0.0017
JJ,raise,0.9983
JTs,fold,0.0637
JTs,call,0.1947
JTs,raise,0.7416
J9s,fold,0.4051
J9s,call,0.5906
J9s,raise,0.0043
J8s,fold,0.9703
J8s,call,0.0272
J8s,raise,0.0025
J7s,fold,0.985
J7s,call,0.0069
J7s,raise,0.0082
J6s,fold,0.8918
J6s,call,0.1074
J6s,raise,0.0008
J5s,fold,0.9153
J5s,call,0.0782
J5s,raise,0.0065
J4s,fold,0.9584
J4s,call,0.0413
J4s,raise,0.0003
J3s,fold,0.9965
J3s,raise,0.0034
J2s,fold,0.9985
J2s,call,0.0014
ATo,fold,0.3995
ATo,call,0.4824
ATo,raise,0.1182
KTo,fold,0.8619
KTo,call,0.1262
KTo,raise,0.0119
QTo,fold,0.7971
QTo,call,0.1755
QTo,raise,0.0274
JTo,fold,0.9699
JTo,call,0.0299
JTo,raise,0.0002
TT,call,0.5931
TT,raise,0.4069
T9s,fold,0.9139
T9s,call,0.0652
T9s,raise,0.0209
T8s,fold,0.8255
T8s,call,0.1741
T8s,raise,0.0004
T7s,fold,0.9726
T7s,call,0.0273
T6s,fold,0.9929
T6s,call,0.0059
T6s,raise,0.0013
T5s,fold,0.9954
T5s,call,0.0041
T5s,raise,0.0004
T4s,fold,0.9493
T4s,call,0.0492
T4s,raise,0.0014
T3s,fold,0.9944
T3s,call,0.0036
T3s,raise,0.002
T2s,fold,0.9998
T2s,call,0.0001
T2s,raise,0.0001
A9o,fold,0.8732
A9o,call,0.12
A9o,raise,0.0068
K9o,fold,0.9711
K9o,call,0.0287
K9o,raise,0.0001
Q9o,fold,0.9944
Q9o,call,0.0038
Q9o,raise,0.0017
J9o,fold,0.9876
J9o,call,0.01
J9o,raise,0.0025
T9o,fold,0.9991
T9o,call,0.0003
T9o,raise,0.0006
99,call,0.2356
99,raise,0.7644
98s,fold,0.8632
98s,call,0.1258
98s,raise,0.011
97s,fold,0.9939
97s,call,0.0005
97s,raise,0.0056
96s,fold,0.994
96s,call,0.0026
96s,raise,0.0034
95s,fold,0.9879
95s,call,0.0121
94s,fold,0.999
94s,call,0.0005
94s,raise,0.0005
93s,fold,0.9996
93s,call,0.0003
92s,fold,1.0
A8o,fold,0.9747
A8o,call,0.0203
A8o,raise,0.005
K8o,fold,0.9787
K8o,call,0.0213
Q8o,fold,0.9989
Q8o,call,0.0011
J8o,fold,0.9997
J8o,call,0.0002
T8o,fold,0.9968
T8o,call,0.0031
T8o,raise,0.0001
98o,fold,0.9909
98o,call,0.0082
98o,raise,0.0008
88,call,0.7587
88,raise,0.2412
87s,fold,0.9586
87s,call,0.0317
87s,raise,0.0097
86s,fold,0.9852
86s,call,0.0011
86s,raise,0.0137
85s,fold,0.9917
85s,call,0.0004
85s,raise,0.0079
84s,fold,0.9998
84s,call,0.0002
83s,fold,0.9956
83s,call,0.0044
83s,raise,0.0001
82s,fold,0.9988
82s,call,0.0011
82s,raise,0.0001
A7o,fold,0.9351
A7o,call,0.0643
A7o,raise,0.0006
K7o,fold,0.9984
K7o,call,0.0015
K7o,raise,0.0001
Q7o,fold,0.9999
Q7o,raise,0.0001
J7o,fold,1.0
T7o,fold,0.9997
T7o,call,0.0001
T7o,raise,0.0002
97o,fold,0.9999
97o,call,0.0001
87o,fold,0.9997
87o,call,0.0003
77,fold,0.0001
77,call,0.9593
77,raise,0.0406
76s,fold,0.6766
76s,call,0.314
76s,raise,0.0094
75s,fold,0.9948
75s,call,0.0017
75s,raise,0.0035
74s,fold,0.9932
74s,call,0.0064
74s,raise,0.0004
73s,fold,1.0
72s,fold,0.9996
72s,raise,0.0004
A6o,fold,0.9746
A6o,call,0.0204
A6o,raise,0.005
K6o,fold,0.9955
K6o,call,0.0045
Q6o,fold,0.9983
Q6o,call,0.0015
Q6o,raise,0.0001
J6o,fold,0.9999
J6o,call,0.0001
T6o,fold,0.9996
T6o,call,0.0004
96o,fold,1.0
86o,fold,1.0
76o,fold,1.0
66,fold,0.1423
66,call,0.7877
66,raise,0.07
65s,fold,0.9929
65s,call,0.0068
65s,raise,0.0003
64s,fold,0.9938
64s,raise,0.0062
63s,fold,0.9995
63s,call,0.0002
63s,raise,0.0002
62s,fold,0.9948
62s,call,0.0051
62s,raise,0.0001
A5o,fold,0.9826
A5o,call,0.0038
A5o,raise,0.0136
K5o,fold,0.9922
K5o,call,0.0046
K5o,raise,0.0032
Q5o,fold,1.0
J5o,fold,1.0
T5o,fold,0.9999
T5o,call,0.0001
T5o,raise,0.0001
95o,fold,0.9997
95o,call,0.0003
85o,fold,0.9986
85o,call,0.0013
75o,fold,0.9998
75o,call,0.0002
65o,fold,1.0
55,fold,0.7497
55,call,0.2386
55,raise,0.0117
54s,fold,0.9988
54s,call,0.0008
54s,raise,0.0004
53s,fold,0.9858
53s,call,0.012
53s,raise,0.0022
52s,fold,0.9844
52s,call,0.0117
52s,raise,0.0039
A4o,fold,0.9762
A4o,call,0.0238
K4o,fold,0.9976
K4o,call,0.0024
Q4o,fold,0.9996
Q4o,call,0.0001
Q4o,raise,0.0003
J4o,fold,0.9999
J4o,raise,0.0001
T4o,fold,1.0
94o,fold,1.0
84o,fold,1.0
74o,fold,1.0
64o,fold,1.0
54o,fold,1.0
44,fold,0.9665
44,call,0.0281
44,raise,0.0054
43s,fold,1.0
42s,fold,0.9991
42s,call,0.0009
A3o,fold,0.9998
A3o,call,0.0001
A3o,raise,0.0001
K3o,fold,1.0
Q3o,fold,1.0
J3o,fold,0.9999
J3o,raise,0.0001
T3o,fold,0.9999
T3o,call,0.0001
93o,fold,1.0
83o,fold,1.0
73o,fold,1.0
63o,fold,1.0
53o,fold,0.9999
53o,raise,0.0001
43o,fold,1.0
33,fold,0.9701
33,call,0.0287
33,raise,0.0012
32s,fold,0.9967
32s,call,0.0033
A2o,fold,0.999
A2o,call,0.0005
A2o,raise,0.0005
K2o,fold,0.9985
