# poker.academy CE-Symmetric — 100bb vs3bet | hero EP vs LJ
# Scraped 2026-06-01 via scrape_all_ranges.py
# TreeParams: poker.academy CE-Symmetric Regular @ 100bb (GTO ChipEV, 1bb ante)
notation,action,freq
22,call,1.0
33,call,1.0
44,call,1.0
55,call,0.7154
55,fold,0.2846
66,call,0.5861
66,fold,0.4139
77,call,0.482
77,fold,0.518
88,call,0.498
88,fold,0.502
99,call,0.55
99,fold,0.45
AA,threeBet,1.0
AKs,threeBet,1.0
AQs,call,1.0
AJs,call,0.626
AJs,threeBet,0.374
ATs,call,1.0
A9s,call,0.3079
A9s,fold,0.6921
A7s,fold,0.9481
A7s,threeBet,0.0519
A5s,call,0.418
A5s,threeBet,0.582
A4s,call,0.204
A4s,fold,0.5201
A4s,threeBet,0.2759
AKo,call,0.5379
AKo,threeBet,0.4621
KK,threeBet,1.0
KQs,call,0.828
KQs,threeBet,0.172
KJs,call,0.3079
KJs,threeBet,0.6921
KTs,call,0.2959
KTs,fold,0.0079
KTs,threeBet,0.6962
AQo,fold,0.662
AQo,threeBet,0.338
QQ,call,0.732
QQ,threeBet,0.268
QJs,call,0.1139
QJs,fold,0.8861
QTs,call,0.2319
QTs,fold,0.7681
JJ,call,0.648
JJ,threeBet,0.352
JTs,call,0.2979
JTs,fold,0.7021
TT,call,0.8681
TT,threeBet,0.1319
T9s,call,0.402
T9s,fold,0.598
87s,call,1.0
76s,call,1.0
65s,call,1.0
54s,call,1.0
