# poker.academy CE-Symmetric — 100bb vs3bet | hero EP vs SB
# Scraped 2026-06-01 via scrape_all_ranges.py
# TreeParams: poker.academy CE-Symmetric Regular @ 100bb (GTO ChipEV, 1bb ante)
notation,action,freq
22,call,1.0
33,call,1.0
44,call,0.5039
44,fold,0.4961
55,call,0.2086
55,fold,0.7914
66,call,0.4579
66,fold,0.5421
77,call,0.3279
77,fold,0.6721
88,call,0.502
88,fold,0.498
99,call,0.432
99,fold,0.568
AA,threeBet,1.0
AKs,call,0.9501
AKs,threeBet,0.0499
AQs,call,1.0
AJs,call,1.0
ATs,call,1.0
A9s,call,0.148
A9s,fold,0.7822
A9s,threeBet,0.0698
A8s,call,0.1939
A8s,fold,0.394
A8s,threeBet,0.4121
A7s,call,0.1899
A7s,fold,0.8001
A7s,threeBet,0.01
A6s,call,0.2295
A6s,fold,0.7427
A6s,threeBet,0.0278
A5s,call,1.0
A4s,call,0.534
A4s,threeBet,0.466
A3s,threeBet,1.0
AKo,call,0.712
AKo,threeBet,0.288
KK,call,0.7241
KK,threeBet,0.2759
KQs,call,1.0
KJs,call,0.724
KJs,fold,0.058
KJs,threeBet,0.218
KTs,call,0.0617
KTs,fold,0.5411
KTs,threeBet,0.3972
AQo,fold,0.9221
AQo,threeBet,0.0779
QQ,call,1.0
QJs,call,0.7301
QJs,fold,0.2699
QTs,call,0.546
QTs,fold,0.454
JJ,call,1.0
JTs,call,0.3939
JTs,fold,0.6061
TT,call,0.8018
TT,fold,0.1682
TT,threeBet,0.03
T9s,call,0.9701
T9s,fold,0.0299
98s,call,1.0
87s,call,1.0
76s,call,1.0
65s,call,1.0
54s,call,1.0
