# poker.academy CE-Symmetric — 10bb vsopen | hero SB vs BTN
# Scraped 2026-06-01 via scrape_all_ranges.py
# TreeParams: poker.academy CE-Symmetric Regular @ 10bb (GTO ChipEV, 1bb ante)
notation,action,freq
33,fold,0.7301
33,jam,0.2699
44,jam,1.0
55,jam,1.0
66,jam,1.0
77,jam,1.0
88,jam,1.0
99,jam,1.0
AA,jam,1.0
AKs,jam,1.0
AQs,jam,1.0
AJs,jam,1.0
ATs,jam,1.0
A9s,jam,1.0
A8s,jam,1.0
A7s,jam,1.0
A6s,jam,1.0
A5s,jam,1.0
A4s,jam,1.0
A3s,jam,1.0
A2s,jam,1.0
AKo,jam,1.0
KK,jam,1.0
KQs,jam,1.0
KJs,jam,1.0
KTs,jam,1.0
K9s,jam,1.0
K7s,jam,1.0
K6s,jam,1.0
K5s,jam,1.0
K4s,jam,1.0
AQo,jam,1.0
KQo,jam,1.0
QQ,jam,1.0
QJs,jam,1.0
QTs,jam,1.0
Q9s,jam,1.0
AJo,jam,1.0
KJo,jam,1.0
QJo,jam,1.0
JJ,jam,1.0
JTs,jam,1.0
J9s,fold,0.4551
J9s,jam,0.5449
ATo,jam,1.0
KTo,jam,1.0
QTo,jam,1.0
JTo,fold,0.7501
JTo,jam,0.2499
TT,jam,1.0
T9s,fold,0.91
T9s,jam,0.09
A9o,jam,1.0
A8o,jam,1.0
A7o,jam,1.0
A6o,jam,1.0
A5o,jam,1.0
A4o,jam,1.0
A3o,jam,1.0
A2o,jam,1.0
