# Generated by hrc_import.py --multi-opener-8max from hrc_8max_chipev_020bb.zip
# HRC tree: 8-handed, effective 20.0bb
# Equity model: chipev, ante: BB_ANTE_ANTE_FIRST
# App slot (deferred integration): bb vsopen vs co open @ 20bb
# HRC node: id=31, seat=7, sequence=FFFFRFF
# Actions: ['fold', 'call', 'jam']
# VPIP estimate: 99.92%
notation,action,freq
AA,jam,1.0
AKs,call,0.0169
AKs,jam,0.9831
AQs,fold,0.0002
AQs,call,0.0256
AQs,jam,0.9742
AJs,fold,0.0001
AJs,call,0.0092
AJs,jam,0.9907
ATs,call,0.2723
ATs,jam,0.7277
A9s,fold,0.0001
A9s,call,0.2626
A9s,jam,0.7374
A8s,fold,0.0006
A8s,call,0.999
A8s,jam,0.0005
A7s,call,0.8999
A7s,jam,0.1001
A6s,fold,0.0002
A6s,call,0.6222
A6s,jam,0.3776
A5s,fold,0.0002
A5s,call,0.4034
A5s,jam,0.5965
A4s,call,0.5374
A4s,jam,0.4625
A3s,fold,0.0001
A3s,call,0.2034
A3s,jam,0.7965
A2s,fold,0.0003
A2s,call,0.5932
A2s,jam,0.4065
AKo,jam,1.0
KK,jam,1.0
KQs,fold,0.0003
KQs,call,0.4488
KQs,jam,0.5508
KJs,fold,0.0009
KJs,call,0.5236
KJs,jam,0.4755
KTs,fold,0.0004
KTs,call,0.6171
KTs,jam,0.3825
K9s,fold,0.001
K9s,call,0.86
K9s,jam,0.139
K8s,fold,0.0019
K8s,call,0.7981
K8s,jam,0.2
K7s,fold,0.0006
K7s,call,0.6302
K7s,jam,0.3692
K6s,fold,0.0012
K6s,call,0.3728
K6s,jam,0.626
K5s,fold,0.0003
K5s,call,0.6904
K5s,jam,0.3093
K4s,fold,0.0011
K4s,call,0.7258
K4s,jam,0.2731
K3s,fold,0.0019
K3s,call,0.998
K3s,jam,0.0001
K2s,fold,0.0009
K2s,call,0.8732
K2s,jam,0.1259
AQo,call,0.0039
AQo,jam,0.9961
KQo,call,0.466
KQo,jam,0.534
QQ,call,0.0045
QQ,jam,0.9955
QJs,fold,0.0008
QJs,call,0.8534
QJs,jam,0.1458
QTs,fold,0.0001
QTs,call,0.9698
QTs,jam,0.0301
Q9s,fold,0.0008
Q9s,call,0.9906
Q9s,jam,0.0086
Q8s,fold,0.0019
Q8s,call,0.6657
Q8s,jam,0.3324
Q7s,fold,0.0014
Q7s,call,0.9075
Q7s,jam,0.0911
Q6s,fold,0.0009
Q6s,call,0.9164
Q6s,jam,0.0826
Q5s,fold,0.0001
Q5s,call,0.9788
Q5s,jam,0.021
Q4s,fold,0.0024
Q4s,call,0.8238
Q4s,jam,0.1738
Q3s,fold,0.0023
Q3s,call,0.8324
Q3s,jam,0.1653
Q2s,fold,0.0004
Q2s,call,0.3089
Q2s,jam,0.6907
AJo,call,0.3133
AJo,jam,0.6867
KJo,call,0.9771
KJo,jam,0.0229
QJo,fold,0.0003
QJo,call,0.9719
QJo,jam,0.0278
JJ,call,0.8168
JJ,jam,0.1832
JTs,fold,0.003
JTs,call,0.9248
JTs,jam,0.0722
J9s,fold,0.0005
J9s,call,0.9355
J9s,jam,0.064
J8s,fold,0.0011
J8s,call,0.954
J8s,jam,0.0449
J7s,fold,0.0012
J7s,call,0.9988
J6s,fold,0.0001
J6s,call,0.999
J6s,jam,0.0009
J5s,fold,0.0006
J5s,call,0.9534
J5s,jam,0.046
J4s,fold,0.0003
J4s,call,0.9997
J3s,fold,0.0019
J3s,call,0.9863
J3s,jam,0.0118
J2s,fold,0.0005
J2s,call,0.9993
J2s,jam,0.0001
ATo,call,0.3137
ATo,jam,0.6862
KTo,call,0.9996
KTo,jam,0.0004
QTo,fold,0.0001
QTo,call,0.5907
QTo,jam,0.4092
JTo,call,0.9996
JTo,jam,0.0004
TT,call,0.6595
TT,jam,0.3405
T9s,fold,0.0009
T9s,call,0.8391
T9s,jam,0.16
T8s,fold,0.0003
T8s,call,0.9044
T8s,jam,0.0953
T7s,fold,0.0015
T7s,call,0.9973
T7s,jam,0.0012
T6s,fold,0.0034
T6s,call,0.9817
T6s,jam,0.0149
T5s,fold,0.0008
T5s,call,0.9709
T5s,jam,0.0282
T4s,fold,0.0002
T4s,call,0.9998
T3s,fold,0.0003
T3s,call,0.9649
T3s,jam,0.0348
T2s,fold,0.0032
T2s,call,0.9961
T2s,jam,0.0007
A9o,call,0.8894
A9o,jam,0.1106
K9o,fold,0.0001
K9o,call,0.9663
K9o,jam,0.0336
Q9o,call,0.9999
Q9o,jam,0.0001
J9o,call,0.9773
J9o,jam,0.0227
T9o,fold,0.0001
T9o,call,0.9994
T9o,jam,0.0006
99,call,0.9111
99,jam,0.0889
98s,fold,0.0023
98s,call,0.9977
97s,fold,0.0006
97s,call,0.9993
97s,jam,0.0002
96s,fold,0.0025
96s,call,0.9836
96s,jam,0.0139
95s,fold,0.0003
95s,call,0.9664
95s,jam,0.0333
94s,fold,0.0016
94s,call,0.9984
94s,jam,0.0001
93s,fold,0.0017
93s,call,0.9359
93s,jam,0.0625
92s,fold,0.0011
92s,call,0.9701
92s,jam,0.0288
A8o,call,0.9416
A8o,jam,0.0584
K8o,call,0.7311
K8o,jam,0.2689
Q8o,fold,0.0002
Q8o,call,0.9995
Q8o,jam,0.0003
J8o,call,1.0
T8o,call,0.9999
98o,fold,0.0003
98o,call,0.9997
88,fold,0.0001
88,call,0.9969
88,jam,0.0029
87s,fold,0.0011
87s,call,0.4002
87s,jam,0.5987
86s,fold,0.0013
86s,call,0.9744
86s,jam,0.0243
85s,fold,0.0009
85s,call,0.9991
85s,jam,0.0001
84s,fold,0.0038
84s,call,0.9959
84s,jam,0.0003
83s,fold,0.0026
83s,call,0.9939
83s,jam,0.0036
82s,fold,0.0035
82s,call,0.9965
A7o,fold,0.0001
A7o,call,0.9998
A7o,jam,0.0001
K7o,fold,0.0001
K7o,call,0.9998
Q7o,fold,0.0001
Q7o,call,0.9999
J7o,fold,0.0001
J7o,call,0.9999
T7o,fold,0.0001
T7o,call,0.9999
97o,fold,0.0003
97o,call,0.9996
87o,fold,0.0002
87o,call,0.9998
77,fold,0.0001
77,call,0.9887
77,jam,0.0112
76s,fold,0.0024
76s,call,0.9948
76s,jam,0.0027
75s,fold,0.0009
75s,call,0.942
75s,jam,0.0571
74s,fold,0.0008
74s,call,0.9987
74s,jam,0.0004
73s,fold,0.0022
73s,call,0.9966
73s,jam,0.0012
72s,fold,0.0029
72s,call,0.9892
72s,jam,0.0079
A6o,call,0.9995
A6o,jam,0.0005
K6o,fold,0.0001
K6o,call,0.9997
K6o,jam,0.0001
Q6o,call,0.9999
Q6o,jam,0.0001
J6o,fold,0.0001
J6o,call,0.9997
J6o,jam,0.0003
T6o,fold,0.0008
T6o,call,0.9992
T6o,jam,0.0001
96o,fold,0.0002
96o,call,0.9996
96o,jam,0.0001
86o,fold,0.0002
86o,call,0.9992
86o,jam,0.0006
76o,fold,0.0002
76o,call,0.9998
76o,jam,0.0001
66,fold,0.0005
66,call,0.9088
66,jam,0.0907
65s,fold,0.0013
65s,call,0.7993
65s,jam,0.1994
64s,fold,0.0004
64s,call,0.983
64s,jam,0.0165
63s,fold,0.0004
63s,call,0.8863
63s,jam,0.1133
62s,fold,0.002
62s,call,0.9777
62s,jam,0.0204
A5o,call,0.9989
A5o,jam,0.0011
K5o,call,0.9999
K5o,jam,0.0001
Q5o,fold,0.0001
Q5o,call,0.9998
Q5o,jam,0.0001
J5o,fold,0.0008
J5o,call,0.9992
T5o,fold,0.0001
T5o,call,0.9999
95o,fold,0.0002
95o,call,0.9998
85o,fold,0.0004
85o,call,0.9996
75o,call,1.0
65o,fold,0.0003
65o,call,0.9996
65o,jam,0.0001
55,fold,0.0003
55,call,0.9095
55,jam,0.0902
54s,fold,0.0017
54s,call,0.9242
54s,jam,0.0741
53s,fold,0.0016
53s,call,0.9214
53s,jam,0.077
52s,fold,0.0017
52s,call,0.9983
A4o,call,0.8753
A4o,jam,0.1246
K4o,fold,0.0001
K4o,call,0.9998
Q4o,call,1.0
J4o,fold,0.0001
J4o,call,0.9998
J4o,jam,0.0001
T4o,fold,0.0001
T4o,call,0.9999
94o,fold,0.0003
94o,call,0.9996
94o,jam,0.0001
84o,fold,0.0066
84o,call,0.9934
74o,fold,0.0009
74o,call,0.999
64o,fold,0.0001
64o,call,0.9999
54o,call,0.9999
44,call,0.9952
44,jam,0.0047
43s,fold,0.0021
43s,call,0.9979
42s,fold,0.0051
42s,call,0.257
42s,jam,0.7379
A3o,call,0.997
A3o,jam,0.0029
K3o,fold,0.0003
K3o,call,0.9997
Q3o,call,0.9997
Q3o,jam,0.0003
J3o,fold,0.0002
J3o,call,0.9998
T3o,fold,0.0001
T3o,call,0.9999
93o,fold,0.0005
93o,call,0.9995
